SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,46,7,15,18,6
TOTAL POINTS,,,,,
EARNED,65,5,23,35,2
MOST POINTS IN A,,,,,
MATCH,5,2,5,4,1
NOT OUT %,70.96%,100%,60%,78.26%,0
TOTAL RAIDS,31,1,5,23,2
SUCCESSFUL RAIDS %,29.03,0,60,26.08,0
NO OF SUPER RAIDS?,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,9,0,3,6,0
AVERAGE RAID,,,,,
POINTS / MATCH,0.19,0,0.2,0.33,0
NO OF SUPER ?,,,,,
TACKLES,6,0,3,3,0
HIGH 5S ?,2,0,2,0,0
TOTAL TACKLE POINTS,56,5,20,29,2
AVERAGE TACKLE /,,,,,
MATCH,1.08,0.71,1.13,1.44,0.33
TOTAL TACKLES,158,18,59,69,12
TACKLE STRIKE RATE,35.44%,27.77%,33.89%,42.02%,16.66%
