SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,52,19,14,19
TOTAL POINTS,,,,
EARNED,142,36,57,49
MOST POINTS IN A,,,,
MATCH,7,5,7,6
NOT OUT %,75%,79.36%,70.16%,79.22%
TOTAL RAIDS,264,63,124,77
SUCCESSFUL RAIDS %,28.4,17.46,36.29,24.67
NO OF SUPER RAIDS?,2,0,1,1
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,75,11,45,19
AVERAGE RAID,,,,
POINTS / MATCH,1.44,0.57,3.21,1
NO OF SUPER ?,,,,
TACKLES,10,7,2,1
HIGH 5S ?,1,0,0,1
TOTAL TACKLE POINTS,67,25,12,30
AVERAGE TACKLE /,,,,
MATCH,1.09,0.94,0.71,1.52
TOTAL TACKLES,119,42,23,54
TACKLE STRIKE RATE,56.30%,59.52%,52.17%,55.55%
