SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,104,19,21,26,16,16,6
TOTAL POINTS,,,,,,,
EARNED,1108,243,233,369,133,121,9
MOST POINTS IN A,,,,,,,
MATCH,34,26,27,34,18,24,4
NOT OUT %,77.21%,75.19%,76.21%,80.71%,76.04%,75.93%,68.42%
TOTAL RAIDS,1848,383,391,586,263,187,38
SUCCESSFUL RAIDS %,59.57,63.44,59.59,62.96,49.8,62.03,23.68
NO OF SUPER RAIDS?,50,12,6,18,3,10,1
SUPER 10S ?,57,13,15,19,5,5,0
TOTAL RAID POINTS,1101,243,233,369,131,116,9
AVERAGE RAID,,,,,,,
POINTS / MATCH,10.58,12.78,11.09,14.19,8.18,7.25,1.5
NO OF SUPER ?,,,,,,,
TACKLES,1,0,0,0,1,0,0
HIGH 5S ?,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,7,0,0,0,2,5,0
AVERAGE TACKLE /,,,,,,,
MATCH,0.05,0,0,0,0.06,0.31,0
TOTAL TACKLES,34,2,1,10,6,13,2
TACKLE STRIKE RATE,20.58%,0,0,0,33.33%,38.46%,0
