SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,46,19,14,13
TOTAL POINTS,,,,
EARNED,78,28,37,13
MOST POINTS IN A,,,,
MATCH,9,6,9,5
NOT OUT %,78.86%,80.35%,78.57%,76%
TOTAL RAIDS,123,56,42,25
SUCCESSFUL RAIDS %,34.95,21.42,50,40
NO OF SUPER RAIDS?,2,0,1,1
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,43,12,21,10
AVERAGE RAID,,,,
POINTS / MATCH,0.93,0.63,1.5,0.76
NO OF SUPER ?,,,,
TACKLES,0,0,0,0
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,35,16,16,3
AVERAGE TACKLE /,,,,
MATCH,0.76,0.84,1.14,0.23
TOTAL TACKLES,99,53,37,9
TACKLE STRIKE RATE,35.35%,30.18%,43.24%,33.33%
