SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,104,15,20,21,12,11,13,12
TOTAL POINTS,,,,,,,,
EARNED,269,32,57,69,25,34,27,25
MOST POINTS IN A,,,,,,,,
MATCH,8,6,6,8,5,5,5,6
NOT OUT %,91.17%,0,87.50%,88.88%,100%,94.11%,100%,83.33%
TOTAL RAIDS,68,1,8,18,13,17,5,6
SUCCESSFUL RAIDS %,14.7,100,12.5,27.77,0,5.88,0,33.33
NO OF SUPER RAIDS?,1,0,0,1,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,10,1,1,5,0,1,0,2
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0.09,0.06,0.05,0.23,0,0.09,0,0.16
NO OF SUPER ?,,,,,,,,
TACKLES,14,3,4,3,2,0,1,1
HIGH 5S ?,16,1,4,5,1,3,1,1
TOTAL TACKLE POINTS,259,31,56,64,25,33,27,23
AVERAGE TACKLE /,,,,,,,,
MATCH,2.35,1.86,2.6,2.9,1.91,3,2,1.83
TOTAL TACKLES,561,78,113,111,58,65,66,70
TACKLE STRIKE RATE,46.16%,39.74%,49.55%,57.65%,43.10%,50.76%,40.90%,32.85%
