SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,42,20,22
TOTAL POINTS,,,
EARNED,233,131,102
MOST POINTS IN A,,,
MATCH,16,16,10
NOT OUT %,74.65%,76.34%,72.48%
TOTAL RAIDS,430,241,189
SUCCESSFUL RAIDS %,44.41,43.15,46.03
NO OF SUPER RAIDS?,5,2,3
SUPER 10S ?,4,2,2
TOTAL RAID POINTS,191,104,87
AVERAGE RAID,,,
POINTS / MATCH,4.54,5.2,3.95
NO OF SUPER ?,,,
TACKLES,2,1,1
HIGH 5S ?,0,0,0
TOTAL TACKLE POINTS,42,27,15
AVERAGE TACKLE /,,,
MATCH,0.95,1.3,0.63
TOTAL TACKLES,95,57,38
TACKLE STRIKE RATE,44.21%,47.36%,39.47%
