SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3
MATCHES PLAYED,66,13,11,20,12,10
TOTAL POINTS,,,,,,
EARNED,454,60,102,177,34,81
MOST POINTS IN A,,,,,,
MATCH,20,11,20,18,7,13
NOT OUT %,82.18%,74.40%,83.24%,86.23%,74.10%,84.37%
TOTAL RAIDS,915,125,191,327,112,160
SUCCESSFUL RAIDS %,47.1,43.2,52.35,51.07,29.46,48.12
NO OF SUPER RAIDS?,10,0,1,7,1,1
SUPER 10S ?,14,1,4,7,0,2
TOTAL RAID POINTS,431,54,100,167,33,77
AVERAGE RAID,,,,,,
POINTS / MATCH,6.53,4.15,9.09,8.35,2.75,7.7
NO OF SUPER ?,,,,,,
TACKLES,3,1,0,1,0,1
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE POINTS,23,6,2,10,1,4
AVERAGE TACKLE /,,,,,,
MATCH,0.3,0.38,0.18,0.45,0.08,0.3
TOTAL TACKLES,83,25,9,30,8,11
TACKLE STRIKE RATE,27.71%,24%,22.22%,33.33%,12.50%,36.36%
