SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,74,6,13,21,9,5,10,10
TOTAL POINTS,,,,,,,,
EARNED,279,25,45,122,21,6,16,44
MOST POINTS IN A,,,,,,,,
MATCH,17,10,9,17,6,3,7,14
NOT OUT %,75.49%,79.66%,80%,75.70%,75.75%,80%,61.90%,72.41%
TOTAL RAIDS,653,59,90,284,66,25,42,87
SUCCESSFUL RAIDS %,42.41,42.37,50,42.95,30.3,24,38.09,49.42
NO OF SUPER RAIDS?,4,0,1,2,0,0,1,0
SUPER 10S ?,5,1,0,3,0,0,0,1
TOTAL RAID POINTS,277,25,45,122,20,6,16,43
AVERAGE RAID,,,,,,,,
POINTS / MATCH,3.74,4.16,3.46,5.8,2.22,1.2,1.6,4.3
NO OF SUPER ?,,,,,,,,
TACKLES,0,0,0,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,2,0,0,0,1,0,0,1
AVERAGE TACKLE /,,,,,,,,
MATCH,0.02,0,0,0,0.11,0,0,0.1
TOTAL TACKLES,37,2,5,13,7,2,1,7
TACKLE STRIKE RATE,5.40%,0,0,0,14.28%,0,0,14.28%
