SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,15,1,3,11
TOTAL POINTS,,,,
EARNED,36,0,0,36
MOST POINTS IN A,,,,
MATCH,7,0,0,7
NOT OUT %,67.41%,66.66%,0,70.88%
TOTAL RAIDS,89,6,4,79
SUCCESSFUL RAIDS %,39.32,0,0,44.3
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,35,0,0,35
AVERAGE RAID,,,,
POINTS / MATCH,2.33,0,0,3.18
NO OF SUPER ?,,,,
TACKLES,0,0,0,0
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,1,0,0,1
AVERAGE TACKLE /,,,,
MATCH,0.06,0,0,0.09
TOTAL TACKLES,8,1,0,7
TACKLE STRIKE RATE,12.50%,0,0,14.28%
