SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3
MATCHES PLAYED,92,19,23,24,14,12
TOTAL POINTS,,,,,,
EARNED,275,53,57,79,37,49
MOST POINTS IN A,,,,,,
MATCH,9,7,7,8,5,9
NOT OUT %,96.99%,94.44%,96.29%,98.07%,100%,100%
TOTAL RAIDS,133,18,54,52,3,6
SUCCESSFUL RAIDS %,6.76,11.11,5.55,5.76,0,16.66
NO OF SUPER RAIDS?,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,9,2,3,3,0,1
AVERAGE RAID,,,,,,
POINTS / MATCH,0.09,0.1,0.13,0.12,0,0.08
NO OF SUPER ?,,,,,,
TACKLES,16,5,2,4,4,1
HIGH 5S ?,25,5,4,9,2,5
TOTAL TACKLE POINTS,266,51,54,76,37,48
AVERAGE TACKLE /,,,,,,
MATCH,2.71,2.42,2.26,3,2.35,3.91
TOTAL TACKLES,526,103,129,146,73,75
TACKLE STRIKE RATE,50.57%,49.51%,41.86%,52.05%,50.68%,64%
