SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,115,13,22,22,16,14,13,15
TOTAL POINTS,,,,,,,,
EARNED,811,58,204,222,64,56,80,127
MOST POINTS IN A,,,,,,,,
MATCH,20,11,20,20,12,11,12,16
NOT OUT %,77.53%,74.85%,79.38%,81.57%,78.06%,77.02%,71.05%,74.56%
TOTAL RAIDS,1687,171,388,407,155,148,190,228
SUCCESSFUL RAIDS %,46.82,33.91,52.31,52.33,40.64,35.13,41.57,53.5
NO OF SUPER RAIDS?,23,2,3,3,5,2,6,2
SUPER 10S ?,29,1,7,12,1,1,2,5
TOTAL RAID POINTS,790,58,203,213,63,52,79,122
AVERAGE RAID,,,,,,,,
POINTS / MATCH,6.86,4.46,9.22,9.68,3.93,3.71,6.07,8.13
NO OF SUPER ?,,,,,,,,
TACKLES,0,0,0,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,21,0,1,9,1,4,1,5
AVERAGE TACKLE /,,,,,,,,
MATCH,0.18,0,0.04,0.4,0.06,0.28,0.07,0.33
TOTAL TACKLES,82,5,11,25,8,9,6,18
TACKLE STRIKE RATE,25.60%,0,9.09%,36%,12.50%,44.44%,16.66%,27.77%
