SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,108,15,19,15,12,15,16,16
TOTAL POINTS,,,,,,,,
EARNED,563,41,67,52,68,106,107,122
MOST POINTS IN A,,,,,,,,
MATCH,14,6,8,9,11,13,11,14
NOT OUT %,81.08%,68.42%,79.31%,68.96%,75.32%,91.81%,85.25%,71.75%
TOTAL RAIDS,719,19,29,29,77,171,217,177
SUCCESSFUL RAIDS %,31.15,21.05,27.58,17.24,31.16,26.31,30.87,40.11
NO OF SUPER RAIDS?,5,0,0,0,1,2,0,2
SUPER 10S ?,2,0,0,0,0,0,0,2
TOTAL RAID POINTS,224,4,8,5,24,45,67,71
AVERAGE RAID,,,,,,,,
POINTS / MATCH,2.07,0.26,0.42,0.33,2,3,4.18,4.43
NO OF SUPER ?,,,,,,,,
TACKLES,15,2,5,1,1,5,1,0
HIGH 5S ?,23,2,2,3,5,5,3,3
TOTAL TACKLE POINTS,339,37,59,47,44,61,40,51
AVERAGE TACKLE /,,,,,,,,
MATCH,3,2.33,2.84,3.06,3.58,3.73,2.43,3.18
TOTAL TACKLES,621,81,121,85,73,99,78,84
TACKLE STRIKE RATE,54.58%,45.67%,48.76%,55.29%,60.27%,61.61%,51.28%,60.71%
