SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,120,20,21,22,16,13,14,14
TOTAL POINTS,,,,,,,,
EARNED,1002,126,166,193,150,99,107,161
MOST POINTS IN A,,,,,,,,
MATCH,23,14,18,17,18,17,14,23
NOT OUT %,79.78%,72.31%,75.14%,81.06%,86.15%,79.80%,83.06%,82.15%
TOTAL RAIDS,2008,289,350,412,325,208,183,241
SUCCESSFUL RAIDS %,46.96,40.83,45.42,44.66,44.92,41.82,53.55,62.65
NO OF SUPER RAIDS?,24,0,4,5,6,1,6,2
SUPER 10S ?,40,4,4,8,7,4,5,8
TOTAL RAID POINTS,943,118,159,184,146,87,98,151
AVERAGE RAID,,,,,,,,
POINTS / MATCH,7.85,5.9,7.57,8.36,9.12,6.69,7,10.78
NO OF SUPER ?,,,,,,,,
TACKLES,5,0,1,0,1,2,0,1
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,59,8,7,9,4,12,9,10
AVERAGE TACKLE /,,,,,,,,
MATCH,0.45,0.4,0.28,0.4,0.18,0.76,0.64,0.64
TOTAL TACKLES,185,28,19,33,11,29,34,31
TACKLE STRIKE RATE,31.89%,28.57%,36.84%,27.27%,36.36%,41.37%,26.47%,32.25%
