SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,118,19,22,23,16,14,14,10
TOTAL POINTS,,,,,,,,
EARNED,328,39,71,64,33,41,44,36
MOST POINTS IN A,,,,,,,,
MATCH,9,4,7,7,4,5,9,8
NOT OUT %,80.43%,71.42%,83.33%,81.48%,100%,75.43%,85.71%,68.75%
TOTAL RAIDS,230,14,72,27,9,57,35,16
SUCCESSFUL RAIDS %,43.04,64.28,40.27,44.44,55.55,35.08,37.14,68.75
NO OF SUPER RAIDS?,4,0,1,0,0,2,0,1
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,99,9,29,12,5,20,13,11
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0.83,0.47,1.31,0.52,0.31,1.42,0.92,1.1
NO OF SUPER ?,,,,,,,,
TACKLES,12,1,1,3,1,0,4,2
HIGH 5S ?,4,0,0,2,0,0,1,1
TOTAL TACKLE POINTS,229,30,42,52,28,21,31,25
AVERAGE TACKLE /,,,,,,,,
MATCH,1.83,1.52,1.86,2.13,1.68,1.5,1.92,2.3
TOTAL TACKLES,477,69,88,112,62,52,53,41
TACKLE STRIKE RATE,48%,43.47%,47.72%,46.42%,45.16%,40.38%,58.49%,60.97%
