SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,74,14,6,12,12,10,10,10
TOTAL POINTS,,,,,,,,
EARNED,236,29,7,38,35,13,47,67
MOST POINTS IN A,,,,,,,,
MATCH,15,5,5,13,10,4,10,15
NOT OUT %,83.04%,87.09%,65.38%,80.55%,90%,71.64%,79.83%,89.91%
TOTAL RAIDS,637,93,26,108,100,67,124,119
SUCCESSFUL RAIDS %,33.43,23.65,26.92,32.4,24,19.4,37.09,55.46
NO OF SUPER RAIDS?,5,0,0,0,1,0,2,2
SUPER 10S ?,5,0,0,1,0,0,1,3
TOTAL RAID POINTS,213,22,7,35,24,13,46,66
AVERAGE RAID,,,,,,,,
POINTS / MATCH,2.87,1.57,1.16,2.91,2,1.3,4.6,6.6
NO OF SUPER ?,,,,,,,,
TACKLES,7,1,0,1,5,0,0,0
HIGH 5S ?,1,0,0,0,1,0,0,0
TOTAL TACKLE POINTS,23,7,0,3,11,0,1,1
AVERAGE TACKLE /,,,,,,,,
MATCH,0.21,0.42,0,0.16,0.5,0,0.1,0.1
TOTAL TACKLES,85,22,7,14,19,4,6,13
TACKLE STRIKE RATE,27.05%,31.81%,0,21.42%,57.89%,0,16.66%,7.69%
