SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 3,SEASON 2
MATCHES PLAYED,41,11,0,18,4,8
TOTAL POINTS,,,,,,
EARNED,65,16,0,30,9,10
MOST POINTS IN A,,,,,,
MATCH,6,5,0,4,6,4
NOT OUT %,79.62%,68.42%,0,86.53%,78.37%,71.42%
TOTAL RAIDS,216,19,0,104,37,56
SUCCESSFUL RAIDS %,18.98,47.36,0,15.38,21.62,14.28
NO OF SUPER RAIDS?,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,41,9,0,16,8,8
AVERAGE RAID,,,,,,
POINTS / MATCH,1,0.81,0,0.88,2,1
NO OF SUPER ?,,,,,,
TACKLES,2,1,0,1,0,0
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE POINTS,24,7,0,14,1,2
AVERAGE TACKLE /,,,,,,
MATCH,0.53,0.54,0,0.72,0.25,0.25
TOTAL TACKLES,71,14,0,41,4,12
TACKLE STRIKE RATE,33.80%,50%,0,34.14%,25%,16.66%
