SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,63,18,21,24
TOTAL POINTS,,,,
EARNED,162,40,56,66
MOST POINTS IN A,,,,
MATCH,6,5,6,5
NOT OUT %,92.10%,66.66%,100%,83.33%
TOTAL RAIDS,38,6,26,6
SUCCESSFUL RAIDS %,5.26,16.66,0,16.66
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,2,1,0,1
AVERAGE RAID,,,,
POINTS / MATCH,0.03,0.05,0,0.04
NO OF SUPER ?,,,,
TACKLES,13,3,8,2
HIGH 5S ?,7,1,4,2
TOTAL TACKLE POINTS,160,39,56,65
AVERAGE TACKLE /,,,,
MATCH,2.33,2,2.28,2.62
TOTAL TACKLES,301,87,98,116
TACKLE STRIKE RATE,53.15%,44.82%,57.14%,56.03%
