SEASONS,OVERALL,SEASON 7,SEASON 6,
MATCHES PLAYED,10,6,4,
TOTAL POINTS,,,,
EARNED,24,9,15,
MOST POINTS IN A,,,,
MATCH,13,4,13,
NOT OUT %,?,61.81%,59.37%,65.21%
TOTAL RAIDS,55,32,23,
SUCCESSFUL RAIDS %,40,28.12,56.52,
NO OF SUPER RAIDS?,2,1,1,
SUPER 10S ?,1,0,1,
TOTAL RAID POINTS,22,9,13,
AVERAGE RAID,,,,
POINTS / MATCH,2.2,1.5,3.25,
NO OF SUPER ?,,,,
TACKLES,1,0,1,
HIGH 5S ?,0,0,0,
TOTAL TACKLE POINTS,2,0,2,
AVERAGE TACKLE /,,,,
MATCH,0.1,0,0.25,
TOTAL TACKLES,8,7,1,
TACKLE STRIKE RATE,25%,0,200%,
