SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,87,18,16,20,14,11,8
TOTAL POINTS,,,,,,,
EARNED,111,23,8,36,15,18,11
MOST POINTS IN A,,,,,,,
MATCH,8,6,2,8,3,7,3
NOT OUT %,90.90%,100%,100%,93.75%,100%,77.77%,0
TOTAL RAIDS,33,3,3,16,2,9,0
SUCCESSFUL RAIDS %,12.12,66.66,0,6.25,0,11.11,0
NO OF SUPER RAIDS?,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,4,2,0,1,0,1,0
AVERAGE RAID,,,,,,,
POINTS / MATCH,0.04,0.11,0,0.05,0,0.09,0
NO OF SUPER ?,,,,,,,
TACKLES,15,3,0,5,1,5,1
HIGH 5S ?,3,1,0,1,0,1,0
TOTAL TACKLE POINTS,107,21,8,35,15,17,11
AVERAGE TACKLE /,,,,,,,
MATCH,1.05,1,0.5,1.5,1,1.09,1.25
TOTAL TACKLES,276,59,36,83,40,35,23
TACKLE STRIKE RATE,38.76%,35.59%,22.22%,42.16%,37.50%,48.57%,47.82%
