SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,58,18,22,18
TOTAL POINTS,,,,
EARNED,127,52,47,28
MOST POINTS IN A,,,,
MATCH,5,5,5,4
NOT OUT %,80.53%,84.50%,81.66%,61.11%
TOTAL RAIDS,149,71,60,18
SUCCESSFUL RAIDS %,35.57,35.21,36.66,33.33
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,53,25,22,6
AVERAGE RAID,,,,
POINTS / MATCH,0.91,1.38,1,0.33
NO OF SUPER ?,,,,
TACKLES,4,0,4,0
HIGH 5S ?,1,0,1,0
TOTAL TACKLE POINTS,74,27,25,22
AVERAGE TACKLE /,,,,
MATCH,1.2,1.5,0.95,1.22
TOTAL TACKLES,189,66,69,54
TACKLE STRIKE RATE,39.15%,40.90%,36.23%,40.74%
