SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,39,18,21
TOTAL POINTS,,,
EARNED,398,177,221
MOST POINTS IN A,,,
MATCH,23,23,19
NOT OUT %,75.37%,72.79%,77.57%
TOTAL RAIDS,593,272,321
SUCCESSFUL RAIDS %,66.1,63.97,67.91
NO OF SUPER RAIDS?,16,6,10
SUPER 10S ?,19,7,12
TOTAL RAID POINTS,392,174,218
AVERAGE RAID,,,
POINTS / MATCH,10.05,9.66,10.38
NO OF SUPER ?,,,
TACKLES,0,0,0
HIGH 5S ?,0,0,0
TOTAL TACKLE POINTS,6,3,3
AVERAGE TACKLE /,,,
MATCH,0.15,0.16,0.14
TOTAL TACKLES,15,6,9
TACKLE STRIKE RATE,40%,50%,33.33%
