SEASONS,OVERALL,SEASON 7,SEASON 5,SEASON 2
MATCHES PLAYED,12,12,0,0
TOTAL POINTS,,,,
EARNED,45,45,0,0
MOST POINTS IN A,,,,
MATCH,18,18,0,0
NOT OUT %,69.90%,69.90%,0,0
TOTAL RAIDS,103,103,0,0
SUCCESSFUL RAIDS %,42.71,42.71,0,0
NO OF SUPER RAIDS?,1,1,0,0
SUPER 10S ?,1,1,0,0
TOTAL RAID POINTS,44,44,0,0
AVERAGE RAID,,,,
POINTS / MATCH,3.66,3.66,0,0
NO OF SUPER ?,,,,
TACKLES,0,0,0,0
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,1,1,0,0
AVERAGE TACKLE /,,,,
MATCH,0.08,0.08,0,0
TOTAL TACKLES,7,7,0,0
TACKLE STRIKE RATE,14.28%,14.28%,0,0
