SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,59,18,17,22,2
TOTAL POINTS,,,,,
EARNED,199,61,60,71,7
MOST POINTS IN A,,,,,
MATCH,9,8,9,7,5
NOT OUT %,98.33%,100%,100%,80%,100%
TOTAL RAIDS,60,14,40,5,1
SUCCESSFUL RAIDS %,1.66,0,0,0,100
NO OF SUPER RAIDS?,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,1,0,0,0,1
AVERAGE RAID,,,,,
POINTS / MATCH,0.01,0,0,0,0.5
NO OF SUPER ?,,,,,
TACKLES,21,9,9,3,0
HIGH 5S ?,15,5,5,5,0
TOTAL TACKLE POINTS,198,61,60,71,6
AVERAGE TACKLE /,,,,,
MATCH,3,2.88,3,3.09,3
TOTAL TACKLES,352,105,95,137,15
TACKLE STRIKE RATE,56.25%,58.09%,63.15%,51.82%,40%
