SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,32,17,15
TOTAL POINTS,,,
EARNED,172,119,53
MOST POINTS IN A,,,
MATCH,13,13,13
NOT OUT %,81.62%,81.42%,82.05%
TOTAL RAIDS,370,253,117
SUCCESSFUL RAIDS %,44.59,46.64,40.17
NO OF SUPER RAIDS?,3,2,1
SUPER 10S ?,9,7,2
TOTAL RAID POINTS,165,118,47
AVERAGE RAID,,,
POINTS / MATCH,5.15,6.94,3.13
NO OF SUPER ?,,,
TACKLES,0,0,0
HIGH 5S ?,0,0,0
TOTAL TACKLE POINTS,7,1,6
AVERAGE TACKLE /,,,
MATCH,0.21,0.05,0.4
TOTAL TACKLES,31,12,19
TACKLE STRIKE RATE,22.58%,8.33%,31.57%
