SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,38,15,19,0,4
TOTAL POINTS,,,,,
EARNED,115,51,56,0,8
MOST POINTS IN A,,,,,
MATCH,9,9,8,0,7
NOT OUT %,62.71%,65.81%,60%,0,57.14%
TOTAL RAIDS,236,117,105,0,14
SUCCESSFUL RAIDS %,48.3,43.58,52.38,0,57.14
NO OF SUPER RAIDS?,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,114,51,55,0,8
AVERAGE RAID,,,,,
POINTS / MATCH,3,3.4,2.89,0,2
NO OF SUPER ?,,,,,
TACKLES,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0
TOTAL TACKLE POINTS,1,0,1,0,0
AVERAGE TACKLE /,,,,,
MATCH,0.02,0,0.05,0,0
TOTAL TACKLES,22,5,16,0,1
TACKLE STRIKE RATE,4.54%,0,6.25%,0,0
