SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,33,5,11,17
TOTAL POINTS,,,,
EARNED,71,11,31,29
MOST POINTS IN A,,,,
MATCH,10,6,10,5
NOT OUT %,73.45%,72.41%,76.92%,70.58%
TOTAL RAIDS,162,29,65,68
SUCCESSFUL RAIDS %,43.82,37.93,47.69,42.64
NO OF SUPER RAIDS?,1,0,1,0
SUPER 10S ?,1,0,1,0
TOTAL RAID POINTS,71,11,31,29
AVERAGE RAID,,,,
POINTS / MATCH,2.15,2.2,2.81,1.7
NO OF SUPER ?,,,,
TACKLES,0,0,0,0
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,0,0,0,0
AVERAGE TACKLE /,,,,
MATCH,0,0,0,0
TOTAL TACKLES,6,0,1,5
TACKLE STRIKE RATE,0,0,0,0
