SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,98,19,23,24,16,11,5
TOTAL POINTS,,,,,,,
EARNED,299,62,83,57,52,33,12
MOST POINTS IN A,,,,,,,
MATCH,9,6,7,9,8,6,7
NOT OUT %,88.88%,92.30%,100%,81.81%,100%,50%,75%
TOTAL RAIDS,45,13,14,11,1,2,4
SUCCESSFUL RAIDS %,8.88,15.38,0,0,0,50,25
NO OF SUPER RAIDS?,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,4,2,0,0,0,1,1
AVERAGE RAID,,,,,,,
POINTS / MATCH,0.04,0.1,0,0,0,0.09,0.2
NO OF SUPER ?,,,,,,,
TACKLES,18,3,3,3,7,0,2
HIGH 5S ?,19,2,6,4,4,2,1
TOTAL TACKLE POINTS,295,60,83,57,52,32,11
AVERAGE TACKLE /,,,,,,,
MATCH,2.82,3,3.47,2.25,2.81,2.9,1.8
TOTAL TACKLES,464,104,130,99,72,46,13
TACKLE STRIKE RATE,63.57%,57.69%,63.84%,57.57%,72.22%,69.56%,84.61%
