SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,46,5,8,7,12,14
TOTAL POINTS,,,,,,
EARNED,55,2,10,6,18,19
MOST POINTS IN A,,,,,,
MATCH,4,2,2,2,3,4
NOT OUT %,85.71%,100%,0,100%,50%,0
TOTAL RAIDS,7,2,0,3,2,0
SUCCESSFUL RAIDS %,14.28,0,0,0,50,0
NO OF SUPER RAIDS?,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,1,0,0,0,1,0
AVERAGE RAID,,,,,,
POINTS / MATCH,0.02,0,0,0,0.08,0
NO OF SUPER ?,,,,,,
TACKLES,3,0,0,0,2,1
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE POINTS,54,2,10,6,17,19
AVERAGE TACKLE /,,,,,,
MATCH,1.1,0.4,1.25,0.85,1.25,1.28
TOTAL TACKLES,146,6,21,22,42,55
TACKLE STRIKE RATE,36.98%,33.33%,47.61%,27.27%,40.47%,34.54%
