SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,68,16,19,17,0,11,5
TOTAL POINTS,,,,,,,
EARNED,298,48,108,74,0,56,12
MOST POINTS IN A,,,,,,,
MATCH,11,9,11,11,0,11,7
NOT OUT %,80.90%,79.69%,83.51%,79.39%,0,81.30%,76%
TOTAL RAIDS,618,133,188,165,0,107,25
SUCCESSFUL RAIDS %,43.52,33.08,50,39.39,0,50.46,48
NO OF SUPER RAIDS?,6,2,1,1,0,2,0
SUPER 10S ?,3,0,0,1,0,2,0
TOTAL RAID POINTS,269,44,94,65,0,54,12
AVERAGE RAID,,,,,,,
POINTS / MATCH,3.95,2.75,4.94,3.82,0,4.9,2.4
NO OF SUPER ?,,,,,,,
TACKLES,2,1,1,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,29,4,14,9,0,2,0
AVERAGE TACKLE /,,,,,,,
MATCH,0.39,0.18,0.68,0.52,0,0.18,0
TOTAL TACKLES,94,13,32,28,0,17,4
TACKLE STRIKE RATE,30.85%,30.76%,43.75%,32.14%,0,11.76%,0
