SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,120,19,18,21,16,14,16,16
TOTAL POINTS,,,,,,,,
EARNED,543,60,66,85,66,64,83,119
MOST POINTS IN A,,,,,,,,
MATCH,14,6,7,9,7,11,11,14
NOT OUT %,86.22%,83.33%,87.20%,93.16%,89.77%,98.18%,81.50%,80.45%
TOTAL RAIDS,726,60,86,117,88,55,146,174
SUCCESSFUL RAIDS %,34.02,30,29.06,28.2,27.27,16.36,31.5,52.87
NO OF SUPER RAIDS?,11,0,1,1,0,0,1,8
SUPER 10S ?,1,0,0,0,0,0,0,1
TOTAL RAID POINTS,247,18,25,33,24,9,46,92
AVERAGE RAID,,,,,,,,
POINTS / MATCH,2.05,0.94,1.38,1.57,1.5,0.64,2.87,5.75
NO OF SUPER ?,,,,,,,,
TACKLES,28,5,7,3,2,2,3,6
HIGH 5S ?,16,1,1,1,3,6,2,2
TOTAL TACKLE POINTS,296,42,41,52,42,55,37,27
AVERAGE TACKLE /,,,,,,,,
MATCH,2.23,1.94,1.88,2.33,2.5,3.78,2.12,1.31
TOTAL TACKLES,548,75,81,102,83,95,71,41
TACKLE STRIKE RATE,54.01%,56%,50.61%,50.98%,50.60%,57.89%,52.11%,65.85%
