SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,63,19,22,22
TOTAL POINTS,,,,
EARNED,169,49,62,58
MOST POINTS IN A,,,,
MATCH,9,9,7,6
NOT OUT %,84.61%,71.42%,100%,100%
TOTAL RAIDS,13,7,3,3
SUCCESSFUL RAIDS %,30.76,57.14,0,0
NO OF SUPER RAIDS?,1,1,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,4,4,0,0
AVERAGE RAID,,,,
POINTS / MATCH,0.06,0.21,0,0
NO OF SUPER ?,,,,
TACKLES,5,2,3,0
HIGH 5S ?,7,2,2,3
TOTAL TACKLE POINTS,165,45,62,58
AVERAGE TACKLE /,,,,
MATCH,2.53,2.26,2.68,2.63
TOTAL TACKLES,382,103,127,152
TACKLE STRIKE RATE,43.19%,43.68%,48.81%,38.15%
