SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,17,1,0,4,3,7,2,0
TOTAL POINTS,,,,,,,,
EARNED,30,0,0,6,8,16,0,0
MOST POINTS IN A,,,,,,,,
MATCH,5,0,0,4,4,5,0,0
NOT OUT %,64.89%,50%,0,82.60%,58.33%,62.50%,33.33%,0
TOTAL RAIDS,94,4,0,23,24,40,3,0
SUCCESSFUL RAIDS %,31.91,0,0,26.08,33.33,40,0,0
NO OF SUPER RAIDS?,0,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,30,0,0,6,8,16,0,0
AVERAGE RAID,,,,,,,,
POINTS / MATCH,1.76,0,0,1.5,2.66,2.28,0,0
NO OF SUPER ?,,,,,,,,
TACKLES,0,0,0,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,0,0,0,0,0,0,0,0
AVERAGE TACKLE /,,,,,,,,
MATCH,0,0,0,0,0,0,0,0
TOTAL TACKLES,6,1,0,2,1,2,0,0
TACKLE STRIKE RATE,0,0,0,0,0,0,0,0
