SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,37,10,13,14
TOTAL POINTS,,,,
EARNED,23,6,15,2
MOST POINTS IN A,,,,
MATCH,5,4,5,1
NOT OUT %,0,0,0,0
TOTAL RAIDS,0,0,0,0
SUCCESSFUL RAIDS %,0,0,0,0
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,0,0,0,0
AVERAGE RAID,,,,
POINTS / MATCH,0,0,0,0
NO OF SUPER ?,,,,
TACKLES,6,2,4,0
HIGH 5S ?,1,0,1,0
TOTAL TACKLE POINTS,23,6,15,2
AVERAGE TACKLE /,,,,
MATCH,0.45,0.4,0.84,0.14
TOTAL TACKLES,74,13,34,27
TACKLE STRIKE RATE,31.08%,46.15%,44.11%,7.40%
