SEASONS,OVERALL,SEASON 7,SEASON 6,
MATCHES PLAYED,32,18,14,
TOTAL POINTS,,,,
EARNED,31,25,6,
MOST POINTS IN A,,,,
MATCH,4,4,2,
NOT OUT %,100%,100%,0,
TOTAL RAIDS,14,14,0,
SUCCESSFUL RAIDS %,14.28,14.28,0,
NO OF SUPER RAIDS?,0,0,0,
SUPER 10S ?,0,0,0,
TOTAL RAID POINTS,2,2,0,
AVERAGE RAID,,,,
POINTS / MATCH,0.06,0.11,0,
NO OF SUPER ?,,,,
TACKLES,,3,2,1
HIGH 5S ?,,0,0,0
TOTAL TACKLE POINTS,,29,23,6
AVERAGE TACKLE /,,,,
MATCH,,0.81,1.16,0.35
TOTAL TACKLES,,95,64,31
TACKLE STRIKE RATE,,30.52%,35.93%,19.35%
