SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,46,11,19,16
TOTAL POINTS,,,,
EARNED,111,8,56,47
MOST POINTS IN A,,,,
MATCH,12,2,7,12
NOT OUT %,75.44%,65.51%,77.67%,75.90%
TOTAL RAIDS,224,29,112,83
SUCCESSFUL RAIDS %,33.48,17.24,25.89,49.39
NO OF SUPER RAIDS?,2,0,0,2
SUPER 10S ?,1,0,0,1
TOTAL RAID POINTS,75,5,29,41
AVERAGE RAID,,,,
POINTS / MATCH,1.63,0.45,1.52,2.56
NO OF SUPER ?,,,,
TACKLES,4,1,2,1
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,36,3,27,6
AVERAGE TACKLE /,,,,
MATCH,0.69,0.18,1.31,0.31
TOTAL TACKLES,76,8,52,16
TACKLE STRIKE RATE,47.36%,37.50%,51.92%,37.50%
