SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,69,10,20,26,13
TOTAL POINTS,,,,,
EARNED,475,46,164,202,63
MOST POINTS IN A,,,,,
MATCH,17,10,17,12,11
NOT OUT %,76.13%,73.45%,74.41%,78.63%,75.59%
TOTAL RAIDS,947,113,301,365,168
SUCCESSFUL RAIDS %,47.83,38.05,53.15,52.32,35.11
NO OF SUPER RAIDS?,7,0,3,4,0
SUPER 10S ?,20,1,10,9,0
TOTAL RAID POINTS,453,43,160,191,59
AVERAGE RAID,,,,,
POINTS / MATCH,6.56,4.3,8,7.34,4.53
NO OF SUPER ?,,,,,
TACKLES,3,1,0,1,1
HIGH 5S ?,0,0,0,0,0
TOTAL TACKLE POINTS,22,3,4,11,4
AVERAGE TACKLE /,,,,,
MATCH,0.27,0.2,0.2,0.38,0.23
TOTAL TACKLES,86,11,27,35,13
TACKLE STRIKE RATE,25.58%,27.27%,14.81%,31.42%,30.76%
