SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,62,18,25,19
TOTAL POINTS,,,,
EARNED,199,51,101,47
MOST POINTS IN A,,,,
MATCH,8,7,8,5
NOT OUT %,72.72%,0,85.71%,100%
TOTAL RAIDS,11,2,7,2
SUCCESSFUL RAIDS %,18.18,50,14.28,0
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,2,1,1,0
AVERAGE RAID,,,,
POINTS / MATCH,0.03,0.05,0.04,0
NO OF SUPER ?,,,,
TACKLES,15,6,8,1
HIGH 5S ?,15,3,8,4
TOTAL TACKLE POINTS,197,50,100,47
AVERAGE TACKLE /,,,,
MATCH,2.93,2.44,3.68,2.42
TOTAL TACKLES,330,85,154,91
TACKLE STRIKE RATE,59.69%,58.82%,64.93%,51.64%
