SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,117,14,23,21,14,16,13,16
TOTAL POINTS,,,,,,,,
EARNED,641,47,104,170,70,115,58,77
MOST POINTS IN A,,,,,,,,
MATCH,28,9,10,28,11,14,8,9
NOT OUT %,74.90%,84.49%,79.77%,75.73%,70.21%,74.45%,67.50%,65.57%
TOTAL RAIDS,1263,129,262,305,141,184,120,122
SUCCESSFUL RAIDS %,47.11,35.65,38.16,54.09,49.64,57.6,36.66,52.45
NO OF SUPER RAIDS?,25,2,3,12,2,4,0,2
SUPER 10S ?,10,0,1,5,2,2,0,0
TOTAL RAID POINTS,595,46,100,165,70,106,44,64
AVERAGE RAID,,,,,,,,
POINTS / MATCH,5.08,3.28,4.34,7.85,5,6.62,3.38,4
NO OF SUPER ?,,,,,,,,
TACKLES,2,0,0,1,0,1,0,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,46,1,4,5,0,9,14,13
AVERAGE TACKLE /,,,,,,,,
MATCH,0.37,0.07,0.17,0.19,0,0.5,1.07,0.81
TOTAL TACKLES,142,8,19,16,17,22,26,34
TACKLE STRIKE RATE,32.39%,12.50%,21.05%,31.25%,0,40.90%,53.84%,38.23%
