SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 3,SEASON 2
MATCHES PLAYED,46,12,25,9,0,0
TOTAL POINTS,,,,,,
EARNED,79,4,68,7,0,0
MOST POINTS IN A,,,,,,
MATCH,7,2,7,5,0,0
NOT OUT %,84.54%,92.85%,84.26%,71.42%,0,0
TOTAL RAIDS,110,14,89,7,0,0
SUCCESSFUL RAIDS %,23.63,0,28.08,14.28,0,0
NO OF SUPER RAIDS?,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,26,0,25,1,0,0
AVERAGE RAID,,,,,,
POINTS / MATCH,0.56,0,1,0.11,0,0
NO OF SUPER ?,,,,,,
TACKLES,5,1,4,0,0,0
HIGH 5S ?,3,0,2,1,0,0
TOTAL TACKLE POINTS,53,4,43,6,0,0
AVERAGE TACKLE /,,,,,,
MATCH,1.04,0.25,1.56,0.66,0,0
TOTAL TACKLES,136,11,101,24,0,0
TACKLE STRIKE RATE,38.97%,36.36%,42.57%,25%,0,0
