SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,72,18,25,19,5,5,0
TOTAL POINTS,,,,,,,
EARNED,378,117,146,98,7,10,0
MOST POINTS IN A,,,,,,,
MATCH,17,15,17,13,5,7,0
NOT OUT %,72.79%,77.17%,70.48%,74.70%,68.75%,57.14%,0
TOTAL RAIDS,794,241,332,170,16,35,0
SUCCESSFUL RAIDS %,45.08,47.3,42.46,50.58,43.75,28.57,0
NO OF SUPER RAIDS?,8,2,4,2,0,0,0
SUPER 10S ?,10,3,5,2,0,0,0
TOTAL RAID POINTS,358,114,141,86,7,10,0
AVERAGE RAID,,,,,,,
POINTS / MATCH,4.97,6.33,5.64,4.52,1.4,2,0
NO OF SUPER ?,,,,,,,
TACKLES,3,0,1,2,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,20,3,5,12,0,0,0
AVERAGE TACKLE /,,,,,,,
MATCH,0.23,0.16,0.16,0.52,0,0,0
TOTAL TACKLES,45,8,11,22,3,1,0
TACKLE STRIKE RATE,44.44%,37.50%,45.45%,54.54%,0,0,0
