SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,48,4,1,18,11,12,2
TOTAL POINTS,,,,,,,
EARNED,145,11,0,70,11,45,8
MOST POINTS IN A,,,,,,,
MATCH,11,5,0,11,3,9,6
NOT OUT %,69.37%,52.17%,0,73.28%,58.13%,74.52%,62.50%
TOTAL RAIDS,320,23,1,131,43,106,16
SUCCESSFUL RAIDS %,42.5,43.47,0,51.9,20.93,41.5,31.25
NO OF SUPER RAIDS?,4,0,0,2,0,2,0
SUPER 10S ?,2,0,0,2,0,0,0
TOTAL RAID POINTS,136,10,0,68,9,44,5
AVERAGE RAID,,,,,,,
POINTS / MATCH,2.83,2.5,0,3.77,0.81,3.66,2.5
NO OF SUPER ?,,,,,,,
TACKLES,0,0,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,9,1,0,2,2,1,3
AVERAGE TACKLE /,,,,,,,
MATCH,0.18,0.25,0,0.11,0.18,0.08,1.5
TOTAL TACKLES,53,4,1,23,8,11,6
TACKLE STRIKE RATE,16.98%,25%,0,8.69%,25%,9.09%,50%
