,Model,AUC_Score,Recall_Score,Precision_Score,F1_Score
0,Logistic Regression,0.98,0.89,0.66,0.75
1,GLM,0.98,0.89,0.7,0.78
2,KNN,0.94,0.86,0.94,0.9
3,Random Forest,0.97,0.88,0.57,0.69
4,Decision Tree,0.91,0.0,0.0,0.0
5,LGBM,0.99,0.93,0.57,0.71
6,Perceptron,0.9,0.8,0.9,0.85
7,SVM,0.99,0.94,0.45,0.61
8,XGBoost,0.96,0.9,0.56,0.69
9,AdaBoost,0.98,0.9,0.53,0.67
10,CatBoost,0.98,0.91,0.56,0.69
11,Naive Bayes,0.97,0.88,0.47,0.62
12,SGD,0.97,0.88,0.47,0.62
13,DNN,0.98,0.91,0.57,0.7
14,CNN,0.74,0.48,0.9,0.63
