iter	Passed	Remaining
0	52	52363
1	107	53663
2	156	51956
3	221	55175
4	257	51294
5	292	48491
6	330	46940
7	378	46900
8	438	48284
9	473	46896
10	509	45794
11	543	44724
12	580	44042
13	631	44472
14	710	46668
15	783	48186
16	866	50090
17	937	51140
18	991	51215
19	1025	50268
20	1055	49227
21	1086	48294
22	1113	47316
23	1143	46486
24	1173	45775
25	1206	45206
26	1240	44715
27	1278	44393
28	1312	43929
29	1351	43690
30	1387	43361
31	1422	43042
32	1452	42561
33	1478	42004
34	1500	41358
35	1525	40836
36	1554	40447
37	1579	39977
38	1601	39474
39	1624	38984
40	1647	38534
41	1679	38299
42	1708	38030
43	1739	37802
44	1768	37538
45	1797	37288
46	1825	37019
47	1862	36937
48	1891	36719
49	1929	36666
50	1962	36513
51	1995	36372
52	2024	36173
53	2060	36095
54	2094	35988
55	2130	35918
56	2155	35667
57	2179	35395
58	2202	35124
59	2224	34857
60	2246	34589
61	2267	34311
62	2290	34068
63	2313	33833
64	2338	33636
65	2360	33405
66	2388	33260
67	2423	33221
68	2458	33173
69	2497	33176
70	2535	33175
71	2574	33188
72	2608	33122
73	2641	33050
74	2678	33035
75	2706	32904
76	2733	32761
77	2759	32620
78	2780	32419
79	2804	32246
80	2826	32070
81	2848	31893
82	2873	31743
83	2897	31595
84	2924	31482
85	2949	31350
86	2980	31282
87	3019	31292
88	3058	31303
89	3102	31365
90	3141	31380
91	3187	31454
92	3212	31326
93	3241	31242
94	3271	31168
95	3298	31058
96	3326	30964
97	3349	30832
98	3373	30699
99	3396	30571
100	3420	30443
101	3451	30389
102	3487	30367
103	3526	30385
104	3565	30391
105	3603	30392
106	3644	30416
107	3671	30324
108	3701	30259
109	3726	30149
110	3748	30021
111	3770	29891
112	3792	29768
113	3813	29637
114	3835	29517
115	3857	29396
116	3879	29275
117	3904	29185
118	3944	29201
119	3986	29232
120	4032	29290
121	4071	29303
122	4114	29333
123	4147	29302
124	4181	29267
125	4204	29166
126	4232	29093
127	4260	29026
128	4284	28927
129	4309	28839
130	4331	28733
131	4354	28635
132	4378	28539
133	4401	28445
134	4425	28354
135	4450	28276
136	4484	28248
137	4521	28243
138	4558	28236
139	4596	28234
140	4641	28277
141	4673	28240
142	4708	28218
143	4738	28168
144	4762	28081
145	4785	27989
146	4807	27897
147	4828	27794
148	4851	27706
149	4873	27619
150	4894	27522
151	4918	27440
152	4949	27401
153	4978	27351
154	5018	27361
155	5059	27371
156	5098	27377
157	5139	27388
158	5175	27372
159	5205	27327
160	5235	27280
161	5264	27233
162	5292	27175
163	5315	27096
164	5338	27016
165	5363	26949
166	5387	26874
167	5409	26792
168	5433	26718
169	5456	26642
170	5479	26563
171	5504	26496
172	5529	26430
173	5551	26355
174	5584	26327
175	5609	26260
176	5638	26219
177	5666	26167
178	5706	26173
179	5746	26176
180	5782	26165
181	5818	26153
182	5856	26146
183	5889	26117
184	5919	26075
185	5941	26001
186	5968	25950
187	5994	25889
188	6024	25849
189	6046	25775
190	6068	25703
191	6090	25631
192	6113	25561
193	6135	25489
194	6164	25450
195	6202	25443
196	6240	25435
197	6282	25447
198	6320	25442
199	6357	25430
200	6385	25382
201	6415	25345
202	6440	25284
203	6473	25260
204	6502	25216
205	6535	25190
206	6564	25148
207	6597	25119
208	6635	25112
209	6665	25074
210	6690	25016
211	6721	24983
212	6748	24936
213	6775	24885
214	6803	24841
215	6829	24790
216	6855	24737
217	6886	24702
218	6918	24674
219	6950	24644
220	6983	24615
221	7016	24588
222	7049	24562
223	7075	24511
224	7104	24470
225	7129	24415
226	7155	24366
227	7179	24308
228	7202	24247
229	7224	24185
230	7246	24122
231	7269	24065
232	7294	24010
233	7315	23946
234	7338	23888
235	7360	23829
236	7384	23773
237	7411	23729
238	7433	23668
239	7459	23620
240	7482	23564
241	7504	23505
242	7526	23447
243	7548	23387
244	7569	23326
245	7591	23269
246	7616	23218
247	7638	23161
248	7660	23104
249	7683	23050
250	7709	23005
251	7732	22951
252	7756	22900
253	7778	22845
254	7801	22791
255	7824	22740
256	7847	22688
257	7871	22638
258	7894	22585
259	7917	22533
260	7939	22480
261	7962	22428
262	7986	22379
263	8009	22328
264	8032	22279
265	8056	22230
266	8080	22182
267	8103	22132
268	8128	22088
269	8153	22044
270	8178	22000
271	8204	21957
272	8230	21916
273	8260	21887
274	8288	21852
275	8315	21813
276	8346	21786
277	8382	21770
278	8417	21753
279	8453	21737
280	8488	21718
281	8523	21701
282	8553	21669
283	8575	21620
284	8600	21577
285	8628	21540
286	8650	21490
287	8678	21454
288	8700	21404
289	8724	21358
290	8746	21309
291	8768	21259
292	8788	21207
293	8811	21158
294	8834	21113
295	8861	21076
296	8887	21037
297	8911	20993
298	8933	20944
299	8957	20900
300	8985	20866
301	9012	20830
302	9038	20792
303	9064	20752
304	9084	20700
305	9107	20655
306	9127	20604
307	9147	20551
308	9168	20502
309	9196	20470
310	9226	20441
311	9270	20441
312	9303	20419
313	9336	20398
314	9372	20381
315	9408	20364
316	9444	20348
317	9474	20318
318	9509	20300
319	9534	20260
320	9558	20219
321	9584	20180
322	9604	20129
323	9625	20083
324	9644	20030
325	9661	19974
326	9678	19919
327	9700	19873
328	9718	19820
329	9735	19765
330	9753	19713
331	9773	19664
332	9792	19613
333	9816	19573
334	9838	19529
335	9862	19491
336	9880	19437
337	9897	19385
338	9919	19341
339	9940	19295
340	9956	19241
341	9973	19189
342	9990	19135
343	10007	19083
344	10025	19033
345	10045	18987
346	10077	18965
347	10113	18949
348	10149	18932
349	10187	18919
350	10222	18902
351	10256	18882
352	10279	18840
353	10304	18804
354	10332	18772
355	10353	18729
356	10372	18682
357	10390	18633
358	10408	18585
359	10426	18535
360	10443	18485
361	10464	18443
362	10485	18399
363	10506	18357
364	10528	18317
365	10550	18276
366	10576	18241
367	10600	18205
368	10617	18155
369	10634	18107
370	10650	18057
371	10666	18007
372	10684	17960
373	10702	17913
374	10721	17869
375	10741	17825
376	10762	17786
377	10780	17738
378	10798	17693
379	10816	17647
380	10832	17598
381	10848	17550
382	10868	17508
383	10886	17464
384	10903	17418
385	10920	17370
386	10937	17324
387	10952	17276
388	10970	17231
389	10986	17183
390	11004	17140
391	11020	17093
392	11037	17048
393	11054	17003
394	11073	16959
395	11090	16915
396	11107	16870
397	11125	16828
398	11142	16783
399	11160	16740
400	11176	16695
401	11195	16653
402	11212	16610
403	11230	16567
404	11247	16524
405	11264	16480
406	11282	16438
407	11299	16394
408	11316	16351
409	11332	16307
410	11348	16264
411	11365	16220
412	11380	16175
413	11399	16135
414	11415	16092
415	11433	16050
416	11449	16007
417	11467	15966
418	11484	15924
419	11500	15882
420	11516	15838
421	11533	15797
422	11551	15757
423	11569	15716
424	11585	15674
425	11601	15632
426	11618	15590
427	11634	15548
428	11650	15507
429	11666	15465
430	11683	15424
431	11700	15384
432	11717	15343
433	11737	15307
434	11756	15270
435	11774	15231
436	11792	15192
437	11808	15151
438	11825	15111
439	11842	15071
440	11858	15032
441	11876	14992
442	11892	14952
443	11910	14915
444	11926	14874
445	11943	14835
446	11961	14797
447	11977	14758
448	11994	14718
449	12011	14680
450	12027	14640
451	12043	14601
452	12060	14562
453	12076	14524
454	12093	14485
455	12110	14447
456	12127	14409
457	12143	14371
458	12160	14333
459	12184	14303
460	12206	14271
461	12227	14239
462	12247	14204
463	12267	14170
464	12288	14138
465	12309	14106
466	12341	14085
467	12373	14065
468	12394	14033
469	12415	14000
470	12435	13966
471	12456	13934
472	12478	13902
473	12509	13881
474	12566	13889
475	12624	13897
476	12661	13882
477	12700	13869
478	12736	13853
479	12772	13836
480	12796	13807
481	12821	13779
482	12842	13746
483	12864	13714
484	12881	13678
485	12898	13641
486	12915	13605
487	12932	13568
488	12948	13530
489	12965	13494
490	12985	13461
491	13003	13426
492	13023	13393
493	13041	13357
494	13057	13321
495	13073	13284
496	13092	13250
497	13112	13217
498	13128	13180
499	13145	13145
500	13161	13108
501	13178	13073
502	13196	13039
503	13220	13010
504	13260	12998
505	13300	12985
506	13339	12971
507	13376	12954
508	13412	12937
509	13441	12914
510	13463	12883
511	13486	12854
512	13506	12822
513	13526	12789
514	13543	12754
515	13560	12719
516	13577	12684
517	13594	12649
518	13613	12617
519	13630	12581
520	13647	12547
521	13665	12513
522	13682	12478
523	13698	12443
524	13715	12409
525	13733	12375
526	13775	12363
527	13809	12344
528	13850	12331
529	13886	12314
530	13922	12296
531	13958	12279
532	13993	12260
533	14020	12235
534	14045	12207
535	14072	12181
536	14094	12152
537	14116	12122
538	14134	12088
539	14151	12055
540	14167	12019
541	14188	11989
542	14211	11960
543	14233	11930
544	14254	11900
545	14275	11870
546	14295	11839
547	14317	11809
548	14336	11777
549	14358	11747
550	14381	11719
551	14400	11687
552	14421	11656
553	14441	11625
554	14462	11595
555	14483	11566
556	14504	11535
557	14528	11507
558	14550	11478
559	14569	11447
560	14590	11417
561	14609	11386
562	14634	11359
563	14654	11328
564	14678	11300
565	14718	11285
566	14783	11289
567	14844	11290
568	14898	11284
569	14940	11271
570	14968	11245
571	14994	11219
572	15018	11191
573	15038	11161
574	15057	11129
575	15078	11099
576	15097	11067
577	15120	11039
578	15141	11009
579	15162	10979
580	15185	10951
581	15222	10932
582	15276	10926
583	15351	10935
584	15413	10934
585	15472	10931
586	15503	10907
587	15535	10885
588	15562	10859
589	15599	10840
590	15634	10819
591	15670	10800
592	15698	10774
593	15726	10749
594	15757	10725
595	15780	10696
596	15822	10681
597	15869	10667
598	15906	10648
599	15950	10633
600	16010	10629
601	16045	10608
602	16077	10585
603	16099	10555
604	16119	10524
605	16135	10490
606	16152	10457
607	16169	10424
608	16185	10391
609	16201	10358
610	16218	10325
611	16235	10293
612	16253	10261
613	16270	10228
614	16290	10197
615	16308	10166
616	16325	10133
617	16343	10102
618	16375	10079
619	16410	10057
620	16448	10038
621	16486	10019
622	16533	10005
623	16569	9984
624	16606	9964
625	16633	9937
626	16655	9908
627	16675	9877
628	16696	9847
629	16716	9817
630	16732	9784
631	16748	9752
632	16764	9719
633	16781	9687
634	16798	9655
635	16814	9623
636	16829	9590
637	16847	9559
638	16864	9527
639	16881	9495
640	16904	9467
641	16950	9451
642	17020	9450
