Sno,repo_name,repo_description,repo_language,repo_stars,repo_forks
0,shivanikohlii/SanTran,A Machine Learning project to translate Sanskrit text to English,Jupyter Notebook,37,22
1,carpentries/instructor-training,Instructor Training,,161,271
2,cmunch1/nba-prediction,A project to deploy an online app that predicts the win probability for each NBA game every day. Demonstrates end-to-end Machine Learning deployment.,Jupyter Notebook,104,12
3,facebookresearch/dropout,"Code release for ""Dropout Reduces Underfitting""",Python,290,16
4,iryna-kondr/scikit-llm,Seamlessly integrate powerful language models like ChatGPT into scikit-learn for enhanced text analysis tasks.,Python,1789,139
5,xingyaoww/LeTI,"Official repo for paper ""LeTI: Learning to Generate from Textual Interactions.""",Python,50,6
6,kyrolabs/awesome-langchain,😎 Awesome list of tools and projects with the awesome LangChain framework,,2834,145
7,SkalskiP/courses,This repository is a curated collection of links to various courses and resources about Artificial Intelligence (AI),Python,2855,224
8,alexeygrigorev/mlbookcamp-code,The code from the Machine Learning Bookcamp book and a free course based on the book,Jupyter Notebook,6042,1562
9,facebookresearch/fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,Python,26266,5833
10,aupasana/ashtadhyayi,Various vrittis associated with the ashtadhyayi,Python,8,5
11,cleanlab/cleanlab,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",Python,6057,500
12,Deci-AI/super-gradients,Easily train or fine-tune SOTA computer vision models with one open source training library. The home of Yolo-NAS.,Python,2721,235
13,roboflow/notebooks,"Examples and tutorials on using SOTA computer vision models and techniques. Learn everything from old-school ResNet, through YOLO and object-detection transformers like DETR, to the latest models like Grounding DINO and SAM.",Jupyter Notebook,2403,338
14,MaxDu17/BehaviorRetrieval,Code for the Behavior Retrieval Paper,Python,9,1
15,jaymody/picoGPT,An unnecessarily tiny implementation of GPT-2 in NumPy.,Python,2392,301
16,Stability-AI/StableLM,StableLM: Stability AI Language Models,Jupyter Notebook,14581,878
17,altryne/chatGPT-telegram-bot,This is a very early attempt at having chatGPT work within a telegram bot,Python,1639,247
18,dataflowr/notebooks,code for deep learning courses,Jupyter Notebook,877,282
