,Fname,Original,Numeric
0,MSSubClass,60,0
1,MSSubClass,20,1
2,MSSubClass,70,2
3,MSSubClass,50,3
4,MSSubClass,190,4
5,MSSubClass,45,5
6,MSSubClass,90,6
7,MSSubClass,120,7
8,MSSubClass,30,8
9,MSSubClass,85,9
10,MSSubClass,80,10
11,MSSubClass,160,11
12,MSSubClass,75,12
13,MSSubClass,180,13
14,MSSubClass,40,14
0,MSZoning,RL,0
1,MSZoning,RM,1
2,MSZoning,FV,2
3,MSZoning,C (all),3
4,MSZoning,RH,4
0,Street,Pave,0
1,Street,Grvl,1
0,LotShape,Reg,0
1,LotShape,IR1,1
2,LotShape,IR2,2
3,LotShape,IR3,3
0,LandContour,Lvl,0
1,LandContour,Bnk,1
2,LandContour,Low,2
3,LandContour,HLS,3
0,Utilities,AllPub,0
1,Utilities,NoSeWa,1
0,LotConfig,Inside,0
1,LotConfig,FR2,1
2,LotConfig,Corner,2
3,LotConfig,CulDSac,3
4,LotConfig,FR3,4
0,LandSlope,Gtl,0
1,LandSlope,Mod,1
2,LandSlope,Sev,2
0,Neighborhood,CollgCr,0
1,Neighborhood,Veenker,1
2,Neighborhood,Crawfor,2
3,Neighborhood,NoRidge,3
4,Neighborhood,Mitchel,4
5,Neighborhood,Somerst,5
6,Neighborhood,NWAmes,6
7,Neighborhood,OldTown,7
8,Neighborhood,BrkSide,8
9,Neighborhood,Sawyer,9
10,Neighborhood,NridgHt,10
11,Neighborhood,NAmes,11
12,Neighborhood,SawyerW,12
13,Neighborhood,IDOTRR,13
14,Neighborhood,MeadowV,14
15,Neighborhood,Edwards,15
16,Neighborhood,Timber,16
17,Neighborhood,Gilbert,17
18,Neighborhood,StoneBr,18
19,Neighborhood,ClearCr,19
20,Neighborhood,NPkVill,20
21,Neighborhood,Blmngtn,21
22,Neighborhood,BrDale,22
23,Neighborhood,SWISU,23
24,Neighborhood,Blueste,24
0,Condition1,Norm,0
1,Condition1,Feedr,1
2,Condition1,PosN,2
3,Condition1,Artery,3
4,Condition1,RRAe,4
5,Condition1,RRNn,5
6,Condition1,RRAn,6
7,Condition1,PosA,7
8,Condition1,RRNe,8
0,Condition2,Norm,0
1,Condition2,Artery,1
2,Condition2,RRNn,2
3,Condition2,Feedr,3
4,Condition2,PosN,4
5,Condition2,PosA,5
6,Condition2,RRAn,6
7,Condition2,RRAe,7
0,BldgType,1Fam,0
1,BldgType,2fmCon,1
2,BldgType,Duplex,2
3,BldgType,TwnhsE,3
