Section_Id,Chunk_Id,Chunk,Chunk_Letters,Chunk_Words,Chunk_Approx_Tokens
Book01_002,4,"'Hear, O Sanjaya, all that happened thereupon and came to my knowledge. And when thou hast heard all I say, recollecting everything as it fell out, thou shall then know me for one with a prophetic eye. When I heard that Arjuna, having bent the bow, had pierced the curious mark and brought it down to the ground, and bore away in triumph the maiden Krishna, in the sight of the assembled princes, then, O Sanjaya I had no hope of success. When I heard that Subhadra of the race of Madhu had, after forcible seizure been married by Arjuna in the city of Dwaraka, and that the two heroes of the race of Vrishni (Krishna and Balarama the brothers of Subhadra) without resenting it had entered Indraprastha as friends, then, O Sanjaya, I had no hope of success. When I heard that Arjuna, by his celestial arrow preventing the downpour by Indra the king of the gods, had gratified Agni by making over to him the forest of Khandava, then, O Sanjaya, I had no hope of success. When I heard that the five Pandavas with their mother Kunti had escaped from the house of lac, and that Vidura was engaged in the accomplishment of their designs, then, O Sanjaya, I had no hope of success. When I heard that Arjuna, after having pierced the mark in the arena had won Draupadi, and that the brave Panchalas had joined the Pandavas, then, O Sanjaya, I had no hope of success. When I heard that Jarasandha, the foremost of the royal line of Magadha, and blazing in the midst of the Kshatriyas, had been slain by Bhima with his bare arms alone, then, O Sanjaya, I had no hope of success. When I heard that in their general campaign the sons of Pandu had conquered the chiefs of the land and performed the grand sacrifice of the Rajasuya, then, O Sanjaya, I had no hope of success. When I heard that Draupadi, her voice choked with tears and heart full of agony, in the season of impurity and with but one raiment on, had been dragged into court and though she had protectors, she had been treated as if she had none, then, O Sanjaya, I had no hope of success. When I heard that the wicked wretch Duhsasana, was striving to strip her of that single garment, had only drawn from her person a large heap of cloth without being able to arrive at its end, then, O Sanjaya, I had no hope of success. When I heard that Yudhishthira, beaten by Saubala at the game of dice and deprived of his kingdom as a consequence thereof, had still been attended upon by his brothers of incomparable prowess, then, O Sanjaya, I had no hope of success. When I heard that the virtuous Pandavas weeping with affliction had followed their elder brother to the wilderness and exerted themselves variously for the mitigation of his discomforts, then, O Sanjaya, I had no hope of success.",2742,505,672.0
Book01_002,7,"""In former days, having placed the four Vedas on one side and the Bharata on the other, these were weighed in the balance by the celestials assembled for that purpose. And as the latter weighed heavier than the four Vedas with their mysteries, from that period it hath been called in the world Mahabharata (the great Bharata). Being esteemed superior both in substance and gravity of import it is denominated Mahabharata on account of such substance and gravity of import. He that knoweth its meaning is saved from all his sins.
'Tapa is innocent, study is harmless, the ordinance of the Vedas prescribed for all the tribes are harmless, the acquisition of wealth by exertion is harmless; but when they are abused in their practices it is then that they become sources of evil.'""",779,133,177.0
Book01_003,15,"""The above are the contents of the Eighteen Parvas. In the appendix (Khita) are the Harivansa and the Vavishya. The number of slokas contained in the Harivansa is twelve thousand.""
These are the contents of the section called Parva-sangraha. Sauti continued, ""Eighteen Akshauhinis of troops came together for battle. The encounter that ensued was terrible and lasted for eighteen days. He who knows the four Vedas with all the Angas and Upanishads, but does not know this history (Bharata), cannot be regarded as wise. Vyasa of immeasurable intelligence, has spoken of the Mahabharata as a treatise on Artha, on Dharma, and on Kama. Those who have listened to his history can never bear to listen to others, as, indeed, they who have listened to the sweet voice of the male Kokila can never hear the dissonance of the crow's cawing. As the formation of the three worlds proceedeth from the five elements, so do the inspirations of all poets proceed from this excellent composition. O ye Brahman, as the four kinds of creatures (viviparous, oviparous, born of hot moisture and vegetables) are dependent on space for their existence, so the Puranas depend upon this history. As all the senses depend for their exercise upon the various modifications of the mind, so do all acts (ceremonials) and moral qualities depend upon this treatise. There is not a story current in the world but doth depend on this history, even as body upon the food it taketh. All poets cherish the Bharata even as servants desirous of preferment always attend upon masters of good lineage. Even as the blessed domestic Asrama can never be surpassed by the three other Asramas (modes of life) so no poets can surpass this poem.
""Ye ascetics, shake off all inaction. Let your hearts be fixed on virtue, for virtue is the one only friend of him that has gone to the other world. Even the most intelligent by cherishing wealth and wives can never make these their own, nor are these possessions lasting. The Bharata uttered by the lips of Dwaipayana is without a parallel; it is virtue itself and sacred. It destroyeth sin and produceth good. He that listeneth to it while it is being recited hath no need of a bath in the sacred waters of Pushkara. A Brahmana, whatever sins he may commit during the day through his senses, is freed from them all by reading the Bharata in the evening. Whatever sins he may commit also in the night by deeds, words, or mind, he is freed from them all by reading Bharata in the first twilight (morning). He that giveth a hundred kine with horns mounted with gold to a Brahmana well-posted up in the Vedas and all branches of learning, and he that daily listeneth to the sacred narrations of the Bharata, acquireth equal merit. As the wide ocean is easily passable by men having ships, so is this extensive history of great excellence and deep import with the help of this chapter called Parva sangraha.""
Thus endeth the section called Parva-sangraha of the Adi Parva of the blessed Mahabharata.",2997,517,688.0
Book01_005,21,"Section IV
(Pauloma Parva)
'UGRASRAVA SAUTI, the son of Lomaharshana, versed in the Puranas, while present in the forest of Naimisha, at the twelve years' sacrifice of Saunaka, surnamed Kulapati, stood before the Rishis in attendance. Having studied Puranas with meticulous devotion and thus being thoroughly acquainted with them, he addressed them with joined hands thus, 'I have graphically described to you the history of Utanka which is one of the causes of King Janamejaya's Snake-sacrifice. What, revered Sirs, do ye wish to hear now? What shall I relate to you?' The holy men replied, 'O son of Lomaharshana, we shall ask thee about what we are anxious to hear and thou wilt recount the tales one by one. Saunaka, our revered master, is at present attending the apartment of the holy fire. He is acquainted with those divine stories which relate to the gods and asuras. He adequately knoweth the histories of men, serpents, and Gandharvas. Further, O Sauti, in this sacrifice that learned Brahmana is the chief. He is able, faithful to his vows, wise, a master of the Sastras and the Aranyaka, a speaker of truth, a lover of peace, a mortifier of the flesh, and an observer of the penances according to the authoritative decrees. He is respected by us all. It behoveth us therefore to wait for him. And when he is seated on his highly respected seat, thou wilt answer what that best of Dwijas shall ask of thee.'
""Sauti said, 'Be it so. And when the high-souled master hath been seated I shall narrate, questioned by him, sacred stories on a variety of subjects."" After a while that excellent Brahmana (Saunaka) having duly finished all his duties, and having propitiated the gods with prayers and the manes with oblations of water, came back to the place of sacrifice, where with Sauti seated before was the assembly of saints of rigid vows sitting at ease. And when Saunaka was seated in the midst of the Ritwiks and Sadhyas, who were also in their seats, he spake as followeth.""",1988,341,454.0
Book01_007,23,"Section VI
(Pauloma Parva continued)
""Sauti said, 'O Brahmana, having heard these words from the god of fire, the Rakshasa assumed the form of a boar, and seizing the lady carried her away with the speed of the wind--even of thought. Then the child of Bhrigu lying in her body enraged at such violence, dropped from his mother's womb, for which he obtained the name of Chyavana. And the Rakshasa perceiving the infant drop from the mother's womb, shining like the sun, quitted his grasp of the woman, fell down and was instantly converted into ashes. And the beautiful Pauloma, distracted with grief, O Brahmana of the Bhrigu race, took up her offspring Chyavana, the son of Bhrigu and walked away. And Brahma, the Grandfather of all, himself saw her, the faultless wife of his son, weeping. And the Grandfather of all comforted her who was attached to her son. And the drops of tears which rolled down her eyes formed a great river. And that river began to follow the foot-steps of the wife of the great ascetic Bhrigu. And the Grandfather of the worlds seeing that river follow the path of his son's wife gave it a name himself, and he called it Vadhusara. And it passeth by the hermitage of Chyavana. And in this manner was born Chyavana of great ascetic power, the son of Bhrigu.
""And Bhrigu saw his child Chyavana and its beautiful mother. And the Rishi in a rage asked her, 'By whom wast thou made known to that Rakshasa who resolved to carry thee away? O thou of agreeable smiles, the Rakshasa could not know thee as my wile. Therefore tell me who it was that told the Rakshasa so, in order that I may curse him through anger.' And Pauloma replied, 'O possessor of the six attributes! I was identified to the Rakshasa by Agni (the god of fire). And he (the Rakshasa) bore me away, who cried like the Kurari (female osprey). And it was only by the ardent splendour of this thy son that I was rescued, for the Rakshasa (seeing this infant) let me go and himself falling to the ground was turned into ashes.'
""Sauti continued, 'Bhrigu, upon hearing this account from Pauloma, became exceedingly enraged. And in excess of passion the Rishi cursed Agni, saying, 'Thou shalt eat of all things.'""
So ends the sixth section called ""the curse on Agni"" in the Adi Parva.",2267,403,536.0
Book01_011,27,"Section X
(Pauloma Parva continued)
Sauti said, 'And Ruru, on hearing those words, replied, 'My wife, dear to me as life, was bit by a snake; upon which, I took, O snake, a dreadful vow, viz., that I would kill every snake that I might come across. Therefore shall I smite thee and thou shalt be deprived of life.'
""And the Dundubha replied, 'O Brahmana, the snakes that bite man are quite different in type. It behoveth thee not to slay Dundubhas who are serpents only in name. Subject like other serpents to the same calamities but not sharing their good fortune, in woe the same but in joy different, the Dundubhas should not be slain by thee under any misconception.'
""Sauti continued, 'And the Rishi Ruru hearing these words of the serpent, and seeing that it was bewildered with fear, albeit a snake of the Dundubha species, killed it not. And Ruru, the possessor of the six attributes, comforting the snake addressed it, saying, 'Tell me fully, O snake, who art thou thus metamorphosed?' And the Dundubha replied, 'O Ruru! I was formerly a Rishi by name Sahasrapat. And it is by the curse of a Brahmana that I have been transformed into a snake. And Ruru asked, 'O thou best of snakes, for what wast thou cursed by a Brahmana in wrath? And how long also will thy form continue so?'""
And so ends the tenth section of the Pauloma Parva of the Adi Parva.",1358,242,322.0
Book01_012,28,"Section XI
(Pauloma Parva continued)
""Sauti continued 'The Dundubha then said, 'In former times, I had a friend Khagama by name. He was impetuous in his speech and possessed of spiritual power by virtue of his austerities. And one day when he was engaged in the Agni-hotra (Fire-sacrifice), I made a mock snake of blades of grass, and in a frolic attempted to frighten him with it. And anon he fell into a swoon. On recovering his senses, that truth-telling and vow-observing ascetic, burning with wrath, exclaimed, 'Since thou hast made a powerless mock snake to frighten me, thou shalt be turned even into a venomless serpent thyself by my curse.' O ascetic, I well knew the power of his penances; therefore with an agitated heart, I addressed him thus, bending low with joined hands, 'Friend, I did this by way of a joke, to excite thy laughter. It behoveth thee to forgive me and revoke thy curse.' And seeing me sorely troubled, the ascetic was moved, and he replied, breathing hot and hard. 'What I have said must come to pass. Listen to what I say and lay it to thy heart. O pious one! when Ruru the pure son of Pramati, will appear, thou shall be delivered from the curse the moment thou seest him. Thou art the very Ruru and the son of Pramati. On regaining my native form, I will tell thee something for thy good.
""And that illustrious man and the best of Brahmanas then left his snake-body, and attained his own form and original brightness. He then addressed the following words to Ruru of incomparable power, 'O thou first of created beings, verily the highest virtue of man is sparing the life of others. Therefore a Brahmana should never take the life of any creature. A Brahmana should ever be mild. This is the most sacred injunction of the Vedas. A Brahmana should be versed in the Vedas and Vedangas, and should inspire all creatures with belief in God. He should be benevolent to all creatures, truthful, and forgiving, even as it is his paramount duty to retain the Vedas in his memory. The duties of the Kshatriya are not thine. To be stern, to wield the sceptre and to rule the subjects properly are the duties of the Kshatriya. Listen, O Ruru, to the account of the destruction of snakes at the sacrifice of Janamejaya in days of yore, and the deliverance of the terrified reptiles by that best of Dwijas, Astika, profound in Vedic lore and might in spiritual energy.'""
And so ends the eleventh section of the Pauloma Parva of the Adi Parva.",2465,438,583.0
Book01_013,29,"Section XII
(Pauloma Parva continued)
""Sauti continued, 'Ruru then asked, 'O best of Dwijas, why was king Janamejaya bent upon destroying the serpents?--And why and how were they saved by the wise Astika? I am anxious to hear all this in detail.'
""The Rishi replied, 'O Ruru, the important history of Astika you will learn from the lips of Brahmanas.' Saying this, he vanished.
""Sauti continued, 'Ruru ran about in search of the missing Rishi, and having failed to find him in all the woods, fell down on the ground, fatigued. And revolving in his mind the words of the Rishi, he was greatly confounded and seemed to be deprived of his senses. Regaining consciousness, he came home and asked his father to relate the history in question. Thus asked, his father related all about the story.'""
So ends the twelfth section in the Pauloma Parva of the Adi Parva.",858,145,193.0
Book01_015,31,"Section XIV
(Astika Parva continued)
""Sauti said, 'That Brahmana of rigid vows then wandered over the earth for a wife but a wife found he not. One day he went into the forest, and recollecting the words of his ancestors, he thrice prayed in a faint voice for a bride. Thereupon Vasuki rose and offered his sister for the Rishi's acceptance. But the Brahmana hesitated to accept her, thinking her not to be of the same name with himself. The high-souled Jaratkaru thought within himself, 'I will take none for wife who is not of the same name with myself.' Then that Rishi of great wisdom and austere penances asked him, saying, 'Tell me truly what is the name of this thy sister, O snake.'
""Vasuki replied, 'O Jaratkaru, this my younger sister is called Jaratkaru. Given away by me, accept this slender-waisted damsel for thy spouse. O best of Brahmanas, for thee I reserved her. Therefore, take her.' Saying this, he offered his beautiful sister to Jaratkaru who then espoused her with ordained rites.'""
So ends the thirteenth section in the Astika Parva of the Adi Parva.",1074,184,245.0
Book01_016,32,"Section XV
(Astika Parva continued)
""Sauti said, 'O foremost of persons acquainted with Brahma, the mother of the snakes had cursed them of old, saying, 'He that hath the Wind for his charioteer (viz., Agni) shall burn you all in Janamejaya's sacrifice!' It was to neutralise that curse that the chief of the snakes married his sister to that high-souled Rishi of excellent vows. The Rishi wedded her according to the rites ordained (in the scriptures), and from them was born a high-souled son called Astika. An illustrious ascetic; versed in the Vedas and their branches, he regarded all with an even eye, and removed the fears of both his parents.
""Then, after a long space of time, a king descending from the Pandava line celebrated a great sacrifice known as the Snake-sacrifice, After that sacrifice had commenced for the destruction of the snakes, Astika delivered the Nagas, viz., his brothers and maternal uncles and other snakes (from a fiery death). And he delivered his fathers also by begetting offspring. And by his austerities, O Brahmana, and various vows and study of the Vedas, he freed himself from all his debts. By sacrifices, at which various kinds of offerings were made, he propitiated the gods. By practising the Brahmacharya mode of life he conciliated the Rishis; and by begetting offspring he gratified his ancestors.
""Thus Jaratkaru of rigid vows discharged the heavy debt he owed to his sires who being thus relieved from bondage ascended to heaven. Thus having acquired great religious merit, Jaratkaru, after a long course of years, went to heaven, leaving Astika behind. There is the story of Astika that I have related duly Now, tell me, O tiger of Bhrigu's race, what else I shall narrate.""
So ends the fifteenth section in the Astika Parva of the Adi Parva.",1793,298,396.0
