QuesId,SectionId,ContextId,Question,Answer,Reference
1,Book01_001,1,Question: Who composed the Mahabharata and recited it at the snake-sacrifice of Raja Janamejaya?,Answer: The Mahabharata was composed by Krishna-Dwaipayana (Vyasa) and recited by Vaisampayana at the snake-sacrifice of Raja Janamejaya.,"Reference: ""Sauti said, 'Having heard the diverse sacred and wonderful stories which were composed in his Mahabharata by Krishna-Dwaipayana, and which were recited in full by Vaisampayana at the Snake-sacrifice of the high-souled royal sage Janamejaya..."""
2,Book01_001,1,Question: What is the nature of the Mahabharata and what does it encompass?,"Answer: The Mahabharata is a sacred work, an eminent narrative that is diverse in diction and division. It possesses subtile meanings logically combined and is gleaned from the Vedas. It includes the subjects of other books and comprehends the sense of the four Vedas.","Reference: ""The Purana, first promulgated by the great Rishi Dwaipayana, and which after having been heard both by the gods and the Brahmarshis was highly esteemed, being the most eminent narrative that exists, diversified both in diction and division, possessing subtile meanings logically combined, and gleaned from the Vedas, is a sacred work. Composed in elegant language, it includeth the subjects of other books. It is elucidated by other Shastras, and comprehendeth the sense of the four Vedas."""
3,Book01_001,1,Question: How did creation begin according to the Mahabharata?,"Answer: At the beginning of the Yuga, from a mighty egg called Mahadivya, the lord Pitamaha Brahma, along with Suraguru and Sthanu, emerged. This was followed by the appearance of twenty-one Prajapatis, various celestial beings, Brahmarshis, and other elements of creation such as water, heavens, earth, and seasons.","Reference: ""In this world, when it was destitute of brightness and light, and enveloped all around in total darkness, there came into being, as the primal cause of creation, a mighty egg, the one inexhaustible seed of all created beings. It is called Mahadivya, and was formed at the beginning of the Yuga... Then appeared the twenty-one Prajapatis, viz., Manu, Vasishtha and Parameshthi; ten Prachetas, Daksha, and the seven sons of Daksha. Then appeared the man of inconceivable nature whom all the Rishis know and so the Viswe-devas, the Adityas, the Vasus, and the twin Aswins; the Yakshas, the Sadhyas, the Pisachas, the Guhyakas, and the Pitris. After these were produced the wise and most holy Brahmarshis, and the numerous Rajarshis distinguished by every noble quality. So the water, the heavens, the earth, the air, the sky, the points of the heavens, the years, the seasons, the months, the fortnights, called Pakshas, with day and night in due succession. And thus were produced all things which are known to mankind."""
4,Book01_001,2,Question: How will the universe be affected at the end of the world and the expiration of the Yuga?,"Answer: At the end of the world and the expiration of the Yuga, everything seen in the universe, whether animate or inanimate, will be confounded and destroyed. However, at the commencement of other Yugas, all things will be renovated and succeed each other in due order.","Reference: ""And what is seen in the universe, whether animate or inanimate, of created things, will at the end of the world, and after the expiration of the Yuga, be again confounded. And, at the commencement of other Yugas, all things will be renovated, and, like the various fruits of the earth, succeed each other in the due order of their seasons."""
5,Book01_001,2,"Question: How many generations of Devas were there, and who were their prominent descendants?","Answer: The generation of Devas consisted of thirty-three thousand, thirty-three hundred, and thirty-three individuals. Some of their prominent descendants include Brihadbhanu, Chakshus, Atma Vibhavasu, Savita, Richika, Arka, Bhanu, Asavaha, Ravi, and others. The offspring of these descendants gave rise to families such as the Kurus, Yadus, Bharatas, Yayati, Ikshwaku, and various Rajarshis.","Reference: ""The generation of Devas, in brief, was thirty-three thousand, thirty-three hundred and thirty-three. The sons of Div were Brihadbhanu, Chakshus, Atma Vibhavasu, Savita, Richika, Arka, Bhanu, Asavaha, and Ravi. Of these Vivaswans of old, Mahya was the youngest whose son was Deva-vrata. The latter had for his son, Su-vrata who, we learn, had three sons,--Dasa-jyoti, Sata-jyoti, and Sahasra-jyoti, each of them producing numerous offspring. The illustrious Dasa-jyoti had ten thousand, Sata-jyoti ten times that number, and Sahasra-jyoti ten times the number of Sata-jyoti's offspring. From these are descended the family of the Kurus, of the Yadus, and of Bharata; the family of Yayati and of Ikshwaku; also of all the Rajarshis."""
6,Book01_001,2,Question: Who composed the Mahabharata and how did it come into existence?,"Answer: The Mahabharata was composed by the noble Dwaipayana Vyasa, who, after analyzing the eternal Veda through penance and meditation, authored this holy history. The poem was then written with the help of Ganesha, who was summoned by Vyasa at the behest of Brahma.","Reference: ""The son of Satyavati having, by penance and meditation, analyzed the eternal Veda, afterwards composed this holy history, when that learned Brahmarshi of strict vows, the noble Dwaipayana Vyasa, offspring of Parasara, had finished this greatest of narrations, he began to consider how he might teach it to his disciples... Then Vyasa began to call to mind Ganesa. And Ganesa, obviator of obstacles, ready to fulfil the desires of his votaries, was no sooner thought of, than he repaired to the place where Vyasa was seated. And when he had been saluted, and was seated, Vyasa addressed him thus, 'O guide of the Ganas! be thou the writer of the Bharata which I have formed in my imagination, and which I am about to repeat.'"""
7,Book01_001,3,"Question: Who became the writer of Vyasa's work, the Bharata, and under what condition?","Answer: Ganesa, upon Vyasa's request, became the writer of the Bharata. However, he agreed to do so only on the condition that Vyasa's pen should not cease writing.","Reference: ""Ganesa, upon hearing this address, thus answered, 'I will become the writer of thy work, provided my pen do not for a moment cease writing."""
8,Book01_001,3,Question: How was the Bharata composed and what were its various parts compared to?,"Answer: The Bharata was composed by Vyasa, who knitted the knots of composition closely while dictating the work. The different parts of the Bharata were compared to a tree, with the chapter of contents as the seed, divisions and books representing various components such as the root, trunk, leaves, flowers, fruit, etc.","Reference: ""This work is a tree, of which the chapter of contents is the seed; the divisions called Pauloma and Astika are the root; the part called Sambhava is the trunk; the books called Sabha and Aranya are the roosting perches; the books called Arani is the knitting knots; the books called Virata and Udyoga the pith; the book named Bhishma, the main branch; the book called Drona, the leaves; the book called Karna, the fair flowers; the book named Salya, their sweet smell; the books entitled Stri and Aishika, the refreshing shade; the book called Santi, the mighty fruit; the book called Aswamedha, the immortal sap; the denominated Asramavasika, the spot where it groweth; and the book called Mausala, is an epitome of the Vedas and held in great respect by the virtuous Brahmanas."""
9,Book01_001,3,"Question: How many verses were composed by Vyasa for the Bharata, and who recited them in different realms?","Answer: Vyasa composed an initial compilation of the Bharata in twenty-four thousand verses. He later created an epitome of one hundred and fifty verses, which he taught to his son Suka. Vyasa's complete compilation comprised six hundred thousand verses, with different numbers of verses known in the world of Devas, Pitris, Gandharvas, and humans. Narada, Devala, Suka, and Vaisampayana recited the verses in different realms.","Reference: ""Vyasa executed the compilation of the Bharata, exclusive of the episodes originally in twenty-four thousand verses; and so much only is called by the learned as the Bharata... After that, he executed another compilation, consisting of six hundred thousand verses. Of those, thirty hundred thousand are known in the world of the Devas; fifteen hundred thousand in the world of the Pitris: fourteen hundred thousand among the Gandharvas, and one hundred thousand in the regions of mankind. Narada recited them to the Devas, Devala to the Pitris, and Suka published them to the Gandharvas, Yakshas, and Rakshasas: and in this world they were recited by Vaisampayana, one of the disciples of Vyasa..."""
10,Book01_001,4,Question: How did the citizens react when the Pandavas were introduced as the sons of Pandu?,"Answer: The distinguished class of citizens shouted with joy upon seeing the Pandavas introduced as the sons of Pandu. While some expressed doubts, many welcomed them as the family of Pandu, and there were acclamations and celebrations. The arrival of the young princes was accompanied by showers of sweet-scented flowers and sounds of shells and kettle-drums.","Reference: ""When the Kauravas saw them introduced as the sons of Pandu, the distinguished class of citizens shouted exceedingly for joy... Still on all sides voices were heard crying, 'They are on all accounts welcome! Through divine Providence we behold the family of Pandu! Let their welcome be proclaimed!' As these acclamations ceased, the plaudits of invisible spirits, causing every point of the heavens to resound, were tremendous. There were showers of sweet-scented flowers, and the sound of shells and kettle-drums."""
