Sno,Group,Unicode,Browser,ShortName
1,face-smiling,U+1F600,😀,grinning face
2,face-smiling,U+1F603,😃,grinning face with big eyes
3,face-smiling,U+1F604,😄,grinning face with smiling eyes
4,face-smiling,U+1F601,😁,beaming face with smiling eyes
5,face-smiling,U+1F606,😆,grinning squinting face
6,face-smiling,U+1F605,😅,grinning face with sweat
7,face-smiling,U+1F923,🤣,rolling on the floor laughing
8,face-smiling,U+1F602,😂,face with tears of joy
9,face-smiling,U+1F642,🙂,slightly smiling face
10,face-smiling,U+1F643,🙃,upside-down face
11,face-smiling,U+1F609,😉,winking face
12,face-smiling,U+1F60A,😊,smiling face with smiling eyes
13,face-smiling,U+1F607,😇,smiling face with halo
14,face-affection,U+1F970,🥰,smiling face with hearts
15,face-affection,U+1F60D,😍,smiling face with heart-eyes
16,face-affection,U+1F929,🤩,star-struck
17,face-affection,U+1F618,😘,face blowing a kiss
18,face-affection,U+1F617,😗,kissing face
19,face-affection,U+263A,☺,smiling face
20,face-affection,U+1F61A,😚,kissing face with closed eyes
21,face-affection,U+1F619,😙,kissing face with smiling eyes
22,face-affection,U+1F972,🥲,⊛ smiling face with tear
23,face-tongue,U+1F60B,😋,face savoring food
24,face-tongue,U+1F61B,😛,face with tongue
25,face-tongue,U+1F61C,😜,winking face with tongue
26,face-tongue,U+1F92A,🤪,zany face
27,face-tongue,U+1F61D,😝,squinting face with tongue
28,face-tongue,U+1F911,🤑,money-mouth face
29,face-hand,U+1F917,🤗,hugging face
30,face-hand,U+1F92D,🤭,face with hand over mouth
31,face-hand,U+1F92B,🤫,shushing face
32,face-hand,U+1F914,🤔,thinking face
33,face-neutral-skeptical,U+1F910,🤐,zipper-mouth face
34,face-neutral-skeptical,U+1F928,🤨,face with raised eyebrow
35,face-neutral-skeptical,U+1F610,😐,neutral face
36,face-neutral-skeptical,U+1F611,😑,expressionless face
37,face-neutral-skeptical,U+1F636,😶,face without mouth
38,face-neutral-skeptical,U+1F60F,😏,smirking face
39,face-neutral-skeptical,U+1F612,😒,unamused face
40,face-neutral-skeptical,U+1F644,🙄,face with rolling eyes
41,face-neutral-skeptical,U+1F62C,😬,grimacing face
42,face-neutral-skeptical,U+1F925,🤥,lying face
43,face-sleepy,U+1F60C,😌,relieved face
44,face-sleepy,U+1F614,😔,pensive face
45,face-sleepy,U+1F62A,😪,sleepy face
46,face-sleepy,U+1F924,🤤,drooling face
47,face-sleepy,U+1F634,😴,sleeping face
48,face-unwell,U+1F637,😷,face with medical mask
49,face-unwell,U+1F912,🤒,face with thermometer
50,face-unwell,U+1F915,🤕,face with head-bandage
51,face-unwell,U+1F922,🤢,nauseated face
52,face-unwell,U+1F92E,🤮,face vomiting
53,face-unwell,U+1F927,🤧,sneezing face
54,face-unwell,U+1F975,🥵,hot face
55,face-unwell,U+1F976,🥶,cold face
56,face-unwell,U+1F974,🥴,woozy face
57,face-unwell,U+1F635,😵,dizzy face
58,face-unwell,U+1F92F,🤯,exploding head
59,face-hat,U+1F920,🤠,cowboy hat face
60,face-hat,U+1F973,🥳,partying face
61,face-hat,U+1F978,🥸,⊛ disguised face
62,face-glasses,U+1F60E,😎,smiling face with sunglasses
63,face-glasses,U+1F913,🤓,nerd face
64,face-glasses,U+1F9D0,🧐,face with monocle
65,face-concerned,U+1F615,😕,confused face
66,face-concerned,U+1F61F,😟,worried face
67,face-concerned,U+1F641,🙁,slightly frowning face
68,face-concerned,U+2639,☹,frowning face
69,face-concerned,U+1F62E,😮,face with open mouth
70,face-concerned,U+1F62F,😯,hushed face
71,face-concerned,U+1F632,😲,astonished face
72,face-concerned,U+1F633,😳,flushed face
73,face-concerned,U+1F97A,🥺,pleading face
74,face-concerned,U+1F626,😦,frowning face with open mouth
75,face-concerned,U+1F627,😧,anguished face
76,face-concerned,U+1F628,😨,fearful face
77,face-concerned,U+1F630,😰,anxious face with sweat
78,face-concerned,U+1F625,😥,sad but relieved face
79,face-concerned,U+1F622,😢,crying face
80,face-concerned,U+1F62D,😭,loudly crying face
81,face-concerned,U+1F631,😱,face screaming in fear
82,face-concerned,U+1F616,😖,confounded face
83,face-concerned,U+1F623,😣,persevering face
84,face-concerned,U+1F61E,😞,disappointed face
85,face-concerned,U+1F613,😓,downcast face with sweat
86,face-concerned,U+1F629,😩,weary face
87,face-concerned,U+1F62B,😫,tired face
88,face-concerned,U+1F971,🥱,yawning face
89,face-negative,U+1F624,😤,face with steam from nose
90,face-negative,U+1F621,😡,pouting face
91,face-negative,U+1F620,😠,angry face
92,face-negative,U+1F92C,🤬,face with symbols on mouth
93,face-negative,U+1F608,😈,smiling face with horns
94,face-negative,U+1F47F,👿,angry face with horns
95,face-negative,U+1F480,💀,skull
96,face-negative,U+2620,☠,skull and crossbones
97,face-costume,U+1F4A9,💩,pile of poo
98,face-costume,U+1F921,🤡,clown face
99,face-costume,U+1F479,👹,ogre
100,face-costume,U+1F47A,👺,goblin
101,face-costume,U+1F47B,👻,ghost
102,face-costume,U+1F47D,👽,alien
103,face-costume,U+1F47E,👾,alien monster
104,face-costume,U+1F916,🤖,robot
105,cat-face,U+1F63A,😺,grinning cat
106,cat-face,U+1F638,😸,grinning cat with smiling eyes
107,cat-face,U+1F639,😹,cat with tears of joy
108,cat-face,U+1F63B,😻,smiling cat with heart-eyes
109,cat-face,U+1F63C,😼,cat with wry smile
110,cat-face,U+1F63D,😽,kissing cat
111,cat-face,U+1F640,🙀,weary cat
112,cat-face,U+1F63F,😿,crying cat
113,cat-face,U+1F63E,😾,pouting cat
114,monkey-face,U+1F648,🙈,see-no-evil monkey
115,monkey-face,U+1F649,🙉,hear-no-evil monkey
116,monkey-face,U+1F64A,🙊,speak-no-evil monkey
117,emotion,U+1F48B,💋,kiss mark
118,emotion,U+1F48C,💌,love letter
119,emotion,U+1F498,💘,heart with arrow
120,emotion,U+1F49D,💝,heart with ribbon
121,emotion,U+1F496,💖,sparkling heart
122,emotion,U+1F497,💗,growing heart
123,emotion,U+1F493,💓,beating heart
124,emotion,U+1F49E,💞,revolving hearts
125,emotion,U+1F495,💕,two hearts
126,emotion,U+1F49F,💟,heart decoration
127,emotion,U+2763,❣,heart exclamation
128,emotion,U+1F494,💔,broken heart
129,emotion,U+2764,❤,red heart
