,Text
0,"RT @saurv365: भैंस - रोजगार, कोविड महामारी, अर्थव्यवस्था, किसान, सीमा
घंटी - सुशांत सिंह राजपूत, रिया, कंगना, दीपिका, सारा, करण, 
चोर - समा…"
1,"भैंस - रोजगार, कोविड महामारी, अर्थव्यवस्था, किसान, सीमा
घंटी - सुशांत सिंह राजपूत, रिया, कंगना, दीपिका, सारा, करण, 
चोर - समाचार चैनल
#copied #whatsappfwd #COVID19India #MediaCircus #mediatrial #Sarcasm #कटाक्ष"
2,RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…
3,"RT @AjjuBhaiyaa: मेरी अक्सर लोगों से बनती नहीं 
में कितना भी अपना बनाने की कोशिश कर लूं 
सामने वाला मुझे गलत ही समझता है 🔪

#कटाक्ष"
4,"मेरी अक्सर लोगों से बनती नहीं 
में कितना भी अपना बनाने की कोशिश कर लूं 
सामने वाला मुझे गलत ही समझता है 🔪

#कटाक्ष"
5,"RT @HopeISalive8: @RubikaLiyaquat @ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को…"
6,"RT @HopeISalive8: @RubikaLiyaquat @ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को…"
7,"@RubikaLiyaquat @ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को कोई खतरा नहीं..।

होगी तानाशाही तो आएंगे कई  लोग ज़द में,
इस तानाशाही का शिकार सिर्फ मुसलमान थोड़ी है..।
#standwithfarmerschallenge https://t.co/z8MgswmVaF"
8,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
9,"#कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को कोई खतरा नहीं..।

होगी तानाशाही तो आएंगे कई  लोग ज़द में,
इस तानाशाही का शिकार सिर्फ मुसलमान थोड़ी है..।
#standwithfarmerschallenge"
10,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
11,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
12,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
13,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
14,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
15,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
16,"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…"
17,"#भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक जस्टिस लोया कांड ने पूरे देश की न्यायपालिका में बैठे मठाधीशों को अपने विचारों की बत्ती बनाने पर मजबूर कर दिया है. 

#कटाक्ष #BhagatsinghJayanti https://t.co/daLBQXBmpW"
18,"@ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को कोई खतरा नहीं..।

होगी तानाशाही तो आएंगे कई  लोग ज़द में,
इस तानाशाही का शिकार सिर्फ मुसलमान थोड़ी है..।
#standwithfarmerschallenge https://t.co/JplD0DdU0h"
19,"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…"
20,"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…"
21,"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC"
22,"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…"
23,"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC"
24,"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…"
25,"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…"
26,"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…"
