ID,Sentence,RajivJi
1,लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त,0
5,अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ । निजी राय बुरा लगे तो भाड़ मे जा |,0
61,तुम गुरु हो कि गुरु घंटाल =D,0
123,हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था।,0
268,Dhoni अगर इस्लाम कबूल कर लेते तो उन्हें आज हार का मुँह नहीं देखना पडता,0
363,मेरी सारी कालोनी राशन कार्ड के साथ फिल्म देखने गयी है,0
396,तर्कों की कंगाली ने कांग्रेस को कुतार्कों का मवाली बना दिया है,0
402,हे राम। स्कूल के मासूम बच्चों के सामने इतना ज़हरीला भाषण :(,0
490,Courtesy my friend सोच रहा हूँ। आज रात में दो बोरे अखबार जला दू। पडोसियो पर रेड पडेगा। 😝,0
542,होली से ऐन पहले नतीजे आना ठीक नहीं। सरकार हारे हुए नेताओं को अंग्रेजी दारु की चार बोतलें फ्री भिजवाए,0
985,वाह केजरू वाह,0
1249,अब क्या कहूं ये भौंढा ये संगीत अच्छा है,0
2069,ऐ जिन्दगी तेरे जज्बे को सलाम ! पता है कि मंजिल मौत है ! फिर भी दौड रही है । ! #LifeisBeautiful,0
2091,कुछ मांगने से पहले ख़ूब आज़मा लेना उनको। जान देने की बातों वाले अकसर भाव नहीं देते। #Piyush,0
2154,#AajTakAxisPoll : ग़रीबों को लुभाने में नाकाम रही की न्याय स्कीम है गरीब वोटरों की पहली पसंद। 45%गरीब वोटरों ने @narendramodi को डाले वोट,0
2374,होली के शुरुआती रूझान आने शुरू सीधे हवालात से। Live। Happy Holi। ☺☺☺,0
2407,राजधानी दिल्ली में बदमाशों को ना तो कानून का डर है और ना ही वर्दी का खौफ (@AajGothi),0
3172,10 वर्षों में इतनी तेजी से भवन निर्माण हुआ है कि शहर कंकरीट के जंगल में तबदील होती जा रहा हैं।,0
4082,भाजपा सिर्फ सत्ता की भूखी है।,0
4762,हैरत की बात है कि विभागीय अधिकारी सब कुछ जानते हुए भी अनजान बने हुए हैं।,0
5210,अभिनेत्री गौतमी तड़ीमल्ला से अलग हुए कमल हासन #IndiaHallaBol #HallaBol #Kamal #separated #actress #GautamiTdimala।,0
5216,अभी अभी ख़बर मिली है की ममता के दिल्ली दौरे के बाद उन्हें कई बार टॉलेट में जाके चरस पीते देखा गया है। #MamataAgainstNation,0
5242,"अब तो क्रिसमस में कालेधनी की खूब दिवाली है , मोदी ने छुट दी है कालेधनी को आम आदमी को लूट कर #झूठ_लूट_की_सरकार",0
5243,सीमा पर जवानों को मरने के लिऐ तैनात कर दिया है फिर मौत का जशन मनाने होली दिवाली पर मोदी जी आऐंगे और साथ मे मिडीया भी लाऐंगे #nagrotaattack,0
5255,#Jio50Million दोस्त ने बोला तेरे पास क्या हैं। मेरे पास रिलायन्स जियो हैं। मेरे पास एयरटेल 4G हैं।,0
5258,"अपनी नाकामी का ठीकरा केन्द्र सरकार पर फोड़ने वाला केजरी बताये कि दिल्ली की जनता को कब तक झांसे देता रहेगा, सारे वादे हवा में केजरी गोवा में।",0
5260,"डेंगू, चिकुंगुन्या और प्रदूषित हवा से त्रस्त दिल्ली की जनता एक एक सेकंड का हिसाब आपसे लेगी। बस समय का इंतज़ार करिये।",0
5268,एक बार मायावती की खेती के बारे मेँ गरीब हिंदुस्तानियों को बता दो। एहसान होगा।,0
5271,भक्तों को पहले मोदी ने मारी पीछे से। अब सुनने में आरहा की भक्तों के मौसा डोनाल्ड ट्रंप ने भी मार ली वो भी ऊपर से,0
5274,अभी अभी 4 साल के 5000 जंक मेल डिलीट किये। हिलेरी क्लिंटन टाइप फीलिंग आ रहा है बाईगॉड!,0
5280,रामकिशन यादव उर्फ बाबा रामदेव काणा है अंधो का सरदार बनना चाहा रहा है #BoycottPatanjali,0
5293,कभी धर्म के नाम से डराता है। कभी CBI के नाम से डराता है। अब इनकम टैक्स के नाम से डरा रहा है। #मोदी_फिरकी_ले_रहा_है,0
5295,भिखारी कोई मुझसे पूछ रहा था कि मैं कितना कमा लेता हूँ लेकीन मैं चुप रहा। दूसरा भिखारी क्यों भिखारी मुझे शक था कि वह इनकम टैक्स वाला है,0
5297,"नोटबंदी के बाद देश के 40 शहरों की निकायों ने 13K करोड़ का टैक्स कमाया, पर कुछ जोकरों के पास विरोध करने के सिवाय और कुछ नही है। #MannKiBaat",0
5301,कैशलेस या कार्ड को बिज़नस वालों से इतना विरोध क्यों हो रहा होगा ? कोई भी व्यक्ति अपनी कमाई टैक्स में देना नहीं चाहता ?,0
5305,हद भसड़ मचा रखी है यार बीबीसी ने अब जाकिर नाइक का प्रवक्ता बनकर इस्लामी कानून को हेडलाइन बनाता है,0
5309,यह बात पोरबंदर की कॉस्ट गार्ड है वहां यह जो महिलाएं गर्भवती होती हैं उनको आशा हॉस्पिटल में भेज और वहां के डॉक्टर उनको मरने के,0
5312,"15 साल बाद जनता ने आप को रोजगार दिया, और आपने नोट बंदी कर गरीब जनता को बेरोजगार कर दिया, मोदी जी जनता अगले चुनावों में माफ़ नहीं करेगी !",0
5313,"नोट बंदी से सब ज्यादा फायदा को हुआ है, न विधायकों की गिरफ्तारी हो रही है, न अब दिल्ली में प्रदूषण बचा है, सब कुछ ठीक हो गया",0
5320,नरेन्द्र मोदी रॉबिन हुड बनने की कोशिश कर रहें हैं। अमीरों से छीनकर ग़रीबों में बाँट दो। #खूनीDemonetisation,0
5335,"राहुल गांधी दिमाग का इस्तेमाल करें, कृषि आमदनी अब भी टैक्स मुक्त: जेटली",0
5342,ये अफवाह कौन फैला रहा है कि राहुल गांधी ने रात को सच बोल दिया और उस सच को छिपाने के लिए कांग्रेस को कहना पड़ा पप्पू का अकाउंट हैक हो गया जी,0
5345,अब देखना है राहुल गांधी दलितों के असल चिंतक है या ढोंगी।,0
5356,एक तरफ हम भ्रष्टाचार और काले धन के रास्ते बंद कर रहे हैं तो दूसरी तरफ कुछ लोग भारत बंद की बात कर रहे हैं।,0
5359,खुले में शौच करने वालों खबरदार। देख रहे हैं सलमान खान,0
5384,यक़ीन मानना दोस्तों भारत जैसा महान देश विश्व में कही नहि है क्यूँकि यहाँ रजनीकांत अभिनेता है और अरविंद केजरीवाल अभी भी नेता है,0
5385,जब तक राहुल बाबा का भारतीय जनता पार्टी पर आशीर्वाद रहेगा भाजपा को कोई चिंता करने की जरुरत नहीं है !,0
5387,उत्तर प्रदेश मुख्यमंत्री अखिलेश यादव कितना आशावादी है कि नए नोट में भी भ्रस्टाचार जल्द ही शुरू हो जायेगा,0
