ID	twitter	label	sentence
1	Y	1	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त
5	Y	1	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ । निजी राय बुरा लगे तो भाड़ मे जा |
12	Y	1	अगर मुलायम और अखिलेश चाहें तो UP में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं।#IndvsEng
13	Y	1	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये
26	Y	1	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से
41	Y	1	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं।
50	Y	1	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई।
51	Y	1	OMG 😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा
57	Y	1	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे
60	Y	1	#Meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे। धन्यवाद #BangBang
83	Y	1	Lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है
84	Y	1	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं।
87	Y	1	मुसलमान ISIS जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को RSS ज्वाइन करने मे भी शर्म आ रही है
92	Y	0	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही? गाँधी को जानिए
93	Y	0	बेवजह धर्म नहीं बना क्रिकेट। धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं
94	Y	0	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी
95	Y	0	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे
96	Y	0	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया - Vishal Tripathi
97	Y	0	NCP के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम
98	Y	0	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये
99	Y	1	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला
104	Y	0	हींग से न तेल से बन्दूक से न तलवार से #ISIS खत्म होगा रासयनिक और जैविक गैस और सूंघ से
105	Y	0	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है
108	Y	1	सलमान खान Big Boss 8 में हवाई जहाज चलाएंगे. इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है।
111	Y	0	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे
