,AUC,Accuracy,Recall,Precision,F1,TN,FP,FN,TP
TFIDF_LR,0.63,0.59,0.53,0.57,0.55,54.0,30.0,35.0,40.0
TFIDF_LGBM,0.67,0.6,0.55,0.59,0.57,55.0,29.0,34.0,41.0
TFIDF_NB,0.61,0.56,0.53,0.53,0.53,49.0,35.0,35.0,40.0
TFIDF_SVC,0.68,0.64,0.59,0.62,0.6,57.0,27.0,31.0,44.0
TFIDF_ADB,0.63,0.58,0.57,0.55,0.56,49.0,35.0,32.0,43.0
TFIDF_GBC,0.65,0.64,0.61,0.61,0.61,55.0,29.0,29.0,46.0
TFIDF_RFC,0.66,0.61,0.56,0.59,0.58,55.0,29.0,33.0,42.0
TFIDF_XGB,0.64,0.57,0.6,0.54,0.57,45.0,39.0,30.0,45.0
TFIDF_DT,0.61,0.58,0.75,0.54,0.63,37.0,47.0,19.0,56.0
TFIDF_Perceptron,0.62,0.62,0.63,0.59,0.61,51.0,33.0,28.0,47.0
Word2Vec_LR,0.67,0.62,0.79,0.57,0.66,39.0,45.0,16.0,59.0
Word2Vec_LGBM,0.69,0.64,0.73,0.6,0.66,47.0,37.0,20.0,55.0
Word2Vec_NB,0.65,0.49,0.97,0.48,0.64,5.0,79.0,2.0,73.0
Word2Vec_SVC,0.67,0.62,0.76,0.57,0.65,41.0,43.0,18.0,57.0
Word2Vec_ADB,0.64,0.64,0.73,0.6,0.66,47.0,37.0,20.0,55.0
Word2Vec_GBC,0.65,0.63,0.71,0.59,0.64,47.0,37.0,22.0,53.0
Word2Vec_RFC,0.69,0.56,0.89,0.52,0.66,22.0,62.0,8.0,67.0
Word2Vec_XGB,0.69,0.62,0.63,0.59,0.61,52.0,32.0,28.0,47.0
Word2Vec_DT,0.6,0.57,0.79,0.53,0.63,31.0,53.0,16.0,59.0
Word2Vec_Perceptron,0.5,0.5,0.41,0.47,0.44,49.0,35.0,44.0,31.0
BOW_LR,0.62,0.58,0.51,0.57,0.54,55.0,29.0,37.0,38.0
BOW_LGBM,0.63,0.6,0.53,0.59,0.56,56.0,28.0,35.0,40.0
BOW_NB,0.54,0.5,0.37,0.46,0.41,51.0,33.0,47.0,28.0
BOW_SVC,0.67,0.61,0.6,0.58,0.59,52.0,32.0,30.0,45.0
BOW_ADB,0.58,0.59,0.6,0.56,0.58,49.0,35.0,30.0,45.0
BOW_GBC,0.62,0.6,0.53,0.59,0.56,56.0,28.0,35.0,40.0
BOW_RFC,0.63,0.6,0.67,0.57,0.61,46.0,38.0,25.0,50.0
BOW_XGB,0.66,0.6,0.56,0.58,0.57,53.0,31.0,33.0,42.0
BOW_DT,0.58,0.53,0.49,0.51,0.5,48.0,36.0,38.0,37.0
BOW_Perceptron,0.56,0.56,0.51,0.54,0.52,51.0,33.0,37.0,38.0
IndicBERT_LR,0.55,0.53,0.6,0.51,0.55,40.0,44.0,30.0,45.0
IndicBERT_LGBM,0.66,0.64,0.6,0.62,0.61,57.0,27.0,30.0,45.0
IndicBERT_NB,0.59,0.55,0.64,0.52,0.57,40.0,44.0,27.0,48.0
IndicBERT_SVC,0.55,0.5,0.63,0.47,0.54,32.0,52.0,28.0,47.0
IndicBERT_ADB,0.6,0.57,0.57,0.54,0.56,48.0,36.0,32.0,43.0
IndicBERT_GBC,0.64,0.6,0.59,0.58,0.58,52.0,32.0,31.0,44.0
IndicBERT_RFC,0.67,0.69,0.71,0.65,0.68,56.0,28.0,22.0,53.0
