नहीं,['टाटा' 'बचपन' 'पट']
मोदी,['नरेंद्र' 'सुनने' 'स्किल']
भारत,['कब्जा' 'चीन' 'सीमा']
😂,['😝' '😆' '😅']
देश,['लिखेगा' 'क्षेत्र' 'जय_हिंद_की_सेना']
नही,['TimePersonoftheYear' 'नागरिक' 'Modiजी']
वो,['स्वार्थ' 'हिम्मत' 'बेवकूफ']
दिल्ली,['दिलवाली' 'पुलिस' 'सड']
न,['पीओके' 'ShauryaDiwas' 'भारतमे']
राहुल,['गांधी' 'सन्' 'मार्च']
🙏,['रवि' '🏻' 'ईश्वर']
लोग,['बनते' 'इल्जाम' 'समझाए']
सरकार,['केंद्र' 'टकराव' '3000']
ना,['तोड़' 'कालोनी' 'बोलते']
चीन,['युद्ध' 'अनुसार' 'पैंगोंग']
कोरोना,['BMC' 'डिप्टी' 'मिली']
😝,['😅' '😆' '😃']
गांधी,['राहुल' 'चाहता' 'दुबई']
कांग्रेस,['अरहर' 'चिंता' 'प्रक्रिया']
बात,['जगता' 'नई' 'मिटा']
केजरीवाल,['क्लीनिक' 'सड़कें' 'गांव_बासनी_हरिसिंह']
सब,['माध्यम' 'अक्सर' 'नाराज']
दे,['जाओगे' 'प्रमोशन' 'आए']
होगा,['हलचल' 'मची' 'अचानक']
पाकिस्तान,['पाक' 'कमीना' 'पिटवाएगा']
नाम,['श्यामा' 'पोर्ट' 'नील']
बार,['पटक' 'तीसरी' 'घण्टे']
घर,['रखिये' 'लड़ना' 'यूँही']
🤣,['😂' 'अनुपम' 'मजा']
दिन,['गिरावट' 'लड़कियों' 'छात्रों']
मेरे,['शब्द' 'मुबारक' 'धमकिया']
हमारे,['उठाने' 'दोगले' 'तमाचा']
साल,['10' 'तड़पता' 'महमूद']
आ,['😢' 'खूंखार' 'कृपया']
राम,['आकेला' 'भड़वो' 'जय']
😆,['😅' '😝' '😃']
भाई,['बहत्तर' 'संयोग' 'सितारा']
करो,['भला' 'जवानी' 'खाट']
😅,['😆' '😝' '😃']
हर,['बसता' 'नसीब' 'इंडस्ट्री']
मुझे,['तन्हा' 'चाहत' 'दिलों']
%,['WHO' 'pm' 'नहीँ']
पता,['जज' 'रस' 'नाखून']
पुलिस,['दिलवाली' 'दिल्ली' 'रहेंगे']
श्री,['जय' 'आकेला' 'राम']
🚩,['जय' 'गिरे' '🙏']
वाला,['वाली' 'माया' 'गुंडा']
🤔,['नील' 'मानसिक' 'गर्व']
बना,['कसम' 'खुशहाल' 'मवाली']
पास,['राष्ट्रवादियों' 'खुदा' 'रिलायन्स']
काम,['सांसदों' 'टिकिट' 'घबराएं']
लोगों,['इलाके' 'छलांग' 'सातवीं']
धर्म,['हिंदू_राष्ट्र' 'श' 'यहि']
लो,['इसीलिए' 'बिछा' 'आँगन']
पार्टी,['टूटने' 'समाजवादी' 'नुकसान']
बस,['व्यक्तित्व' 'जन्मस्थान' 'site']
😜,['डिप्रेशन' 'बन्दा' '🙉']
दी,['लूटने' 'इलाके' 'अजमेर']
जय,['श्री' 'राम' 'विधायक']
तू,['तुझे' 'तेरी' 'कुत्ते']
सबसे,['लूटना' 'सर्वे' 'खोंग्रेश']
वाली,['कैंडल' 'जंतर' 'मंतर']
वालों,['बोर्ड' 'इंद्रा' 'बंबई']
करे,['बपौती' 'भतीजावाद' 'सरकारों']
चुनाव,['गिरगिट' 'टिकट' 'GujaratElections2017']
चल,['जातपात' 'महासमर' 'राष्ट्रवाद']
सिर्फ,['जपो' 'जंगल' 'पुराना']
👇,['कातिल' 'चाचा' 'MBBS']
जाएगा,['कड़वा' 'भारत_बंद' 'रॉस']
लगता,['आएगा' 'धरना' 'शेरनियों']
ले,['चमचों' 'अल्फ़ाज़' 'रुतबा']
खान,['सलमान' 'नेम' 'गेंग']
शादी,['बाहरी' 'गंभीर' 'गाने']
हूं,['पंडिता' 'डरती' 'राशन']
50,['%' '60' 'काले']
जनता,['वेतन' 'रखे' 'बेरोजगार']
बाप,['घमण्ड' 'घमंड' 'ख़ुद्दारी']
पप्पू,['जीजा' 'चादर' 'इमानदारी']
हिन्दू,['हिन्दुओ' 'विमर्श' 'दुर्भाग्य']
देने,['साफ' 'गांधीनगर' '15']
आपके,['हृदय' 'कथन' 'भाषन']
देख,['भूतिये' 'चमन' 'रख']
जाए,['शुभरात्रि' 'यादें' 'बिछड़']
मेरी,['मुल्ला' 'पड़ोसन' 'उतारता']
इतनी,['बीचो' 'धुंध' 'फूँक']
सेना,['ज़रूरत' 'अधिकारियों' '3']
पाक,['स्थीत' 'दूताबास' 'NDTVBanned']
करोड़,['51' 'मोंठ' 'कांची']
आने,['अनुमति' '🤦' 'छी']
वोट,['बच्चे' 'झांसे' 'कहलाता']
भारतीय,['आदेश' 'NDTVBanned' 'स्थीत']
मत,['CAA' 'सड़जी' 'OR']
टैक्स,['इनकम' 'समझते' 'तुड़वाए']
नोट,['बंदी' 'मुसलमान' 'राजमार्गों']
विरोध,['एक्ट' 'अमेंडमेंट' 'मुक्त']
उन्हें,['नोबेल' 'अम्बेडकर' 'प्राइम']
हिंदू,['संगठन' 'बाली' 'क्षमता']
क्योंकि,['मच्छर' 'मौला' 'अल्ला']
बड़ी,['दुखी' 'छोड़कर' 'शांतिदूत']
बाबा,['छत्तीसगढ़' 'रामकिशन' 'शेख']
सही,['मालिक' 'भरा' 'सराफत']
कह,['गुलाम' 'वर्ना' 'कौए']
😀,['😁' '😂' 'रजाई']
मौत,['साइज' 'पेपर' 'दाह']
लगा,['इल्जाम' 'असल' 'बलात्कारी_बापू']
खबर,['कोयला' 'कार' 'कर्ज']
PM,['ममता' 'बनेगा' 'जले']
