Id,Book,Section_Id,File_Name,URL,Section_Roman,Book,,
1,Book 1: Adi Parva,Book01_01,mahabharata_01002.txt,https://www.mahabharataonline.com/translation/mahabharata_01002.php,Section I,Book,1,Book01
2,Book 1: Adi Parva,Book01_02,mahabharata_01003.txt,https://www.mahabharataonline.com/translation/mahabharata_01003.php,Section II,Book,1,Book01
3,Book 1: Adi Parva,Book01_03,mahabharata_01004.txt,https://www.mahabharataonline.com/translation/mahabharata_01004.php,Section III,Book,1,Book01
4,Book 1: Adi Parva,Book01_04,mahabharata_01005.txt,https://www.mahabharataonline.com/translation/mahabharata_01005.php,Section IV,Book,1,Book01
5,Book 1: Adi Parva,Book01_05,mahabharata_01006.txt,https://www.mahabharataonline.com/translation/mahabharata_01006.php,Section V,Book,1,Book01
6,Book 1: Adi Parva,Book01_06,mahabharata_01007.txt,https://www.mahabharataonline.com/translation/mahabharata_01007.php,Section VI,Book,1,Book01
7,Book 1: Adi Parva,Book01_07,mahabharata_01008.txt,https://www.mahabharataonline.com/translation/mahabharata_01008.php,Section VII,Book,1,Book01
8,Book 1: Adi Parva,Book01_08,mahabharata_01009.txt,https://www.mahabharataonline.com/translation/mahabharata_01009.php,Section VIII,Book,1,Book01
9,Book 1: Adi Parva,Book01_09,mahabharata_01010.txt,https://www.mahabharataonline.com/translation/mahabharata_01010.php,Section IX,Book,1,Book01
10,Book 1: Adi Parva,Book01_10,mahabharata_01011.txt,https://www.mahabharataonline.com/translation/mahabharata_01011.php,Section X,Book,1,Book01
11,Book 1: Adi Parva,Book01_11,mahabharata_01012.txt,https://www.mahabharataonline.com/translation/mahabharata_01012.php,Section XI,Book,1,Book01
12,Book 1: Adi Parva,Book01_12,mahabharata_01013.txt,https://www.mahabharataonline.com/translation/mahabharata_01013.php,Section XII,Book,1,Book01
13,Book 1: Adi Parva,Book01_13,mahabharata_01014.txt,https://www.mahabharataonline.com/translation/mahabharata_01014.php,Section XIII,Book,1,Book01
14,Book 1: Adi Parva,Book01_14,mahabharata_01015.txt,https://www.mahabharataonline.com/translation/mahabharata_01015.php,Section XIV,Book,1,Book01
15,Book 1: Adi Parva,Book01_15,mahabharata_01016.txt,https://www.mahabharataonline.com/translation/mahabharata_01016.php,Section XV,Book,1,Book01
16,Book 1: Adi Parva,Book01_16,mahabharata_01017.txt,https://www.mahabharataonline.com/translation/mahabharata_01017.php,Section XVI,Book,1,Book01
17,Book 1: Adi Parva,Book01_17,mahabharata_01018.txt,https://www.mahabharataonline.com/translation/mahabharata_01018.php,Section XVII,Book,1,Book01
18,Book 1: Adi Parva,Book01_18,mahabharata_01019.txt,https://www.mahabharataonline.com/translation/mahabharata_01019.php,Section XVIII,Book,1,Book01
19,Book 1: Adi Parva,Book01_19,mahabharata_01020.txt,https://www.mahabharataonline.com/translation/mahabharata_01020.php,Section XIX,Book,1,Book01
20,Book 1: Adi Parva,Book01_20,mahabharata_01021.txt,https://www.mahabharataonline.com/translation/mahabharata_01021.php,Section XX,Book,1,Book01
21,Book 1: Adi Parva,Book01_21,mahabharata_01022.txt,https://www.mahabharataonline.com/translation/mahabharata_01022.php,Section XXI,Book,1,Book01
22,Book 1: Adi Parva,Book01_22,mahabharata_01023.txt,https://www.mahabharataonline.com/translation/mahabharata_01023.php,Section XXII,Book,1,Book01
23,Book 1: Adi Parva,Book01_23,mahabharata_01024.txt,https://www.mahabharataonline.com/translation/mahabharata_01024.php,Section XXIII,Book,1,Book01
24,Book 1: Adi Parva,Book01_24,mahabharata_01025.txt,https://www.mahabharataonline.com/translation/mahabharata_01025.php,Section XXIV,Book,1,Book01
25,Book 1: Adi Parva,Book01_25,mahabharata_01026.txt,https://www.mahabharataonline.com/translation/mahabharata_01026.php,Section XXV,Book,1,Book01
26,Book 1: Adi Parva,Book01_26,mahabharata_01027.txt,https://www.mahabharataonline.com/translation/mahabharata_01027.php,Section XXVI,Book,1,Book01
27,Book 1: Adi Parva,Book01_27,mahabharata_01028.txt,https://www.mahabharataonline.com/translation/mahabharata_01028.php,Section XXVII,Book,1,Book01
28,Book 1: Adi Parva,Book01_28,mahabharata_01029.txt,https://www.mahabharataonline.com/translation/mahabharata_01029.php,Section XXVIII,Book,1,Book01
