"Ques_Id","Chunk_Id","Section_Id","Question","Ref_Answer","Chunk","Reference","WordsInQues","WordsInAns"
10000,10193,"Book01_046","Why did the Muni wander over the earth and weep loudly in the forest?","The Muni wandered over the earth and wept loudly in the forest because he was old and had not been successful in finding a wife.","Sauti continued, 'The Muni, having said so unto the Pitris, wandered over the earth again. And, O Saunaka, being old, he obtained no wife. And he grieved much that he was not successful. But directed (as before) by his ancestors, he continued the search. And going into the forest, he wept loudly in great grief. And having gone into the forest, the wise one, moved by the desire of doing good to his ancestors, said, 'I will ask for a bride,' distinctly repeating these words thrice. And he said, 'Whatever creatures are here, mobile and immobile, so whoever there be that are invisible, O, hear my words! My ancestors, afflicted with grief, have directed me that am engaged in the most severe penances, saying, 'Marry thou for (the acquisition of) a son.' 'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms. Let that creature, amongst those I have addressed, who hath a daughter, bestow on me that am roaming far and near. Such a bride as is of same name with me, to be bestowed on me as alms, and whom, besides, I shall not maintain, O bestow on me!' Then those snakes that had been set upon Jaratkaru track, ascertaining his inclination, gave information to Vasuki. And the king of the snakes, hearing their words, took with him that maiden decked with ornaments, and went into the forest unto that Rishi. And, O Brahmana, Vasuki, the king of the snakes, having gone there, offered that maiden as alms unto that high-souled Rishi. But the Rishi did not at once accept her. And the Rishi, thinking her not to be of the same name with himself, and seeing that the question of her maintenance also was unsettled, reflected for a few moments, hesitating to accept her. And then, O son of Bhrigu, he asked Vasuki the maiden's name, and also said unto him, 'I shall not maintain her.'","""'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms.' And having gone into the forest, the wise one, moved by the desire of doing good to his ancestors, said, 'I will ask for a bride,' distinctly repeating these words thrice.""",14,25
10001,10193,"Book01_046","Who did the Muni ask for a bride and why?","The Muni asked for a bride from the creatures in the forest because his ancestors had directed him to marry for the acquisition of a son.","Sauti continued, 'The Muni, having said so unto the Pitris, wandered over the earth again. And, O Saunaka, being old, he obtained no wife. And he grieved much that he was not successful. But directed (as before) by his ancestors, he continued the search. And going into the forest, he wept loudly in great grief. And having gone into the forest, the wise one, moved by the desire of doing good to his ancestors, said, 'I will ask for a bride,' distinctly repeating these words thrice. And he said, 'Whatever creatures are here, mobile and immobile, so whoever there be that are invisible, O, hear my words! My ancestors, afflicted with grief, have directed me that am engaged in the most severe penances, saying, 'Marry thou for (the acquisition of) a son.' 'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms. Let that creature, amongst those I have addressed, who hath a daughter, bestow on me that am roaming far and near. Such a bride as is of same name with me, to be bestowed on me as alms, and whom, besides, I shall not maintain, O bestow on me!' Then those snakes that had been set upon Jaratkaru track, ascertaining his inclination, gave information to Vasuki. And the king of the snakes, hearing their words, took with him that maiden decked with ornaments, and went into the forest unto that Rishi. And, O Brahmana, Vasuki, the king of the snakes, having gone there, offered that maiden as alms unto that high-souled Rishi. But the Rishi did not at once accept her. And the Rishi, thinking her not to be of the same name with himself, and seeing that the question of her maintenance also was unsettled, reflected for a few moments, hesitating to accept her. And then, O son of Bhrigu, he asked Vasuki the maiden's name, and also said unto him, 'I shall not maintain her.'","""My ancestors, afflicted with grief, have directed me that am engaged in the most severe penances, saying, 'Marry thou for (the acquisition of) a son.' ... 'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms.'""",10,26
10002,10193,"Book01_046","Who informed Vasuki about the Muni's desire for a bride?","The snakes that had been set upon Jaratkaru's track informed Vasuki about the Muni's inclination and desire for a bride.","Sauti continued, 'The Muni, having said so unto the Pitris, wandered over the earth again. And, O Saunaka, being old, he obtained no wife. And he grieved much that he was not successful. But directed (as before) by his ancestors, he continued the search. And going into the forest, he wept loudly in great grief. And having gone into the forest, the wise one, moved by the desire of doing good to his ancestors, said, 'I will ask for a bride,' distinctly repeating these words thrice. And he said, 'Whatever creatures are here, mobile and immobile, so whoever there be that are invisible, O, hear my words! My ancestors, afflicted with grief, have directed me that am engaged in the most severe penances, saying, 'Marry thou for (the acquisition of) a son.' 'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms. Let that creature, amongst those I have addressed, who hath a daughter, bestow on me that am roaming far and near. Such a bride as is of same name with me, to be bestowed on me as alms, and whom, besides, I shall not maintain, O bestow on me!' Then those snakes that had been set upon Jaratkaru track, ascertaining his inclination, gave information to Vasuki. And the king of the snakes, hearing their words, took with him that maiden decked with ornaments, and went into the forest unto that Rishi. And, O Brahmana, Vasuki, the king of the snakes, having gone there, offered that maiden as alms unto that high-souled Rishi. But the Rishi did not at once accept her. And the Rishi, thinking her not to be of the same name with himself, and seeing that the question of her maintenance also was unsettled, reflected for a few moments, hesitating to accept her. And then, O son of Bhrigu, he asked Vasuki the maiden's name, and also said unto him, 'I shall not maintain her.'","""Then those snakes that had been set upon Jaratkaru track, ascertaining his inclination, gave information to Vasuki.""",10,20
10003,10193,"Book01_046","How did Vasuki respond when he heard about the Muni's desire for a bride?","Vasuki took a maiden, who was decked with ornaments, and went into the forest to offer her as alms to the Rishi.","Sauti continued, 'The Muni, having said so unto the Pitris, wandered over the earth again. And, O Saunaka, being old, he obtained no wife. And he grieved much that he was not successful. But directed (as before) by his ancestors, he continued the search. And going into the forest, he wept loudly in great grief. And having gone into the forest, the wise one, moved by the desire of doing good to his ancestors, said, 'I will ask for a bride,' distinctly repeating these words thrice. And he said, 'Whatever creatures are here, mobile and immobile, so whoever there be that are invisible, O, hear my words! My ancestors, afflicted with grief, have directed me that am engaged in the most severe penances, saying, 'Marry thou for (the acquisition of) a son.' 'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms. Let that creature, amongst those I have addressed, who hath a daughter, bestow on me that am roaming far and near. Such a bride as is of same name with me, to be bestowed on me as alms, and whom, besides, I shall not maintain, O bestow on me!' Then those snakes that had been set upon Jaratkaru track, ascertaining his inclination, gave information to Vasuki. And the king of the snakes, hearing their words, took with him that maiden decked with ornaments, and went into the forest unto that Rishi. And, O Brahmana, Vasuki, the king of the snakes, having gone there, offered that maiden as alms unto that high-souled Rishi. But the Rishi did not at once accept her. And the Rishi, thinking her not to be of the same name with himself, and seeing that the question of her maintenance also was unsettled, reflected for a few moments, hesitating to accept her. And then, O son of Bhrigu, he asked Vasuki the maiden's name, and also said unto him, 'I shall not maintain her.'","""And the king of the snakes, hearing their words, took with him that maiden decked with ornaments, and went into the forest unto that Rishi.""",14,22
10004,10193,"Book01_046","Why did the Rishi hesitate to accept the maiden offered by Vasuki?","The Rishi hesitated to accept the maiden because he realized she did not have the same name as him and the question of her maintenance was unsettled.","Sauti continued, 'The Muni, having said so unto the Pitris, wandered over the earth again. And, O Saunaka, being old, he obtained no wife. And he grieved much that he was not successful. But directed (as before) by his ancestors, he continued the search. And going into the forest, he wept loudly in great grief. And having gone into the forest, the wise one, moved by the desire of doing good to his ancestors, said, 'I will ask for a bride,' distinctly repeating these words thrice. And he said, 'Whatever creatures are here, mobile and immobile, so whoever there be that are invisible, O, hear my words! My ancestors, afflicted with grief, have directed me that am engaged in the most severe penances, saying, 'Marry thou for (the acquisition of) a son.' 'O ye, being directed by my ancestors, I am roaming in poverty and sorrow, over the wide world for wedding a maiden that I may obtain as alms. Let that creature, amongst those I have addressed, who hath a daughter, bestow on me that am roaming far and near. Such a bride as is of same name with me, to be bestowed on me as alms, and whom, besides, I shall not maintain, O bestow on me!' Then those snakes that had been set upon Jaratkaru track, ascertaining his inclination, gave information to Vasuki. And the king of the snakes, hearing their words, took with him that maiden decked with ornaments, and went into the forest unto that Rishi. And, O Brahmana, Vasuki, the king of the snakes, having gone there, offered that maiden as alms unto that high-souled Rishi. But the Rishi did not at once accept her. And the Rishi, thinking her not to be of the same name with himself, and seeing that the question of her maintenance also was unsettled, reflected for a few moments, hesitating to accept her. And then, O son of Bhrigu, he asked Vasuki the maiden's name, and also said unto him, 'I shall not maintain her.'","""And the Rishi, thinking her not to be of the same name with himself, and seeing that the question of her maintenance also was unsettled, reflected for a few moments, hesitating to accept her.""",12,27
10005,10425,"Book01_104","Who was the wise Rishi mentioned in the text?","The wise Rishi mentioned in the text is Utathya.","In this connection there is another old history that I will recite to you. There was in olden days a wise Rishi of the name of Utathya. He had a wife of the name Mamata whom he dearly loved. One day Utathya's younger brother Vrihaspati, the priest of the celestials, endued with great energy, approached Mamata. The latter, however, told her husband's younger brother--that foremost of eloquent men--that she had conceived from her connection with his elder brother and that, therefore, he should not then seek for the consummation of his wishes. She continued, 'O illustrious Vrihaspati, the child that I have conceived hath studied in his mother's womb the Vedas with the six Angas, Semen tuum frustra perdi non potest. How can then this womb of mine afford room for two children at a time? Therefore, it behoveth thee not to seek for the consummation of thy desire at such a time. Thus addressed by her, Vrihaspati, though possessed of great wisdom, succeeded not in suppressing his desire. Quum auten jam cum illa coiturus esset, the child in the womb then addressed him and said, 'O father, cease from thy attempt. There is no space here for two. O illustrious one, the room is small. I have occupied it first. Semen tuum perdi non potest. It behoveth thee not to afflict me.' But Vrihaspati without listening to what that child in the womb said, sought the embraces of Mamata possessing the most beautiful pair of eyes. Ille tamen Muni qui in venture erat punctum temporis quo humor vitalis jam emissum iret providens, viam per quam semen intrare posset pedibus obstruxit. Semen ita exhisum, excidit et in terram projectumest. And the illustrious Vrihaspati, beholding this, became indignant, and reproached Utathya's child and cursed him, saying, 'Because thou hast spoken to me in the way thou hast at a time of pleasure that is sought after by all creatures, perpetual darkness shall overtake thee.' And from this curse of the illustrious Vrishaspati Utathya's child who was equal unto Vrihaspati in energy, was born blind and came to be called Dirghatamas (enveloped in perpetual darkness). And the wise Dirghatamas, possessed of a knowledge of the Vedas, though born blind, succeeded yet by virtue of his learning, in obtaining for a wife a young and handsome Brahmana maiden of the name of Pradweshi. And having married her, the illustrious Dirghatamas, for the expansion of Utathya's race, begat upon her several children with Gautama as their eldest. These children, however, were all given to covetousness and folly. The virtuous and illustrious Dirghatamas possessing complete mastery over the Vedas, soon after learnt from Surabhi's son the practices of their order and fearlessly betook himself to those practices, regarding them with reverence. (For shame is the creature of sin and can never be where there is purity of intention). Then those best of Munis that dwelt in the same asylum, beholding him transgress the limits of propriety became indignant, seeing sin where sin was not. And they said, 'O, this man, transgresseth the limit of propriety. No longer doth he deserve a place amongst us. Therefore, shall we all cast this sinful wretch off.' And they said many other things regarding the Muni Dirghatamas. And his wife, too, having obtained children, became indignant with him.","""There was in olden days a wise Rishi of the name of Utathya.""",9,11
10006,10425,"Book01_104","Whom did Utathya love dearly?","Utathya dearly loved his wife named Mamata.","In this connection there is another old history that I will recite to you. There was in olden days a wise Rishi of the name of Utathya. He had a wife of the name Mamata whom he dearly loved. One day Utathya's younger brother Vrihaspati, the priest of the celestials, endued with great energy, approached Mamata. The latter, however, told her husband's younger brother--that foremost of eloquent men--that she had conceived from her connection with his elder brother and that, therefore, he should not then seek for the consummation of his wishes. She continued, 'O illustrious Vrihaspati, the child that I have conceived hath studied in his mother's womb the Vedas with the six Angas, Semen tuum frustra perdi non potest. How can then this womb of mine afford room for two children at a time? Therefore, it behoveth thee not to seek for the consummation of thy desire at such a time. Thus addressed by her, Vrihaspati, though possessed of great wisdom, succeeded not in suppressing his desire. Quum auten jam cum illa coiturus esset, the child in the womb then addressed him and said, 'O father, cease from thy attempt. There is no space here for two. O illustrious one, the room is small. I have occupied it first. Semen tuum perdi non potest. It behoveth thee not to afflict me.' But Vrihaspati without listening to what that child in the womb said, sought the embraces of Mamata possessing the most beautiful pair of eyes. Ille tamen Muni qui in venture erat punctum temporis quo humor vitalis jam emissum iret providens, viam per quam semen intrare posset pedibus obstruxit. Semen ita exhisum, excidit et in terram projectumest. And the illustrious Vrihaspati, beholding this, became indignant, and reproached Utathya's child and cursed him, saying, 'Because thou hast spoken to me in the way thou hast at a time of pleasure that is sought after by all creatures, perpetual darkness shall overtake thee.' And from this curse of the illustrious Vrishaspati Utathya's child who was equal unto Vrihaspati in energy, was born blind and came to be called Dirghatamas (enveloped in perpetual darkness). And the wise Dirghatamas, possessed of a knowledge of the Vedas, though born blind, succeeded yet by virtue of his learning, in obtaining for a wife a young and handsome Brahmana maiden of the name of Pradweshi. And having married her, the illustrious Dirghatamas, for the expansion of Utathya's race, begat upon her several children with Gautama as their eldest. These children, however, were all given to covetousness and folly. The virtuous and illustrious Dirghatamas possessing complete mastery over the Vedas, soon after learnt from Surabhi's son the practices of their order and fearlessly betook himself to those practices, regarding them with reverence. (For shame is the creature of sin and can never be where there is purity of intention). Then those best of Munis that dwelt in the same asylum, beholding him transgress the limits of propriety became indignant, seeing sin where sin was not. And they said, 'O, this man, transgresseth the limit of propriety. No longer doth he deserve a place amongst us. Therefore, shall we all cast this sinful wretch off.' And they said many other things regarding the Muni Dirghatamas. And his wife, too, having obtained children, became indignant with him.","""He had a wife of the name Mamata whom he dearly loved.""",5,9
10007,10425,"Book01_104","Who approached Mamata one day?","Vrihaspati, Utathya's younger brother and the priest of the celestials, approached Mamata.","In this connection there is another old history that I will recite to you. There was in olden days a wise Rishi of the name of Utathya. He had a wife of the name Mamata whom he dearly loved. One day Utathya's younger brother Vrihaspati, the priest of the celestials, endued with great energy, approached Mamata. The latter, however, told her husband's younger brother--that foremost of eloquent men--that she had conceived from her connection with his elder brother and that, therefore, he should not then seek for the consummation of his wishes. She continued, 'O illustrious Vrihaspati, the child that I have conceived hath studied in his mother's womb the Vedas with the six Angas, Semen tuum frustra perdi non potest. How can then this womb of mine afford room for two children at a time? Therefore, it behoveth thee not to seek for the consummation of thy desire at such a time. Thus addressed by her, Vrihaspati, though possessed of great wisdom, succeeded not in suppressing his desire. Quum auten jam cum illa coiturus esset, the child in the womb then addressed him and said, 'O father, cease from thy attempt. There is no space here for two. O illustrious one, the room is small. I have occupied it first. Semen tuum perdi non potest. It behoveth thee not to afflict me.' But Vrihaspati without listening to what that child in the womb said, sought the embraces of Mamata possessing the most beautiful pair of eyes. Ille tamen Muni qui in venture erat punctum temporis quo humor vitalis jam emissum iret providens, viam per quam semen intrare posset pedibus obstruxit. Semen ita exhisum, excidit et in terram projectumest. And the illustrious Vrihaspati, beholding this, became indignant, and reproached Utathya's child and cursed him, saying, 'Because thou hast spoken to me in the way thou hast at a time of pleasure that is sought after by all creatures, perpetual darkness shall overtake thee.' And from this curse of the illustrious Vrishaspati Utathya's child who was equal unto Vrihaspati in energy, was born blind and came to be called Dirghatamas (enveloped in perpetual darkness). And the wise Dirghatamas, possessed of a knowledge of the Vedas, though born blind, succeeded yet by virtue of his learning, in obtaining for a wife a young and handsome Brahmana maiden of the name of Pradweshi. And having married her, the illustrious Dirghatamas, for the expansion of Utathya's race, begat upon her several children with Gautama as their eldest. These children, however, were all given to covetousness and folly. The virtuous and illustrious Dirghatamas possessing complete mastery over the Vedas, soon after learnt from Surabhi's son the practices of their order and fearlessly betook himself to those practices, regarding them with reverence. (For shame is the creature of sin and can never be where there is purity of intention). Then those best of Munis that dwelt in the same asylum, beholding him transgress the limits of propriety became indignant, seeing sin where sin was not. And they said, 'O, this man, transgresseth the limit of propriety. No longer doth he deserve a place amongst us. Therefore, shall we all cast this sinful wretch off.' And they said many other things regarding the Muni Dirghatamas. And his wife, too, having obtained children, became indignant with him.","""One day Utathya's younger brother Vrihaspati, the priest of the celestials, endued with great energy, approached Mamata.""",5,14
10008,10425,"Book01_104","What did Mamata tell Vrihaspati regarding her condition?","Mamata informed Vrihaspati that she had conceived from her connection with Utathya and, therefore, he should not seek the consummation of his wishes.","In this connection there is another old history that I will recite to you. There was in olden days a wise Rishi of the name of Utathya. He had a wife of the name Mamata whom he dearly loved. One day Utathya's younger brother Vrihaspati, the priest of the celestials, endued with great energy, approached Mamata. The latter, however, told her husband's younger brother--that foremost of eloquent men--that she had conceived from her connection with his elder brother and that, therefore, he should not then seek for the consummation of his wishes. She continued, 'O illustrious Vrihaspati, the child that I have conceived hath studied in his mother's womb the Vedas with the six Angas, Semen tuum frustra perdi non potest. How can then this womb of mine afford room for two children at a time? Therefore, it behoveth thee not to seek for the consummation of thy desire at such a time. Thus addressed by her, Vrihaspati, though possessed of great wisdom, succeeded not in suppressing his desire. Quum auten jam cum illa coiturus esset, the child in the womb then addressed him and said, 'O father, cease from thy attempt. There is no space here for two. O illustrious one, the room is small. I have occupied it first. Semen tuum perdi non potest. It behoveth thee not to afflict me.' But Vrihaspati without listening to what that child in the womb said, sought the embraces of Mamata possessing the most beautiful pair of eyes. Ille tamen Muni qui in venture erat punctum temporis quo humor vitalis jam emissum iret providens, viam per quam semen intrare posset pedibus obstruxit. Semen ita exhisum, excidit et in terram projectumest. And the illustrious Vrihaspati, beholding this, became indignant, and reproached Utathya's child and cursed him, saying, 'Because thou hast spoken to me in the way thou hast at a time of pleasure that is sought after by all creatures, perpetual darkness shall overtake thee.' And from this curse of the illustrious Vrishaspati Utathya's child who was equal unto Vrihaspati in energy, was born blind and came to be called Dirghatamas (enveloped in perpetual darkness). And the wise Dirghatamas, possessed of a knowledge of the Vedas, though born blind, succeeded yet by virtue of his learning, in obtaining for a wife a young and handsome Brahmana maiden of the name of Pradweshi. And having married her, the illustrious Dirghatamas, for the expansion of Utathya's race, begat upon her several children with Gautama as their eldest. These children, however, were all given to covetousness and folly. The virtuous and illustrious Dirghatamas possessing complete mastery over the Vedas, soon after learnt from Surabhi's son the practices of their order and fearlessly betook himself to those practices, regarding them with reverence. (For shame is the creature of sin and can never be where there is purity of intention). Then those best of Munis that dwelt in the same asylum, beholding him transgress the limits of propriety became indignant, seeing sin where sin was not. And they said, 'O, this man, transgresseth the limit of propriety. No longer doth he deserve a place amongst us. Therefore, shall we all cast this sinful wretch off.' And they said many other things regarding the Muni Dirghatamas. And his wife, too, having obtained children, became indignant with him.","""The latter, however, told her husband's younger brother... she had conceived from her connection with his elder brother and that, therefore, he should not then seek for the consummation of his wishes.""",8,25
10009,10425,"Book01_104","What did the child in Mamata's womb say to Vrihaspati?","The child in Mamata's womb told Vrihaspati that there was no space for two and he should cease from his attempt as he had occupied the space first.","In this connection there is another old history that I will recite to you. There was in olden days a wise Rishi of the name of Utathya. He had a wife of the name Mamata whom he dearly loved. One day Utathya's younger brother Vrihaspati, the priest of the celestials, endued with great energy, approached Mamata. The latter, however, told her husband's younger brother--that foremost of eloquent men--that she had conceived from her connection with his elder brother and that, therefore, he should not then seek for the consummation of his wishes. She continued, 'O illustrious Vrihaspati, the child that I have conceived hath studied in his mother's womb the Vedas with the six Angas, Semen tuum frustra perdi non potest. How can then this womb of mine afford room for two children at a time? Therefore, it behoveth thee not to seek for the consummation of thy desire at such a time. Thus addressed by her, Vrihaspati, though possessed of great wisdom, succeeded not in suppressing his desire. Quum auten jam cum illa coiturus esset, the child in the womb then addressed him and said, 'O father, cease from thy attempt. There is no space here for two. O illustrious one, the room is small. I have occupied it first. Semen tuum perdi non potest. It behoveth thee not to afflict me.' But Vrihaspati without listening to what that child in the womb said, sought the embraces of Mamata possessing the most beautiful pair of eyes. Ille tamen Muni qui in venture erat punctum temporis quo humor vitalis jam emissum iret providens, viam per quam semen intrare posset pedibus obstruxit. Semen ita exhisum, excidit et in terram projectumest. And the illustrious Vrihaspati, beholding this, became indignant, and reproached Utathya's child and cursed him, saying, 'Because thou hast spoken to me in the way thou hast at a time of pleasure that is sought after by all creatures, perpetual darkness shall overtake thee.' And from this curse of the illustrious Vrishaspati Utathya's child who was equal unto Vrihaspati in energy, was born blind and came to be called Dirghatamas (enveloped in perpetual darkness). And the wise Dirghatamas, possessed of a knowledge of the Vedas, though born blind, succeeded yet by virtue of his learning, in obtaining for a wife a young and handsome Brahmana maiden of the name of Pradweshi. And having married her, the illustrious Dirghatamas, for the expansion of Utathya's race, begat upon her several children with Gautama as their eldest. These children, however, were all given to covetousness and folly. The virtuous and illustrious Dirghatamas possessing complete mastery over the Vedas, soon after learnt from Surabhi's son the practices of their order and fearlessly betook himself to those practices, regarding them with reverence. (For shame is the creature of sin and can never be where there is purity of intention). Then those best of Munis that dwelt in the same asylum, beholding him transgress the limits of propriety became indignant, seeing sin where sin was not. And they said, 'O, this man, transgresseth the limit of propriety. No longer doth he deserve a place amongst us. Therefore, shall we all cast this sinful wretch off.' And they said many other things regarding the Muni Dirghatamas. And his wife, too, having obtained children, became indignant with him.","""the child in the womb then addressed him and said, 'O father, cease from thy attempt. There is no space here for two. O illustrious one, the room is small. I have occupied it first.'""",10,30
