,Ques_Id,Chunk_Id,Pred_Chunk_Id,FoundIn@1,FoundIn@2,FoundIn@3,FoundIn@4,FoundIn@5,FoundIn@10,P@1,P@2,P@3,P@4,P@5,P@10,R@1,R@2,R@3,R@4,R@5,R@10,F1@1,F1@2,F1@3,F1@4,F1@5,F1@10,MAP,RR
0,10000,10193,"['id10140', 'id10143', 'id130', 'id60', 'id186', 'id10130', 'id10287', 'id10124', 'id149', 'id10699']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10001,10193,"['id10193', 'id89', 'id61', 'id90', 'id10396', 'id85', 'id300', 'id10297', 'id10486', 'id10766']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
2,10002,10193,"['id162', 'id40', 'id10435', 'id61', 'id10753', 'id216', 'id136', 'id10766', 'id90', 'id10171']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10003,10193,"['id40', 'id162', 'id61', 'id136', 'id10435', 'id216', 'id300', 'id10400', 'id10347', 'id86']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10004,10193,"['id61', 'id162', 'id40', 'id10435', 'id216', 'id10253', 'id300', 'id10430', 'id68', 'id103']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10005,10425,"['id10430', 'id10175', 'id10182', 'id10206', 'id162', 'id10482', 'id149', 'id174', 'id68', 'id61']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10006,10425,"['id10270', 'id10425', 'id10297', 'id63', 'id282', 'id10486', 'id255', 'id10237', 'id10443', 'id10337']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
7,10007,10425,"['id10425', 'id10402', 'id10546', 'id177', 'id141', 'id166', 'id10551', 'id216', 'id10745', 'id252']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
8,10008,10425,"['id10425', 'id216', 'id184', 'id10400', 'id10315', 'id108', 'id10435', 'id10330', 'id10632', 'id139']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
9,10009,10425,"['id10425', 'id216', 'id10490', 'id150', 'id10414', 'id10101', 'id10080', 'id190', 'id104', 'id20']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
10,10010,10425,"['id10425', 'id10330', 'id10270', 'id10315', 'id10490', 'id10261', 'id126', 'id281', 'id10595', 'id10189']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
11,10011,10083,"['id10085', 'id10199', 'id19', 'id300', 'id10081', 'id10083', 'id238', 'id10084', 'id89', 'id274']",0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.17
12,10012,10083,"['id10085', 'id10572', 'id10847', 'id238', 'id10081', 'id240', 'id10097', 'id42', 'id242', 'id57']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,10013,10083,"['id10085', 'id10081', 'id238', 'id10084', 'id187', 'id274', 'id240', 'id10847', 'id202', 'id42']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10014,10078,"['id10079', 'id298', 'id10078', 'id10081', 'id10649', 'id10124', 'id255', 'id10125', 'id10619', 'id250']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
15,10015,10078,"['id10078', 'id10079', 'id298', 'id10081', 'id10124', 'id10649', 'id10125', 'id297', 'id10083', 'id139']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
16,10016,10080,"['id10080', 'id139', 'id150', 'id110', 'id10077', 'id10087', 'id10237', 'id10435', 'id10088', 'id10604']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
17,10017,10080,"['id10080', 'id10699', 'id10421', 'id20', 'id84', 'id10085', 'id10074', 'id23', 'id10009', 'id6']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
18,10018,10443,"['id10466', 'id83', 'id10265', 'id10421', 'id281', 'id10189', 'id10274', 'id90', 'id57', 'id10460']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,10019,10443,"['id10291', 'id95', 'id224', 'id10506', 'id10454', 'id50', 'id271', 'id10443', 'id148', 'id10793']",0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.12
20,10020,10443,"['id50', 'id10202', 'id75', 'id88', 'id10355', 'id82', 'id10406', 'id102', 'id224', 'id10421']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
