,Question,Ques_Id
0,Who was the father of Astika?,6
1,How did Kasyapa pacify the Valakhilyas?,6
2,What did Narada declare about Krishna and Arjuna?,5
3,Who followed Yudhishthira into the wilderness?,5
4,What is the name of the thirteenth Parva?,5
5,What did Rama ask for as a boon from his ancestors?,5
6,What did Sesha do after hearing of the curse?,5
7,What did Takshaka ask Kasyapa to do?,5
8,What did Upamanyu do to support himself?,5
9,What was Indra's fault that caused the Valakhilyas to perform a great sacrifice?,5
10,How many slokas are contained in the Harivansa?,5
11,Who offered his virtuous daughter Uttara to Arjuna?,5
12,What did the gods ask Vishnu and Brahman to do?,4
13,Who asked Sauti about his journey?,4
14,What did Ayoda-Dhaumya ask his disciples to do?,4
15,What was Amrita that Utanka ate on his journey?,4
16,Who are Dhata and Vidhata?,4
17,What did Vidura do to protect the Pandavas from Duryodhana's evil designs?,4
18,What does the wheel of twelve spokes signify?,4
19,What did the Rishis wish to hear from Sauti?,4
20,How did Parikshit conduct himself on earth?,4
21,What is the name of the great sage who composed the Mahabharata?,4
22,What is the name of the fifth Parva in the Bharata?,4
23,Who recited the Mahabharata at Janamejaya's Snake-sacrifice?,4
24,"How many sections and slokas are there in the seventh Parva, Drona?",3
25,What did Janamejaya promise Astika when he asked for a boon?,3
26,What did Dhritarashtra wish to do after hearing of the Pandavas' victory?,3
27,Who were the Ritwiks and Sadasyas at the snake-sacrifice of Janamejaya?,3
28,What did Ganesa agree to do in order to write the Bharata?,3
29,What did Garuda ask Indra in return for his friendship?,3
30,What did Indra give to King Vasu for his gratification?,3
31,How did Vasuki seek protection from the gods when Kadru cursed him and his brothers?,3
32,What did Indra tell King Vasu about those who joyously observe his festival?,3
33,What did Indra tell Takshaka when he sought protection from him?,3
34,What did Janamejaya ask his ministers about?,3
35,What did Jaratkaru tell her son Astika to do?,3
36,What did Jaratkaru do to help the Pitris?,3
37,What did Jaratkaru undertake when he visited diverse places?,3
38,What did Jaratkaru's ancestors ask him to do in order to redeem them?,3
39,How did Upamanyu become blind?,3
40,What did Kadru do to Vinata after seeing the black hairs in the tail of the horse?,3
41,What did Kasyapa advise Garuda to do in order to appease his hunger?,3
42,What did Kasyapa intend to do when he was approaching the king's residence?,3
43,What did Krishna do to neutralize Aswatthaman's destructive intentions?,3
44,What did Manu say about a ruler of the destinies of men?,3
45,What did Dhritarashtra do when he heard the success of the Pandavas?,3
46,What did Brahman tell Vasuki in order for the curse to be made abortive?,3
47,What did Brahma tell Vyasa to do?,3
48,How did the man on the bull test Utanka's obedience?,3
49,"How many sections are there in the fifteenth Parva, Asramvasika?",3
50,How many Akshauhinis were assembled at Samanta-panchaka?,3
51,How many sons did King Vasu have?,3
52,Who vowed to not take off his armor until he killed all the Panchalas and Pandavas?,3
53,Who is Parjanya?,3
54,How did the sister of Vasuki demonstrate her devotion to her husband?,3
55,Who was the author of the Bharata?,3
56,Who did Vyasa call upon to write the Bharata?,3
57,What are some events described in Sabha Parva?,3
58,Who did Samika send with instructions to communicate a message to King Parikshit?,3
59,Who did Duryodhana deceive on his way to assist the Pandavas?,3
60,Who were some of the noted Brahmanas that came to Pramadvara's side when she was bitten by a snake?,3
61,What boon did Sesha ask from Brahma?,3
62,What boons did Vishnu grant to Garuda?,3
63,What did Manu say about the importance of a ruler of the destinies of men?,3
64,What caused Sringin to become wrathful?,3
65,Who composed the Bharata?,3
66,What did Agni give Arjuna in gratitude for relieving him from fear?,3
67,What did Arjuna solicit from Krishna?,3
68,What did Astika ask for as a boon from the snakes?,3
69,"How did the king respond when the snakes disguised as ascetics offered him fruits, kusa grass, and water?",3
70,What did Ayoda-Dhaumya tell Upamanyu to do in order to restore his sight?,3
71,": Who repelled Brahmashira (discharged by Aswatthaman) with another weapon over which he had pronounced the word ""Sasti""?",3
72,What did Sringin tell his father when he was reprimanded for cursing the king?,3
73,What did Narayana do when the gods were too tired to churn further?,3
74,What did the Valakhilya Rishis do when they saw Garuda?,3
75,What did the celestial bitch Sarama do when she saw her son crying?,3
