,Question,Ques_Id
355,"What was the purpose of scattering hemp, oil, clarified butter, and lac around the house?",1
356,When did the speaker lose hope of success upon hearing a particular incident involving Arjuna and a divine weapon?,1
357,Where did Bhishma bring the daughters of the king of Kasi?,1
358,Why did the gods install Vrihaspati and the Asuras install Usanas as their priests?,1
359,What was the reason behind Rama forming five lakes of blood at Samanta-panchaka?,1
360,What was the rat in the hole symbolic of?,1
361,What was the purpose of Purochana setting fire to the door of the house?,1
362,Why did the god of fire not answer the Rakshasa’s question? ,1
363,What was the reason for Jaratkaru's eventual decision not to leave his wife?,1
364,When did Yudhishthira have no hope of success according to Sanjaya?,1
365,What was the purpose of the Valakhilyas' sacrifice?,1
366,Where did Agni go when he realized his energy was diminishing?,1
367,Why did the king approach the swift hawk?,1
368,When did Yayati become sorrowful?,1
369,Why did the king decide to eat the fruits brought by the disguised snakes?,1
370,When did Sanjaya lose hope of success according to the speaker?,1
371,What was the purpose behind Jaratkaru's leaving his wife?,1
372,What was the reason behind King Parikshit placing the dead snake on Sringin's father's shoulder?,1
373,Where did Arjuna go after leaving Raivataka?,1
374,Why did Sarmishtha argue that it was not sinful for Yayati to lie in this situation?,1
375,What was the reason for Bhrigu's son being named Chyavana?,1
376,What was the reason for Jaratkaru's departure from his wife?,1
377,What was the purpose of Jaratkaru's marriage and offspring according to the text?,1
378,Why did the Kshatriyas seek the protection of the faultless woman?,1
379,Why did the deer criticize the king for killing it?,1
380,What wrong had King Parikshit done to Sringin's father?,1
381,What was the true identity of the deer?,1
382,Why did Yudhishthira send Arjuna into the woods?,1
383,Why did the celestials approach Prajapati for relief?,1
384,Why did the celestial beings approach Indra?,1
385,What weapon did Narayana use to defeat the Danavas?,1
386,Why did the Rishis and the gods go to the presence of Brahma? ,1
387,Why did the Rishi hesitate to accept the maiden offered by Vasuki?,1
388,"Why did the Pandavas, including Yudhishthira, follow the gambling addiction of Yudhishthira and endure affliction?",1
389,What were the names of the three children born and how did their birth impact the kingdom?,1
390,What were the names of the sons born to the daughter of Saradandayana?,1
391,Why did Yudhishthira suggest they maintain privacy and conceal their actions?,1
392,Why did the Pandavas have to spend thirteen years in exile?,1
393,What were the criteria mentioned by Drupada for friendship to exist?,1
394,What were the conditions in the kingdom in terms of fear and prosperity?,1
395,Why did the Muni wander over the earth and weep loudly in the forest?,1
396,What were some of the qualities possessed by Santanu?,1
397,Why did some of the Bhrigus bury their wealth under the earth?,1
398,Why did the Muni tie himself strongly with cords and throw himself into the river?,1
399,Why did the Muni throw himself into the river Satadru (the river of a hundred courses)?,1
400,Why did the Kurus become jealous of the Pandavas?,1
401,What were the citizens and country people doing during the Swayamvara?,1
402,What were the characteristics of the child who arose from the flames after the sanctified libation was poured on the fire?,1
403,What was the voice from the skies saying about the prince who was born?,1
404,What was the task assigned to Tilottama by the Grandsire?,1
405,What was the reason for the Pandavas' journey towards Panchala?,1
406,What was the suggestion given by Brahman to relieve the snakes?,1
407,What would Duryodhana do if the Pandavas proved to be docile and obedient?,1
408,Why did Sringin become angry with Krisa?,1
409,"What was the reason for the delay in Jaratkaru seeking a wife, despite Vasuki's desire to bestow his sister upon him?",1
410,Why did Sringin's father defend King Parikshit's actions and advise against cursing him?,1
411,What was the reason for the disunion between the Kurus and Pandavas?,1
412,What was the reason why Jaratkaru came to be so called on earth?,1
413,What will happen once the Pandavas receive permission to go to their ancestral kingdom?,1
414,Why did the deer curse the king?,1
415,What were the two names by which the maiden became known among men?,1
416,Why did Takshaka want to prevent Kasyapa from resuscitating Janamejaya's father?,1
417,What were the three pursuits that Yudhishthira paid homage to?,1
418,Why did Vasuki state that the sacrifice cannot be prevented and Janamejaya cannot be hindered?,1
419,What was the response of the king when repeatedly urged by his Sadasyas regarding Astika's request?,1
420,What was the result of Agni's agreement?,1
421,Why did Yayati ask his eldest son Yadu to take his decrepitude?,1
422,What were the reasons Menaka gave for her fear of approaching Viswamitra?,1
423,What was the sacred spot that Arjuna reached after seeing all the sacred waters and holy places?,1
424,What was the state of the kingdom during this period?,1
425,What were the ominous signs observed at the birth of Duryodhana?,1
426,What was the state of the people during the rule of the monarch?,1
427,What was the suggested course of action regarding the fight with the Brahmanas?,1
428,"What were some of things that Ayoda-Dhaumya instructed his disciple,Upamaynu, to glorify in order for him to regain his sight?",1
429,Whom did Yayati gratify through his actions?,1
430,Why did the king go hunting in the woods?,1
431,What orders did the king give to his gate-keepers?,1
432,What proposal does Devayani make to Kacha after the expiry of his vow?,1
433,What proposal did Drupada make to Yudhishthira regarding Krishna's marriage?,1
434,What promise did Ganga fulfill by living with the king for a certain period?,1
435,What preparations did King Drupada make for the arrival of the Pandavas?,1
436,What precaution did Janamejaya's father take after hearing about the curse?,1
437,What plan did Menaka suggest to Indra for her encounter with Viswamitra?,1
438,What parva contains the story of the battle between Arjuna and Mahadeva in the guise of a hunter?,1
439,"What pangs is Hidimva experiencing, and who does she attribute them to?",1
440,What omens began to appear among gods foreboding fear?,1
441,What qualities and virtues are found in the king's dominion of Chedi?,1
442,"What omens appeared among the gods, indicating fear?",1
443,What offerings did King Janamejaya present to the Rishi?,1
444,What offer does Sukra make to Kacha after Devayani expresses her feelings?,1
445,What obstacles did the celestials cause to impede the progress of the brothers' asceticism?,1
446,What objection did some serpents raise against the proposed suggestions?,1
447,What news did the citizens send to Dhritarashtra?,1
448,What names were bestowed upon the newborn pair by the Brahmanas?,1
449,What name was given to the son of Ganga after the gods and Rishis showered him with flowers?,1
450,What purpose does the speaker say anger and vows serve?,1
451,What qualities did Abhimanyu possess?,1
452,What was the prophecy about the twin sons Nakula and Sahadeva?,1
453,What science did the Gandharva offer to impart to Arjuna?,1
454,What should kings do when their foes are in their power?,1
455,What should kings do to destroy their foes' allies and partisans?,1
456,What should kings do in relation to their own faults and the faults of their foes?,1
457,What should kings be ready with and what should they constantly increase?,1
458,What should a person who fails to attain knowledge devote themselves to?,1
459,Why does the daughter refer to herself as a source of trouble?,1
460,What should a Muni (ascetic) do to achieve success?,1
461,What secret instruction did Drona give to the cook regarding Arjuna?,1
462,"What role does a king play in society, according to Sringin's father?",1
463,What qualities or attributes are associated with Garuda in the text?,1
464,What reward did Agni give Arjuna after he relieved him from fear?,1
465,What resolution did Arjuna come to after reflecting on the situation?,1
466,What request does Drona make to Agni?,1
467,What request did the celestials make to Kacha?,1
468,What request did Devayani make to her father Sukra regarding Yayati?,1
469,What regions did Arjuna conquer and bring under the control of the Pandavas?,1
470,What reason does the speaker give for being enraged with kings and others?,1
471,What reason did Dhritarashtra give for his increased affection towards the Pandavas?,1
472,What name was given to the minor son of the deceased king who became the new king?,1
473,Why does the mother insist that the young ones enter the hole?,1
474,Why does the speaker say that a punisher of crimes is necessary in the world?,1
475,What is the significance of Samanta-panchaka?,1
476,What is the story of Nala in Aranyaka Parva?,1
477,What is the story of Aranya in this parva?,1
478,Why was Sringin enraged upon seeing his father in the cow-pen?,1
479,What is the single thread that remains in the cord of virana roots?,1
480,Why was king Pandu deeply afflicted and wept bitterly?,1
481,Why was the maiden worried about accepting the embraces of the Rishi?,1
482,What is the significance of Yayati's truth and virtue according to his statement?,1
483,Why was the son of Bhrigu named Chyavana? ,1
484,What is the reward for listening to the sacred work of Vyasa?,1
485,What name was bestowed upon the celestial maiden created by Viswakarman?,1
486,Why was the virtuous Saunaka smiling when he heard the etymology of the name Jaratkaru?,1
487,Why were Jaratkaru's ancestors suspended in a hole according to the text?,1
488,What is the reward for listening to the Bharata?,1
