QuesId,SectionId,ContextId,Question,Answer,Reference
1,Book01_01,1,Question: Who composed the Mahabharata and recited it at the snake-sacrifice of Raja Janamejaya?,Answer: The Mahabharata was composed by Krishna-Dwaipayana (Vyasa) and recited by Vaisampayana at the snake-sacrifice of Raja Janamejaya.,"Reference: ""Sauti said, 'Having heard the diverse sacred and wonderful stories which were composed in his Mahabharata by Krishna-Dwaipayana, and which were recited in full by Vaisampayana at the Snake-sacrifice of the high-souled royal sage Janamejaya..."""
2,Book01_01,1,Question: What is the nature of the Mahabharata and what does it encompass?,"Answer: The Mahabharata is a sacred work, an eminent narrative that is diverse in diction and division. It possesses subtile meanings logically combined and is gleaned from the Vedas. It includes the subjects of other books and comprehends the sense of the four Vedas.","Reference: ""The Purana, first promulgated by the great Rishi Dwaipayana, and which after having been heard both by the gods and the Brahmarshis was highly esteemed, being the most eminent narrative that exists, diversified both in diction and division, possessing subtile meanings logically combined, and gleaned from the Vedas, is a sacred work. Composed in elegant language, it includeth the subjects of other books. It is elucidated by other Shastras, and comprehendeth the sense of the four Vedas."""
3,Book01_01,1,Question: How did creation begin according to the Mahabharata?,"Answer: At the beginning of the Yuga, from a mighty egg called Mahadivya, the lord Pitamaha Brahma, along with Suraguru and Sthanu, emerged. This was followed by the appearance of twenty-one Prajapatis, various celestial beings, Brahmarshis, and other elements of creation such as water, heavens, earth, and seasons.","Reference: ""In this world, when it was destitute of brightness and light, and enveloped all around in total darkness, there came into being, as the primal cause of creation, a mighty egg, the one inexhaustible seed of all created beings. It is called Mahadivya, and was formed at the beginning of the Yuga... Then appeared the twenty-one Prajapatis, viz., Manu, Vasishtha and Parameshthi; ten Prachetas, Daksha, and the seven sons of Daksha. Then appeared the man of inconceivable nature whom all the Rishis know and so the Viswe-devas, the Adityas, the Vasus, and the twin Aswins; the Yakshas, the Sadhyas, the Pisachas, the Guhyakas, and the Pitris. After these were produced the wise and most holy Brahmarshis, and the numerous Rajarshis distinguished by every noble quality. So the water, the heavens, the earth, the air, the sky, the points of the heavens, the years, the seasons, the months, the fortnights, called Pakshas, with day and night in due succession. And thus were produced all things which are known to mankind."""
4,Book01_01,2,Question: How will the universe be affected at the end of the world and the expiration of the Yuga?,"Answer: At the end of the world and the expiration of the Yuga, everything seen in the universe, whether animate or inanimate, will be confounded and destroyed. However, at the commencement of other Yugas, all things will be renovated and succeed each other in due order.","Reference: ""And what is seen in the universe, whether animate or inanimate, of created things, will at the end of the world, and after the expiration of the Yuga, be again confounded. And, at the commencement of other Yugas, all things will be renovated, and, like the various fruits of the earth, succeed each other in the due order of their seasons."""
5,Book01_01,2,"Question: How many generations of Devas were there, and who were their prominent descendants?","Answer: The generation of Devas consisted of thirty-three thousand, thirty-three hundred, and thirty-three individuals. Some of their prominent descendants include Brihadbhanu, Chakshus, Atma Vibhavasu, Savita, Richika, Arka, Bhanu, Asavaha, Ravi, and others. The offspring of these descendants gave rise to families such as the Kurus, Yadus, Bharatas, Yayati, Ikshwaku, and various Rajarshis.","Reference: ""The generation of Devas, in brief, was thirty-three thousand, thirty-three hundred and thirty-three. The sons of Div were Brihadbhanu, Chakshus, Atma Vibhavasu, Savita, Richika, Arka, Bhanu, Asavaha, and Ravi. Of these Vivaswans of old, Mahya was the youngest whose son was Deva-vrata. The latter had for his son, Su-vrata who, we learn, had three sons,--Dasa-jyoti, Sata-jyoti, and Sahasra-jyoti, each of them producing numerous offspring. The illustrious Dasa-jyoti had ten thousand, Sata-jyoti ten times that number, and Sahasra-jyoti ten times the number of Sata-jyoti's offspring. From these are descended the family of the Kurus, of the Yadus, and of Bharata; the family of Yayati and of Ikshwaku; also of all the Rajarshis."""
6,Book01_01,2,Question: Who composed the Mahabharata and how did it come into existence?,"Answer: The Mahabharata was composed by the noble Dwaipayana Vyasa, who, after analyzing the eternal Veda through penance and meditation, authored this holy history. The poem was then written with the help of Ganesha, who was summoned by Vyasa at the behest of Brahma.","Reference: ""The son of Satyavati having, by penance and meditation, analyzed the eternal Veda, afterwards composed this holy history, when that learned Brahmarshi of strict vows, the noble Dwaipayana Vyasa, offspring of Parasara, had finished this greatest of narrations, he began to consider how he might teach it to his disciples... Then Vyasa began to call to mind Ganesa. And Ganesa, obviator of obstacles, ready to fulfil the desires of his votaries, was no sooner thought of, than he repaired to the place where Vyasa was seated. And when he had been saluted, and was seated, Vyasa addressed him thus, 'O guide of the Ganas! be thou the writer of the Bharata which I have formed in my imagination, and which I am about to repeat.'"""
7,Book01_01,3,"Question: Who became the writer of Vyasa's work, the Bharata, and under what condition?","Answer: Ganesa, upon Vyasa's request, became the writer of the Bharata. However, he agreed to do so only on the condition that Vyasa's pen should not cease writing.","Reference: ""Ganesa, upon hearing this address, thus answered, 'I will become the writer of thy work, provided my pen do not for a moment cease writing."""
8,Book01_01,3,Question: How was the Bharata composed and what were its various parts compared to?,"Answer: The Bharata was composed by Vyasa, who knitted the knots of composition closely while dictating the work. The different parts of the Bharata were compared to a tree, with the chapter of contents as the seed, divisions and books representing various components such as the root, trunk, leaves, flowers, fruit, etc.","Reference: ""This work is a tree, of which the chapter of contents is the seed; the divisions called Pauloma and Astika are the root; the part called Sambhava is the trunk; the books called Sabha and Aranya are the roosting perches; the books called Arani is the knitting knots; the books called Virata and Udyoga the pith; the book named Bhishma, the main branch; the book called Drona, the leaves; the book called Karna, the fair flowers; the book named Salya, their sweet smell; the books entitled Stri and Aishika, the refreshing shade; the book called Santi, the mighty fruit; the book called Aswamedha, the immortal sap; the denominated Asramavasika, the spot where it groweth; and the book called Mausala, is an epitome of the Vedas and held in great respect by the virtuous Brahmanas."""
9,Book01_01,3,"Question: How many verses were composed by Vyasa for the Bharata, and who recited them in different realms?","Answer: Vyasa composed an initial compilation of the Bharata in twenty-four thousand verses. He later created an epitome of one hundred and fifty verses, which he taught to his son Suka. Vyasa's complete compilation comprised six hundred thousand verses, with different numbers of verses known in the world of Devas, Pitris, Gandharvas, and humans. Narada, Devala, Suka, and Vaisampayana recited the verses in different realms.","Reference: ""Vyasa executed the compilation of the Bharata, exclusive of the episodes originally in twenty-four thousand verses; and so much only is called by the learned as the Bharata... After that, he executed another compilation, consisting of six hundred thousand verses. Of those, thirty hundred thousand are known in the world of the Devas; fifteen hundred thousand in the world of the Pitris: fourteen hundred thousand among the Gandharvas, and one hundred thousand in the regions of mankind. Narada recited them to the Devas, Devala to the Pitris, and Suka published them to the Gandharvas, Yakshas, and Rakshasas: and in this world they were recited by Vaisampayana, one of the disciples of Vyasa..."""
10,Book01_01,4,Question: How did the citizens react when the Pandavas were introduced as the sons of Pandu?,"Answer: The distinguished class of citizens shouted with joy upon seeing the Pandavas introduced as the sons of Pandu. While some expressed doubts, many welcomed them as the family of Pandu, and there were acclamations and celebrations. The arrival of the young princes was accompanied by showers of sweet-scented flowers and sounds of shells and kettle-drums.","Reference: ""When the Kauravas saw them introduced as the sons of Pandu, the distinguished class of citizens shouted exceedingly for joy... Still on all sides voices were heard crying, 'They are on all accounts welcome! Through divine Providence we behold the family of Pandu! Let their welcome be proclaimed!' As these acclamations ceased, the plaudits of invisible spirits, causing every point of the heavens to resound, were tremendous. There were showers of sweet-scented flowers, and the sound of shells and kettle-drums."""
11,Book01_01,4,Question: How did the principal men and the people perceive the Pandavas?,"Answer: The principal men were pleased with the virtues and qualities displayed by the Pandavas. They respected Yudhishthira for his purity, Arjuna for his courage, Kunti for her submissive attention to her superiors, and Nakula and Sahadeva for their humility. The people rejoiced in the heroic virtues of the Pandavas.","Reference: ""The principal men were pleased with the purity of Yudhishthira, the courage of Arjuna, the submissive attention of Kunti to her superiors, and the humility of the twins, Nakula and Sahadeva; and all the people rejoiced in their heroic virtues."""
12,Book01_01,4,Question: What led to the conflict and the subsequent war between the Kshatriyas?,"Answer: Dhritarashtra, out of affection for his son Duryodhana, gave his consent to play a game of dice with the Pandavas. This decision was influenced by the ill advice of Kama, Sakuni, and Duryodhana. Vasudeva (Lord Krishna), although dissatisfied, did not prevent the disputes that arose from the game and other unjustifiable transactions. As a result, the Kshatriyas ended up killing each other in the terrible war that followed.","Reference: ""And it was represented to Dhritarashtra that his son, while partaking of various objects of enjoyment and diverse precious things, was becoming meagre, wan, and pale... And Dhritarashtra, some time after, out of affection for his son, gave his consent to their playing (with the Pandavas) at dice... in spite of Vidura, Bhishma, Drona, and Kripa, the son of Saradwan, he made the Kshatriyas kill each other in the terrific war that ensued.'"""
13,Book01_01,5,Question: When did Sanjaya lose hope of success according to the speaker?,"Answer: Sanjaya lost hope of success when he heard that Arjuna had pierced the curious mark in the arena and won the maiden Krishna, Draupadi, in front of the assembled princes. (Reference: ""When I heard that Arjuna, having bent the bow, had pierced the curious mark and brought it down to the ground, and bore away in triumph the maiden Krishna, in the sight of the assembled princes, then, O Sanjaya, I had no hope of success."")",
14,Book01_01,5,Question: What event led the speaker to lose hope of success involving the two heroes of the race of Vrishni?,"Answer: The marriage of Arjuna to Subhadra, a princess of the race of Madhu, in the city of Dwaraka, and the subsequent entry of Krishna and Balarama (the brothers of Subhadra) into Indraprastha without any resentment, caused the speaker to lose hope of success. (Reference: ""When I heard that Subhadra of the race of Madhu had, after forcible seizure, been married by Arjuna in the city of Dwaraka, and that the two heroes of the race of Vrishni (Krishna and Balarama, the brothers of Subhadra) without resenting it had entered Indraprastha as friends, then, O Sanjaya, I had no hope of success."")",
15,Book01_01,6,Question: When did the speaker lose hope of success upon hearing a particular incident involving Arjuna and a divine weapon?,"Answer: The speaker lost hope of success when he heard that Arjuna, in combat, pleased the god of gods, Tryambaka (the three-eyed) in the disguise of a hunter, and obtained the great weapon Pasupata. (Reference: ""When I heard that Arjuna, having, in combat, pleased the god of gods, Tryambaka (the three-eyed) in the disguise of a hunter, obtained the great weapon Pasupata, then O Sanjaya, I had no hope of success."")",
16,Book01_01,6,Question: What event caused the speaker to lose hope of success upon hearing about Arjuna's celestial achievements?,"Answer: The speaker lost hope of success upon hearing that Arjuna, after visiting the celestial regions, obtained celestial weapons from Indra himself. (Reference: ""When I heard that the just and renowned Arjuna, after having been to the celestial regions, had there obtained celestial weapons from Indra himself, then, O Sanjaya, I had no hope of success."")",
17,Book01_01,7,Question: Whom does Dhritarashtra lament as being destitute and deserving of pity?,"Answer: Dhritarashtra laments that Gandhari, who is without children, grandchildren, parents, brothers, and kindred, is deserving of pity. (Reference: ""'Alas! Gandhari, destitute of children, grandchildren, parents, brothers, and kindred, is to be pitied."")",
18,Book01_01,7,Question: How many individuals are reported to have survived the war according to Dhritarashtra?,"Answer: Dhritarashtra mentions that only ten individuals are reported to have survived the war: three from their side and seven from the Pandavas. (Reference: ""'Alas! I have heard that the war hath left only ten alive: three of our side, and the Pandavas, seven."")",
19,Book01_01,8,Question: What benefits does a person receive by reading even one foot of the Bharata with belief?,"Answer: By reading even one foot of the Bharata with belief, a person's sins are entirely purged away. (Reference: ""He that readeth even one foot, with belief, hath his sins entirely purged away."")",
20,Book01_01,8,Question: What happens to a person who constantly hears the recitation of the Introduction section of the Bharata?,"Answer: A person who constantly hears the recitation of the Introduction section of the Bharata, from the beginning, does not fall into difficulties. (Reference: ""The believer that constantly heareth recited this section of the Bharata, called the Introduction, from the beginning, falleth not into difficulties."")",
21,Book01_02,9,Question: What was the reason behind Rama forming five lakes of blood at Samanta-panchaka?,"Answer: Rama formed the lakes of blood at Samanta-panchaka as an offering to the manes of his ancestors and to seek absolution from the sins born of annihilating the Kshatriyas in anger. (Reference: ""And when that fiery meteor, by his own valour, annihilated the entire tribe of the Kshatriyas, he formed at Samanta-panchaka five lakes of blood."")",
22,Book01_02,9,Question: What is the composition of an Akshauhini?,"Answer: An Akshauhini consists of chariots, elephants, foot-soldiers, and horses. One Akshauhini comprises 21,870 chariots and elephants, 109,350 foot-soldiers, and 65,610 horses. (Reference: ""One chariot, one elephant, five foot-soldiers, and three horses form one Patti... O best of Brahmanas, according to this calculation were composed the eighteen Akshauhinis of the Kaurava and the Pandava army."")",
23,Book01_02,10,"Question: What is the first parva of the Bharata called, and what are the subsequent parvas mentioned after it?","Answer: The first parva is called Anukramanika. The subsequent parvas mentioned after it include Sangraha, Paushya, Pauloma, Astika, Adivansavatarana, Sambhava, Jatugrihadaha, Hidimbabadha, Baka-badha, Chitraratha, Swayamvara, Vaivahika, Viduragamana, Rajyalabha, Arjuna-banavasa, Subhadra-harana, Harana-harika, Khandava-daha, Maya-darsana, Sabha, Mantra, Jarasandha, Digvijaya, Raja-suyaka, Arghyaviharana, Sisupala-badha, Dyuta, Anudyuta, Aranyaka, and Krimira-badha, among others. (Reference: ""The first parva is called Anukramanika; the second, Sangraha; then Paushya; then Pauloma; the Astika; then Adivansavatarana. Then comes the Sambhava of wonderful and thrilling incidents..."")",
24,Book01_02,10,Question: What parva contains the story of the battle between Arjuna and Mahadeva in the guise of a hunter?,"Answer: The parva that contains the story of the battle between Arjuna and Mahadeva in the guise of a hunter is called Arjuna-vigamana. (Reference: ""The Arjuna-vigamana (the travels of Arjuna)..."")",
25,Book01_02,12,Question 1: What events are described in the Adi Parva of the Mahabharata?,"Answer 1: The Adi Parva contains various events such as the burning of the house of lac, the slaying of Hidimba, the destruction of the Asura Vaka, the Swayamvara of Draupadi, her marriage after the overthrow of rivals in war, the abduction of Subhadra, the burning of the Khandava forest, and the meeting with Maya the Asura-architect, among others.",
26,Book01_02,12,Question 2: What is described in the Sambhava Parva?,"Answer 2: The Sambhava Parva narrates the birth of various kings and heroes, including the sage Krishna Dwaipayana (Veda Vyasa), as well as the partial incarnations of deities, the generation of Danavas, Yakshas, serpents, Gandharvas, birds, and other creatures. It also covers the life and adventures of King Bharata, the progenitor of the Bharata dynasty, and the son born of Sakuntala in the hermitage of the ascetic Kanwa.",
27,Book01_02,12,Question 3: What significant events occur during Arjuna's journey in the Adi Parva?,"Answer 3: During Arjuna's journey in the Adi Parva, he meets Ulupi, the daughter of a Naga (serpent), visits sacred spots, and witnesses the birth of his son Vabhruvahana. He also rescues the five celestial damsels turned into alligators, meets Madhava (Krishna) on the holy spot called Prabhasa, and carries away Subhadra in a wonderful car incited by Krishna. Additionally, Arjuna burns the Khandava forest, rescues the architect Maya, and begets a son with the bird Sarngi.",
28,Book01_02,13,Questions: What is the name of the parva that describes the establishment of the grand hall by the Pandavas and their review of their retainers?,Answers: The name of the parva that describes the establishment of the grand hall by the Pandavas and their review of their retainers is Sabha or The Assembly.,References: The name of Sabha Parva is given in this sentence: “These constitute what has been called by Vyasa Sabha Parva.”
29,Book01_02,13,Questions: Who delivered the princes confined in the mountain-pass by Jarasandha?,"Answers: The princes confined in the mountain-pass by Jarasandha were delivered by Vasudeva, also known as Krishna.",References: The deliverance by Vasudeva is mentioned in this sentence: “the deliverance by Vasudeva of princes confined in mountain-pass.”
30,Book01_02,13,Questions: What was the cause of Duryodhana’s indignation and envy in the assembly?,Answers: The cause of Duryodhana’s indignation and envy in the assembly was his sight of the magnificent scale on which the arrangements had been made for the Rajasuya sacrifice by Yudhishthira.,References: The cause of Duryodhana’s indignation and envy is stated in this sentence: “Duryodhana’s sorrow and envy at sight of magnificent scale on which arrangements had been made.”
31,Book01_02,15,Questions: What is the fifth Parva called and what does it contain?,"Answers: The fifth Parva is called Udyoga, and it contains incidents related to war and peace.","References: ""Listen then to (the contents of) the fifth Parva which must be known as Udyoga."" - (Context)"
32,Book01_02,15,"Questions: Who did Duryodhana ask for assistance in the war, and what did Arjuna request?","Answers: Duryodhana asked for troops, while Arjuna requested Krishna's assistance as an unfighting counsellor.","References: ""Blind to his own interests, the foolish Duryodhana asked for the troops; while Arjuna solicited Krishna as an unfighting counsellor."" - (Context)"
33,Book01_02,15,"Questions: Who went as an envoy to the Pandavas from the Kauravas, and what did he convey?","Answers: Sanjaya went as an envoy to the Pandavas from the Kauravas, conveying the desire for peace.","References: ""Then is described how king Dhritarashtra of great prowess, having heard the word of the purohita of the Pandavas and the story of Indra's victory decided upon sending his purohita and ultimately despatched Sanjaya as envoy to the Pandavas from desire for peace."" - (Context)"
34,Book01_02,16,Questions: What incidents are narrated in the Bhishma Parva?,"Answers:The Bhishma Parva recounts the formation of the region known as Jambu, Yudhishthira's army's great depression, and the fierce ten-day battle. It also includes Krishna driving away Arjuna's compunction, Krishna's attempt to kill Bhishma, and Arjuna placing Shikandin before him to pierce Bhishma with arrows.","References: ""Then is recited the Bhishma Parva replete with wonderful incidents."" - (Context)"
35,Book01_02,16,Questions: What events are described in the Drona Parva?,"Answers: The Drona Parva features the installation of Drona as the commander of the army, Arjuna's retreat from the field, the death of Abhimanyu, and the destruction of the Sansaptakas. It also includes the discharge of the Narayana weapon by Aswatthaman and the recital of Krishna and Arjuna's glory by Vyasa.","References: ""Then is recited the wonderful Parva called Drona full of incidents."" - (Context)"
36,Book01_02,16,Questions: What is the content of the Karna Parva?,"Answers: The Karna Parva narrates the appointment of the king of Madra as Karna's charioteer, the fall of the Asura Tripura, and the mutual wrath between Karna and Salya. It also includes Bhima ripping open Dussasana's chest and drinking his blood, as well as Arjuna's slaying of Karna in single combat.","References: ""Then hath been recited the wonderful Parva called Salya."" - (Context)"
37,Book01_02,17,Questions: What incidents are described in the Sauptika Parva?,"Answers: The Sauptika Parva narrates the entry of Kritavarman, Kripa, and Aswatthaman into the battlefield after the departure of the Pandavas. It includes the slaughter of the Panchalas and Draupadi's distress. Aswatthaman attempts to kill the sleeping Panchalas but is stopped by Krishna and Arjuna. Krishna and Dwaipayana (Vyasa) curse Aswatthaman, and Pandava takes away the jewel from his head.","References: ""Then shall I describe the Parva called Sauptika of frightful incidents."" - (Context)"
38,Book01_02,17,Questions: What events take place in the Stri Parva?,"Answers: The Stri Parva depicts Dhritarashtra's anguish over the death of his children and his enmity towards Bhima. Vidura consoles Dhritarashtra and then describes their visit to the battlefield. The wives of the slain heroes lament, and Gandhari and Dhritarashtra become unconscious. Krishna pacifies Gandhari, and the bodies of the deceased princes are cremated. The Parva also includes the revelation of Karna as Kunti's secret son.","References: ""After this hath been recited the highly pathetic Parva called Stri."" - (Context)"
39,Book01_02,17,Questions: What is the content of the Santi Parva?,"Answers: The Santi Parva portrays Yudhishthira's despondency after killing his relatives. Bhishma, lying on a bed of arrows, imparts knowledge about various duties and systems. The Parva covers emergency duties, the path to final emancipation, and the understanding of consummate knowledge. It consists of 339 sections and contains 14,732 slokas.","References: ""Twelfth in number cometh the Santi Parva."" - (Context)"
40,Book01_02,18,Questions: What is described in the Anusasana Parva?,"Answers: The Anusasana Parva describes how Yudhishthira reconciles with himself after listening to Bhishma's exposition of duties. It covers rules, Dharma, Artha, charity, qualifications of donees, and the supreme importance of truth. The Parva also explores individual duties, conduct, the merit of Brahmanas and kine, and the mysteries of duties in relation to time and place.","References: ""Next in order is the excellent Anusasana Parva."" - (Context)"
41,Book01_02,18,Questions: What events take place in the Aswamedhika Parva?,"Answers:  The Aswamedhika Parva tells the story of Samvarta and Marutta, the discovery of golden treasuries by the Pandavas, and the birth of Parikshit who was revived by Krishna. It includes the battles fought by Arjuna while following the sacrificial horse, his encounter with Vabhruvahana, and the story of the mongoose during the horse-sacrifice.","References: ""Then comes the fourteenth Parva Aswamedhika."" - (Context)"
42,Book01_02,18,Questions: What happens in the Maushala Parva?,"Answers:  The Maushala Parva depicts the tragic events that unfold among the Vrishni clan. Due to a curse, the Vrishnis, including Balarama and Krishna, kill each other on the shores of the Salt Sea. Arjuna witnesses the destruction of his clan, arranges the funeral of the deceased, and faces calamities on his journey from Dwaraka. Depressed, Arjuna seeks permission from Yudhishthira to adopt the Sannyasa mode of life.","References: ""After this, you know, comes the Maushala of painful incidents."" - (Context)"
43,Book01_03,20,Question 1: Who were the brothers of Janamejaya attending his long sacrifice on the plains of Kurukshetra? ,"Answer 1: The brothers of Janamejaya attending his long sacrifice on the plains of Kurukshetra were Srutasena, Ugrasena, and Bhimasena. ","Reference 1: “Janamejaya, the son of Parikshit, was, with his brothers, attending his long sacrifice on the plains of Kurukshetra. His brothers were three, Srutasena, Ugrasena, and Bhimasena.”"
44,Book01_03,20,Question 2: Who was belaboured by the brothers of Janamejaya? ,Answer 2: An offspring of Sarama (the celestial bitch) was belaboured by the brothers of Janamejaya. ,"Reference 2: “There arrived at the spot an offspring of Sarama (the celestial bitch). And belaboured by the brothers of Janamejaya, he ran away to his mother, crying in pain.”"
