,question,ref_answer,pred_answer,bleu_score,train_data
0,Who composed the Mahabharata and recited it at the snake-sacrifice of Raja Janamejaya?,The Mahabharata was composed by Krishna-Dwaipayana (Vyasa) and recited by Vaisampayana at the snake-sacrifice of Raja Janamejaya.,"The Mahabharata was composed by Ugrasrava, the son of Lom",{'google_bleu': 0.21621621621621623},True
1,What is the nature of the Mahabharata and what does it encompass?,"The Mahabharata is a sacred work, an eminent narrative that is diverse in diction and division. It possesses subtile meanings logically combined and is gleaned from the Vedas. It includes the subjects of other books and comprehends the sense of the four Vedas.","The Mahabharata is a sacred and sacred book, written by the sages",{'google_bleu': 0.09340659340659341},True
2,How did creation begin according to the Mahabharata?,"At the beginning of the Yuga, from a mighty egg called Mahadivya, the lord Pitamaha Brahma, along with Suraguru and Sthanu, emerged. This was followed by the appearance of twenty-one Prajapatis, various celestial beings, Brahmarshis, and other elements of creation such as water, heavens, earth, and seasons.",The creation of the world began according to the Mahabharata.,{'google_bleu': 0.02608695652173913},True
3,How will the universe be affected at the end of the world and the expiration of the Yuga?,"At the end of the world and the expiration of the Yuga, everything seen in the universe, whether animate or inanimate, will be confounded and destroyed. However, at the commencement of other Yugas, all things will be renovated and succeed each other in due order.",The universe will be affected at the end of the world and the expiration of the Yug,{'google_bleu': 0.19801980198019803},False
4,"How many generations of Devas were there, and who were their prominent descendants?","The generation of Devas consisted of thirty-three thousand, thirty-three hundred, and thirty-three individuals. Some of their prominent descendants include Brihadbhanu, Chakshus, Atma Vibhavasu, Savita, Richika, Arka, Bhanu, Asavaha, Ravi, and others. The offspring of these descendants gave rise to families such as the Kurus, Yadus, Bharatas, Yayati, Ikshwaku, and various Rajarshis.","The generation of Devas, in brief, was thirty-three thousand, thirty-three-",{'google_bleu': 0.06569343065693431},True
5,Who composed the Mahabharata and how did it come into existence?,"The Mahabharata was composed by the noble Dwaipayana Vyasa, who, after analyzing the eternal Veda through penance and meditation, authored this holy history. The poem was then written with the help of Ganesha, who was summoned by Vyasa at the behest of Brahma.","The Mahabharata was composed by the Mahabharata, who created the Mahab",{'google_bleu': 0.11578947368421053},True
6,"Who became the writer of Vyasa's work, the Bharata, and under what condition?","Ganesa, upon Vyasa's request, became the writer of the Bharata. However, he agreed to do so only on the condition that Vyasa's pen should not cease writing.","Vyasa became the writer of Vyasa's work, the",{'google_bleu': 0.10655737704918032},True
7,How was the Bharata composed and what were its various parts compared to?,"The Bharata was composed by Vyasa, who knitted the knots of composition closely while dictating the work. The different parts of the Bharata were compared to a tree, with the chapter of contents as the seed, divisions and books representing various components such as the root, trunk, leaves, flowers, fruit, etc.",The Bharata was composed in various parts and was compared to other Bharatas,{'google_bleu': 0.06722689075630252},True
8,"How many verses were composed by Vyasa for the Bharata, and who recited them in different realms?","Vyasa composed an initial compilation of the Bharata in twenty-four thousand verses. He later created an epitome of one hundred and fifty verses, which he taught to his son Suka. Vyasa's complete compilation comprised six hundred thousand verses, with different numbers of verses known in the world of Devas, Pitris, Gandharvas, and humans. Narada, Devala, Suka, and Vaisampayana recited the verses in different realms.","Vyasa composed many verses for the Bharata, and who re",{'google_bleu': 0.03355704697986577},True
9,How did the citizens react when the Pandavas were introduced as the sons of Pandu?,"The distinguished class of citizens shouted with joy upon seeing the Pandavas introduced as the sons of Pandu. While some expressed doubts, many welcomed them as the family of Pandu, and there were acclamations and celebrations. The arrival of the young princes was accompanied by showers of sweet-scented flowers and sounds of shells and kettle-drums.","The citizens of the country, amidst the plight of the Pandavas, were",{'google_bleu': 0.05555555555555555},True
10,How did the principal men and the people perceive the Pandavas?,"The principal men were pleased with the virtues and qualities displayed by the Pandavas. They respected Yudhishthira for his purity, Arjuna for his courage, Kunti for her submissive attention to her superiors, and Nakula and Sahadeva for their humility. The people rejoiced in the heroic virtues of the Pandavas.","The principal men and the people perceived the Pandavas as being a great and powerful force,",{'google_bleu': 0.06542056074766354},False
11,What led to the conflict and the subsequent war between the Kshatriyas?,"Dhritarashtra, out of affection for his son Duryodhana, gave his consent to play a game of dice with the Pandavas. This decision was influenced by the ill advice of Kama, Sakuni, and Duryodhana. Vasudeva (Lord Krishna), although dissatisfied, did not prevent the disputes that arose from the game and other unjustifiable transactions. As a result, the Kshatriyas ended up killing each other in the terrible war that followed.",The conflict and the subsequent war between the Kshatriyas were a result of Pan,{'google_bleu': 0.031446540880503145},True
12,When did Sanjaya lose hope of success according to the speaker?,"Sanjaya lost hope of success when he heard that Arjuna had pierced the curious mark in the arena and won the maiden Krishna, Draupadi, in front of the assembled princes. (Reference: ""When I heard that Arjuna, having bent the bow, had pierced the curious mark and brought it down to the ground, and bore away in triumph the maiden Krishna, in the sight of the assembled princes, then, O Sanjaya, I had no hope of success."")",Sanjaya lost hope of success according to the speaker.,{'google_bleu': 0.049723756906077346},False
13,What event led the speaker to lose hope of success involving the two heroes of the race of Vrishni?,"The marriage of Arjuna to Subhadra, a princess of the race of Madhu, in the city of Dwaraka, and the subsequent entry of Krishna and Balarama (the brothers of Subhadra) into Indraprastha without any resentment, caused the speaker to lose hope of success. (Reference: ""When I heard that Subhadra of the race of Madhu had, after forcible seizure, been married by Arjuna in the city of Dwaraka, and that the two heroes of the race of Vrishni (Krishna and Balarama, the brothers of Subhadra) without resenting it had entered Indraprastha as friends, then, O Sanjaya, I had no hope of success."")",The speaker lost hope of success involving the two heroes of the race of Vrishn,{'google_bleu': 0.06172839506172839},True
14,When did the speaker lose hope of success upon hearing a particular incident involving Arjuna and a divine weapon?,"The speaker lost hope of success when he heard that Arjuna, in combat, pleased the god of gods, Tryambaka (the three-eyed) in the disguise of a hunter, and obtained the great weapon Pasupata. (Reference: ""When I heard that Arjuna, having, in combat, pleased the god of gods, Tryambaka (the three-eyed) in the disguise of a hunter, obtained the great weapon Pasupata, then O Sanjaya, I had no hope of success."")","The speaker lost hope of success upon hearing that Arjuna, having, in combat, pleased",{'google_bleu': 0.13259668508287292},True
15,What event caused the speaker to lose hope of success upon hearing about Arjuna's celestial achievements?,"The speaker lost hope of success upon hearing that Arjuna, after visiting the celestial regions, obtained celestial weapons from Indra himself. (Reference: ""When I heard that the just and renowned Arjuna, after having been to the celestial regions, had there obtained celestial weapons from Indra himself, then, O Sanjaya, I had no hope of success."")",The speaker lost hope of success upon hearing about Arjuna's celestial achievements.,{'google_bleu': 0.1037037037037037},True
16,Whom does Dhritarashtra lament as being destitute and deserving of pity?,"Dhritarashtra laments that Gandhari, who is without children, grandchildren, parents, brothers, and kindred, is deserving of pity. (Reference: ""'Alas! Gandhari, destitute of children, grandchildren, parents, brothers, and kindred, is to be pitied."")","Dhritarashtra laments that Gandhari, destitute of children,",{'google_bleu': 0.14356435643564355},True
17,How many individuals are reported to have survived the war according to Dhritarashtra?,"Dhritarashtra mentions that only ten individuals are reported to have survived the war: three from their side and seven from the Pandavas. (Reference: ""'Alas! I have heard that the war hath left only ten alive: three of our side, and the Pandavas, seven."")",Dhritarashtra reports that only ten individuals have survived the war according to the D,{'google_bleu': 0.10747663551401869},True
18,What benefits does a person receive by reading even one foot of the Bharata with belief?,"By reading even one foot of the Bharata with belief, a person's sins are entirely purged away. (Reference: ""He that readeth even one foot, with belief, hath his sins entirely purged away."")",The person who reads even one foot of the Bharata with belief has his sins,{'google_bleu': 0.17901234567901234},True
19,What happens to a person who constantly hears the recitation of the Introduction section of the Bharata?,"A person who constantly hears the recitation of the Introduction section of the Bharata, from the beginning, does not fall into difficulties. (Reference: ""The believer that constantly heareth recited this section of the Bharata, called the Introduction, from the beginning, falleth not into difficulties."")",The person who constantly hears the recitation of the Introduction section of the Bharata,{'google_bleu': 0.21559633027522937},True
20,What was the reason behind Rama forming five lakes of blood at Samanta-panchaka?,"Rama formed the lakes of blood at Samanta-panchaka as an offering to the manes of his ancestors and to seek absolution from the sins born of annihilating the Kshatriyas in anger. (Reference: ""And when that fiery meteor, by his own valour, annihilated the entire tribe of the Kshatriyas, he formed at Samanta-panchaka five lakes of blood."")",Rama formed five lakes of blood at Samanta-panchaka.,{'google_bleu': 0.08527131782945736},True
21,What is the composition of an Akshauhini?,"An Akshauhini consists of chariots, elephants, foot-soldiers, and horses. One Akshauhini comprises 21,870 chariots and elephants, 109,350 foot-soldiers, and 65,610 horses. (Reference: ""One chariot, one elephant, five foot-soldiers, and three horses form one Patti... O best of Brahmanas, according to this calculation were composed the eighteen Akshauhinis of the Kaurava and the Pandava army."")",The composition of an Akshauhini is composed of the following elements: the ,{'google_bleu': 0.027586206896551724},True
22,"What is the first parva of the Bharata called, and what are the subsequent parvas mentioned after it?","The first parva is called Anukramanika. The subsequent parvas mentioned after it include Sangraha, Paushya, Pauloma, Astika, Adivansavatarana, Sambhava, Jatugrihadaha, Hidimbabadha, Baka-badha, Chitraratha, Swayamvara, Vaivahika, Viduragamana, Rajyalabha, Arjuna-banavasa, Subhadra-harana, Harana-harika, Khandava-daha, Maya-darsana, Sabha, Mantra, Jarasandha, Digvijaya, Raja-suyaka, Arghyaviharana, Sisupala-badha, Dyuta, Anudyuta, Aranyaka, and Krimira-badha, among others. (Reference: ""The first parva is called Anukramanika; the second, Sangraha; then Paushya; then Pauloma; the Astika; then Adivansavatarana. Then comes the Sambhava of wonderful and thrilling incidents..."")",The first parva of the Bharata is called Anukramanika; the second,{'google_bleu': 0.05485232067510549},True
23,What parva contains the story of the battle between Arjuna and Mahadeva in the guise of a hunter?,"The parva that contains the story of the battle between Arjuna and Mahadeva in the guise of a hunter is called Arjuna-vigamana. (Reference: ""The Arjuna-vigamana (the travels of Arjuna)..."")",The first parva contains the story of the battle between Arjuna and Mahadeva in,{'google_bleu': 0.2597402597402597},False
