,Text
0,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
1,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
2,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
3,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
4,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
5,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
6,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
7,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
8,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
9,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
10,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
11,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
12,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
13,"RT @DiwakarSpeaks: भगत सिंह से कहा था कि ""अगर बहरों को सुनाना है तो आवाज को बहुत जोरदार होना होगा"" और उनकी इस सलाह को पूरे देश में सिर्फ एक…"
