,account,Text
0,acs_rkpandey,@ippatel टेलिपोर्टिंग की भी व्यवस्था है?
1,acs_rkpandey,"RT @ippatel: भारतीयों ने सुई भी नहीं बनाई – परन्तु चक्कों पर चलने वाले मंदिर, इमारतें बना दी।

और भारतीयों ने यह सब तब किया, जब पूरा विश्व…"
2,acs_rkpandey,@MukeshPathakji घड़ी खराब होगा 🙄
3,acs_rkpandey,@aapka_humsafar @Garima1907 गाने में कॉमन इंटरेस्ट हो सकता है भाई। 🤔
4,acs_rkpandey,@33kVA @aapka_humsafar 😂😂
5,acs_rkpandey,@aapka_humsafar @33kVA कला है 😊
6,acs_rkpandey,@aapka_humsafar @33kVA साईकिल कोहनी से चलाते हैं। जरूर पहुँचेंगे।
7,acs_rkpandey,इ लेजीनेस है कि भांग का नशा...? https://t.co/icXsXbCtqQ
8,acs_rkpandey,@33kVA हतना तेज कौन धउरेगा? परदीप भंडारी?
9,acs_rkpandey,@Linus127845 😂😂😂
10,acs_rkpandey,"सस्ता, टिकाऊ और कई बार जलने में सक्षम ट्रैक्टर, मे० पप्पू कबाड़ स्टोर से प्राप्त करें। https://t.co/tzBfF9Elxh"
11,acs_rkpandey,"@33kVA सस्ता, टिकाऊ और कई बार जलने में सक्षम ट्रैक्टर, मे० पप्पू कबाड़ स्टोर से प्राप्त करें।"
12,acs_rkpandey,@33kVA @reliancejio हम तो निकल लिए। लेकिन बाकी भी वैसे ही हैं। उन्नीस-बीस का अंतर है।
13,acs_rkpandey,@rranjan501 कितना तन्खाह दीजिएगा?
14,acs_rkpandey,RT @DirectElectriUP: Why no ONLINE APPLICATION for #MultipointConnection ? @RP_SanjivGoenka @NPCL_GrNoida @uprvup @ptshrikant @EMofficeUP @…
15,acs_rkpandey,@OmkarSankrit @juhi_sing 😊
16,acs_rkpandey,@OmkarSankrit @juhi_sing बहुत बढिया
17,acs_rkpandey,@Garima1907 सबकी चीन की नागरिकता है...
18,acs_rkpandey,@capt_mishra 😡😡
19,acs_rkpandey,"RT @AbidZaidi1: विजेता #Kahani250
क्रांति
सर्वश्रेष्ठ5
@Anuagg3003 
@KanakAg04035055 
@abhimishra1428 
@Samar_Indra 
@UpmaDaggaParth
श्रे…"
20,acs_rkpandey,"@Garima1907 हाँ, किसी का आँख नहीं दिखता 😔😔"
21,acs_rkpandey,@AbidZaidi1 @AnuAgg3003 @KanakAg04035055 @abhimishra1428 @Samar_Indra @UpmaDaggaParth @manojmridul @Pradsona @ashtiwari06 @leepika_ @mohitIOB @MadhurimaRanjan @dhoopchhaon @santulanchaubey @ArtiOjha10 @NatkhatO @Garima1907 सबको ढ़किया भर शुभकामनाएं। गोलू @NatkhatO तो बड़का लेखक बन्स 👌
22,acs_rkpandey,@Garima1907 भावनाओं को समझें 🤗
23,acs_rkpandey,@shivkmishr Then why to go for voting? For another federal loss?
24,acs_rkpandey,"RT @Garima1907: दुखद है कि कुछ लोग बोलते बतियाते हुए भी आपके साथ फ़ॉलो-अनफ़ॉलो का गेम खेलना नहीं भूलते।
हालाँकि ये बहुत सामान्य सी बात है प…"
25,acs_rkpandey,पेंगुइन + बागरबिल्ला = एक और सरकार
