full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
"RT @saurv365: भैंस - रोजगार, कोविड महामारी, अर्थव्यवस्था, किसान, सीमा
घंटी - सुशांत सिंह राजपूत, रिया, कंगना, दीपिका, सारा, करण, 
चोर - समा…",1,1987,0,,,,Tue Sep 29 04:00:08 +0000 2020,1310791443238334464
"भैंस - रोजगार, कोविड महामारी, अर्थव्यवस्था, किसान, सीमा
घंटी - सुशांत सिंह राजपूत, रिया, कंगना, दीपिका, सारा, करण, 
चोर - समाचार चैनल
#copied #whatsappfwd #COVID19India #MediaCircus #mediatrial #Sarcasm #कटाक्ष",1,335,0,,,,Tue Sep 29 03:38:19 +0000 2020,1310785954186014720
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,35,0,,,,Tue Sep 29 02:58:33 +0000 2020,1310775948661284867
"RT @AjjuBhaiyaa: मेरी अक्सर लोगों से बनती नहीं 
में कितना भी अपना बनाने की कोशिश कर लूं 
सामने वाला मुझे गलत ही समझता है 🔪

#कटाक्ष",1,1251,0,,,,Mon Sep 28 16:53:54 +0000 2020,1310623782785048578
"मेरी अक्सर लोगों से बनती नहीं 
में कितना भी अपना बनाने की कोशिश कर लूं 
सामने वाला मुझे गलत ही समझता है 🔪

#कटाक्ष",1,79,5,,,,Mon Sep 28 15:00:54 +0000 2020,1310595345408167937
"RT @HopeISalive8: @RubikaLiyaquat @ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को…",2,1295,0,,,,Mon Sep 28 13:20:37 +0000 2020,1310570106875858945
"RT @HopeISalive8: @RubikaLiyaquat @ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को…",2,36,0,,,,Mon Sep 28 13:17:59 +0000 2020,1310569445656592384
"@RubikaLiyaquat @ABPNews #कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को कोई खतरा नहीं..।

होगी तानाशाही तो आएंगे कई  लोग ज़द में,
इस तानाशाही का शिकार सिर्फ मुसलमान थोड़ी है..।
#standwithfarmerschallenge https://t.co/z8MgswmVaF",2,23,3,,,,Mon Sep 28 11:55:13 +0000 2020,1310548616424030208
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,405,0,,,,Mon Sep 28 11:33:39 +0000 2020,1310543187044265985
"#कटाक्ष
जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को कोई खतरा नहीं..।

होगी तानाशाही तो आएंगे कई  लोग ज़द में,
इस तानाशाही का शिकार सिर्फ मुसलमान थोड़ी है..।
#standwithfarmerschallenge",0,1,1,,,,Mon Sep 28 10:56:12 +0000 2020,1310533765467222016
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,234,0,,,,Mon Sep 28 09:41:06 +0000 2020,1310514865648185344
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,308,0,,,,Mon Sep 28 09:37:06 +0000 2020,1310513856544780289
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,3971,0,,,,Mon Sep 28 08:50:01 +0000 2020,1310502010739884032
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,7561,0,,,,Mon Sep 28 08:49:34 +0000 2020,1310501897531461635
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,396,0,,,,Mon Sep 28 08:48:55 +0000 2020,1310501733454544897
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,649,0,,,,Mon Sep 28 08:48:31 +0000 2020,1310501629570035712
"RT @DiwakarSpeaks: #भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक ज…",8,403,0,,,,Mon Sep 28 08:42:12 +0000 2020,1310500040331284482
"#भगत_सिंह - व्‍यक्तियों को कुचलकर भी आप उनके विचार नहीं मार सकते हैं.

#मैं -  ऐसा पहले जमाने में होता था, आज तो एक जस्टिस लोया कांड ने पूरे देश की न्यायपालिका में बैठे मठाधीशों को अपने विचारों की बत्ती बनाने पर मजबूर कर दिया है. 

#कटाक्ष #BhagatsinghJayanti https://t.co/daLBQXBmpW",8,16023,13,,,,Mon Sep 28 08:38:14 +0000 2020,1310499043483750401
