,AUC,Accuracy,Recall,Precision,F1,TN,FP,FN,TP
TFIDF_LR,0.64,0.6,0.52,0.61,0.56,67.0,33.0,48.0,52.0
TFIDF_LGBM,0.66,0.6,0.54,0.62,0.58,67.0,33.0,46.0,54.0
TFIDF_NB,0.6,0.56,0.53,0.56,0.54,58.0,42.0,47.0,53.0
TFIDF_SVC,0.68,0.62,0.58,0.64,0.61,67.0,33.0,42.0,58.0
TFIDF_ADB,0.6,0.56,0.55,0.56,0.56,57.0,43.0,45.0,55.0
TFIDF_GBC,0.63,0.62,0.57,0.64,0.6,68.0,32.0,43.0,57.0
TFIDF_RFC,0.66,0.6,0.56,0.61,0.58,64.0,36.0,44.0,56.0
TFIDF_XGB,0.65,0.56,0.59,0.56,0.58,54.0,46.0,41.0,59.0
TFIDF_DT,0.61,0.58,0.73,0.57,0.64,44.0,56.0,27.0,73.0
TFIDF_Perceptron,0.6,0.6,0.61,0.6,0.6,59.0,41.0,39.0,61.0
Word2Vec_LR,0.64,0.61,0.76,0.58,0.66,46.0,54.0,24.0,76.0
Word2Vec_LGBM,0.68,0.64,0.72,0.62,0.66,55.0,45.0,28.0,72.0
Word2Vec_NB,0.64,0.5,0.95,0.5,0.66,6.0,94.0,5.0,95.0
Word2Vec_SVC,0.67,0.62,0.75,0.6,0.66,49.0,51.0,25.0,75.0
Word2Vec_ADB,0.64,0.62,0.71,0.61,0.65,54.0,46.0,29.0,71.0
Word2Vec_GBC,0.64,0.62,0.7,0.61,0.65,55.0,45.0,30.0,70.0
Word2Vec_RFC,0.69,0.57,0.89,0.54,0.67,25.0,75.0,11.0,89.0
Word2Vec_XGB,0.69,0.62,0.63,0.62,0.63,62.0,38.0,37.0,63.0
Word2Vec_DT,0.6,0.58,0.79,0.56,0.65,37.0,63.0,21.0,79.0
Word2Vec_Perceptron,0.52,0.52,0.47,0.52,0.49,57.0,43.0,53.0,47.0
BOW_LR,0.63,0.6,0.5,0.62,0.56,70.0,30.0,50.0,50.0
BOW_LGBM,0.65,0.62,0.56,0.63,0.59,67.0,33.0,44.0,56.0
BOW_NB,0.58,0.52,0.39,0.52,0.45,64.0,36.0,61.0,39.0
BOW_SVC,0.69,0.62,0.61,0.63,0.62,64.0,36.0,39.0,61.0
BOW_ADB,0.61,0.62,0.61,0.62,0.62,63.0,37.0,39.0,61.0
BOW_GBC,0.65,0.62,0.55,0.63,0.59,68.0,32.0,45.0,55.0
BOW_RFC,0.68,0.64,0.68,0.62,0.65,59.0,41.0,32.0,68.0
BOW_XGB,0.69,0.62,0.59,0.62,0.61,64.0,36.0,41.0,59.0
BOW_DT,0.56,0.52,0.51,0.53,0.52,54.0,46.0,49.0,51.0
BOW_Perceptron,0.55,0.55,0.51,0.55,0.53,59.0,41.0,49.0,51.0
IndicBERT_LR,0.59,0.57,0.61,0.57,0.59,54.0,46.0,39.0,61.0
IndicBERT_LGBM,0.69,0.64,0.58,0.67,0.62,71.0,29.0,42.0,58.0
IndicBERT_NB,0.61,0.59,0.67,0.58,0.62,51.0,49.0,33.0,67.0
IndicBERT_SVC,0.6,0.56,0.65,0.55,0.59,46.0,54.0,35.0,65.0
IndicBERT_ADB,0.64,0.6,0.59,0.6,0.59,60.0,40.0,41.0,59.0
IndicBERT_GBC,0.68,0.62,0.58,0.63,0.6,66.0,34.0,42.0,58.0
IndicBERT_RFC,0.71,0.7,0.7,0.7,0.7,70.0,30.0,30.0,70.0
IndicBERT_XGB,0.71,0.66,0.65,0.67,0.66,68.0,32.0,35.0,65.0
IndicBERT_DT,0.62,0.6,0.62,0.6,0.61,58.0,42.0,38.0,62.0
